#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-05-25 15:51:14;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;9.97363e-02;3.89382e-03;-9.96602e-02
1.10000e+06;8.80721e-02;3.92532e-03;-8.79846e-02
1.20000e+06;7.81237e-02;3.95635e-03;-7.80235e-02
1.30000e+06;6.94941e-02;3.98716e-03;-6.93796e-02
1.40000e+06;6.18995e-02;4.01797e-03;-6.17690e-02
1.50000e+06;5.51319e-02;4.04898e-03;-5.49830e-02
1.60000e+06;4.90353e-02;4.08044e-03;-4.88653e-02
1.70000e+06;4.34906e-02;4.11255e-03;-4.32957e-02
1.80000e+06;3.84053e-02;4.14556e-03;-3.81809e-02
1.90000e+06;3.37068e-02;4.17971e-03;-3.34467e-02
2.00000e+06;2.93380e-02;4.21530e-03;-2.90336e-02
2.10000e+06;2.52539e-02;4.25261e-03;-2.48933e-02
2.20000e+06;2.14203e-02;4.29198e-03;-2.09859e-02
2.30000e+06;1.78134e-02;4.33380e-03;-1.72782e-02
2.40000e+06;1.44228e-02;4.37848e-03;-1.37422e-02
2.50000e+06;1.12605e-02;4.42650e-03;-1.03540e-02
2.60000e+06;8.38867e-03;4.47842e-03;-7.09320e-03
2.70000e+06;6.00862e-03;4.53487e-03;-3.94189e-03
2.80000e+06;4.68087e-03;4.59657e-03;-8.84357e-04
2.90000e+06;5.11260e-03;4.66437e-03;2.09341e-03
3.00000e+06;6.89211e-03;4.73926e-03;5.00407e-03
3.10000e+06;9.22074e-03;4.82239e-03;7.85917e-03
3.20000e+06;1.17472e-02;4.91512e-03;1.06695e-02
3.30000e+06;1.43514e-02;5.01907e-03;1.34451e-02
3.40000e+06;1.69907e-02;5.13615e-03;1.61958e-02
3.50000e+06;1.96506e-02;5.26866e-03;1.89311e-02
3.60000e+06;2.23280e-02;5.41934e-03;2.16603e-02
3.70000e+06;2.50257e-02;5.59152e-03;2.43930e-02
3.80000e+06;2.77496e-02;5.78928e-03;2.71390e-02
3.90000e+06;3.05078e-02;6.01756e-03;2.99085e-02
4.00000e+06;3.33102e-02;6.28251e-03;3.27124e-02
4.10000e+06;3.61682e-02;6.59173e-03;3.55625e-02
4.20000e+06;3.90951e-02;6.95475e-03;3.84715e-02
4.30000e+06;4.21061e-02;7.38362e-03;4.14536e-02
4.40000e+06;4.52188e-02;7.89363e-03;4.45245e-02
4.50000e+06;4.84538e-02;8.50447e-03;4.77016e-02
4.60000e+06;5.18348e-02;9.24166e-03;5.10043e-02
4.70000e+06;5.53898e-02;1.01386e-02;5.44540e-02
4.80000e+06;5.91515e-02;1.12394e-02;5.80739e-02
4.90000e+06;6.31583e-02;1.26032e-02;6.18880e-02
5.00000e+06;6.74544e-02;1.43093e-02;6.59192e-02
5.10000e+06;7.20902e-02;1.64654e-02;7.01847e-02
5.20000e+06;7.71205e-02;1.92182e-02;7.46875e-02
5.30000e+06;8.25993e-02;2.27667e-02;7.93997e-02
5.40000e+06;8.85682e-02;2.73767e-02;8.42308e-02
5.50000e+06;9.50301e-02;3.33888e-02;8.89714e-02
5.60000e+06;1.01898e-01;4.11994e-02;9.31973e-02
5.70000e+06;1.08899e-01;5.11624e-02;9.61324e-02
5.80000e+06;1.15434e-01;6.33212e-02;9.65165e-02
5.90000e+06;1.20427e-01;7.68890e-02;9.26860e-02
6.00000e+06;1.22370e-01;8.96747e-02;8.32644e-02
6.10000e+06;1.19864e-01;9.83069e-02;6.85791e-02
6.20000e+06;1.12580e-01;1.00080e-01;5.15576e-02
6.30000e+06;1.01756e-01;9.50554e-02;3.63142e-02
6.40000e+06;8.95120e-02;8.57946e-02;2.55281e-02
6.50000e+06;7.77369e-02;7.52406e-02;1.95419e-02
6.60000e+06;6.75666e-02;6.53062e-02;1.73305e-02
6.70000e+06;5.94702e-02;5.68002e-02;1.76192e-02
6.80000e+06;5.35056e-02;4.98684e-02;1.93906e-02
6.90000e+06;4.95079e-02;4.43717e-02;2.19586e-02
7.00000e+06;4.71893e-02;4.00902e-02;2.48919e-02
7.10000e+06;4.61993e-02;3.68060e-02;2.79229e-02
7.20000e+06;4.61732e-02;3.43273e-02;3.08804e-02
7.30000e+06;4.67699e-02;3.24839e-02;3.36485e-02
7.40000e+06;4.76963e-02;3.11158e-02;3.61489e-02
7.50000e+06;4.87221e-02;3.00643e-02;3.83404e-02
7.60000e+06;4.96935e-02;2.91746e-02;4.02280e-02
7.70000e+06;5.05443e-02;2.83153e-02;4.18685e-02
7.80000e+06;5.12917e-02;2.74035e-02;4.33577e-02
7.90000e+06;5.20085e-02;2.64176e-02;4.47995e-02
8.00000e+06;5.27794e-02;2.53869e-02;4.62728e-02
8.10000e+06;5.36647e-02;2.43638e-02;4.78154e-02
8.20000e+06;5.46856e-02;2.33981e-02;4.94271e-02
8.30000e+06;5.58292e-02;2.25218e-02;5.10849e-02
8.40000e+06;5.70632e-02;2.17461e-02;5.27571e-02
8.50000e+06;5.83501e-02;2.10645e-02;5.44153e-02
8.60000e+06;5.96580e-02;2.04593e-02;5.60401e-02
8.70000e+06;6.09660e-02;1.99087e-02;5.76237e-02
8.80000e+06;6.22662e-02;1.93929e-02;5.91692e-02
8.90000e+06;6.35611e-02;1.88986e-02;6.06866e-02
9.00000e+06;6.48585e-02;1.84208e-02;6.21876e-02
9.10000e+06;6.61664e-02;1.79613e-02;6.36819e-02
9.20000e+06;6.74889e-02;1.75253e-02;6.51738e-02
9.30000e+06;6.88257e-02;1.71187e-02;6.66628e-02
9.40000e+06;7.01717e-02;1.67449e-02;6.81446e-02
9.50000e+06;7.15196e-02;1.64043e-02;6.96128e-02
9.60000e+06;7.28610e-02;1.60938e-02;7.10614e-02
9.70000e+06;7.41891e-02;1.58077e-02;7.24855e-02
9.80000e+06;7.54992e-02;1.55383e-02;7.38829e-02
9.90000e+06;7.67896e-02;1.52779e-02;7.52544e-02
1.00000e+07;7.80618e-02;1.50195e-02;7.66032e-02
