#Datasources: PIPinZ-0520-004019 [2026-05-20 00:40:19]
#Produced on 2026-05-20 00:49:06 by Analysis Result Viewer 2023.0.0.50349 Zuken GmbH - Germany

ProbeID,Data Source,Date,Note,Net,Pin,Probe Set,
1,PIPinZ-0520-004019,20.05.2026 00:40:19,,Power_GND,IC1_Port1 (8),Impedance,

1_f,1_Z
(Hz),(Ohm)
1.0000e+06,1.4330e-01
1.1000e+06,1.2738e-01
1.2000e+06,1.1386e-01
1.3000e+06,1.0220e-01
1.4000e+06,9.1983e-02
1.5000e+06,8.2934e-02
1.6000e+06,7.4831e-02
1.7000e+06,6.7507e-02
1.8000e+06,6.0833e-02
1.9000e+06,5.4708e-02
2.0000e+06,4.9049e-02
2.1000e+06,4.3792e-02
2.2000e+06,3.8884e-02
2.3000e+06,3.4283e-02
2.4000e+06,2.9953e-02
2.5000e+06,2.5868e-02
2.6000e+06,2.2011e-02
2.7000e+06,1.8372e-02
2.8000e+06,1.4955e-02
2.9000e+06,1.1795e-02
3.0000e+06,8.9839e-03
3.1000e+06,6.7668e-03
3.2000e+06,5.6671e-03
3.3000e+06,6.1484e-03
3.4000e+06,7.8260e-03
3.5000e+06,1.0054e-02
3.6000e+06,1.2497e-02
3.7000e+06,1.5017e-02
3.8000e+06,1.7558e-02
3.9000e+06,2.0094e-02
4.0000e+06,2.2613e-02
4.1000e+06,2.5111e-02
4.2000e+06,2.7586e-02
4.3000e+06,3.0038e-02
4.4000e+06,3.2468e-02
4.5000e+06,3.4878e-02
4.6000e+06,3.7270e-02
4.7000e+06,3.9647e-02
4.8000e+06,4.2011e-02
4.9000e+06,4.4365e-02
5.0000e+06,4.6712e-02
5.1000e+06,4.9054e-02
5.2000e+06,5.1394e-02
5.3000e+06,5.3736e-02
5.4000e+06,5.6083e-02
5.5000e+06,5.8439e-02
5.6000e+06,6.0807e-02
5.7000e+06,6.3191e-02
5.8000e+06,6.5595e-02
5.9000e+06,6.8022e-02
6.0000e+06,7.0477e-02
6.1000e+06,7.2961e-02
6.2000e+06,7.5477e-02
6.3000e+06,7.8023e-02
6.4000e+06,8.0595e-02
6.5000e+06,8.3180e-02
6.6000e+06,8.5755e-02
6.7000e+06,8.8283e-02
6.8000e+06,9.0706e-02
6.9000e+06,9.2948e-02
7.0000e+06,9.4923e-02
7.1000e+06,9.6566e-02
7.2000e+06,9.7864e-02
7.3000e+06,9.8883e-02
7.4000e+06,9.9739e-02
7.5000e+06,1.0053e-01
7.6000e+06,1.0129e-01
7.7000e+06,1.0194e-01
7.8000e+06,1.0238e-01
7.9000e+06,1.0247e-01
8.0000e+06,1.0215e-01
8.1000e+06,1.0145e-01
8.2000e+06,1.0049e-01
8.3000e+06,9.9455e-02
8.4000e+06,9.8546e-02
8.5000e+06,9.7915e-02
8.6000e+06,9.7647e-02
8.7000e+06,9.7760e-02
8.8000e+06,9.8229e-02
8.9000e+06,9.9006e-02
9.0000e+06,1.0004e-01
9.1000e+06,1.0127e-01
9.2000e+06,1.0265e-01
9.3000e+06,1.0415e-01
9.4000e+06,1.0574e-01
9.5000e+06,1.0739e-01
9.6000e+06,1.0908e-01
9.7000e+06,1.1079e-01
9.8000e+06,1.1253e-01
9.9000e+06,1.1427e-01
1.0000e+07,1.1601e-01
1.1000e+07,1.3327e-01
1.2000e+07,1.4993e-01
1.3000e+07,1.6602e-01
1.4000e+07,1.8171e-01
1.5000e+07,1.9712e-01
1.6000e+07,2.1233e-01
1.7000e+07,2.2738e-01
1.8000e+07,2.4232e-01
1.9000e+07,2.5717e-01
2.0000e+07,2.7195e-01
2.1000e+07,2.8668e-01
2.2000e+07,3.0137e-01
2.3000e+07,3.1602e-01
2.4000e+07,3.3065e-01
2.5000e+07,3.4527e-01
2.6000e+07,3.5987e-01
2.7000e+07,3.7446e-01
2.8000e+07,3.8905e-01
2.9000e+07,4.0364e-01
3.0000e+07,4.1823e-01
3.1000e+07,4.3283e-01
3.2000e+07,4.4744e-01
3.3000e+07,4.6206e-01
3.4000e+07,4.7669e-01
3.5000e+07,4.9134e-01
3.6000e+07,5.0601e-01
3.7000e+07,5.2070e-01
3.8000e+07,5.3541e-01
3.9000e+07,5.5014e-01
4.0000e+07,5.6490e-01
4.1000e+07,5.7969e-01
4.2000e+07,5.9451e-01
4.3000e+07,6.0935e-01
4.4000e+07,6.2423e-01
4.5000e+07,6.3914e-01
4.6000e+07,6.5409e-01
4.7000e+07,6.6908e-01
4.8000e+07,6.8410e-01
4.9000e+07,6.9916e-01
5.0000e+07,7.1427e-01
5.1000e+07,7.2942e-01
5.2000e+07,7.4461e-01
5.3000e+07,7.5985e-01
5.4000e+07,7.7514e-01
5.5000e+07,7.9048e-01
5.6000e+07,8.0588e-01
5.7000e+07,8.2132e-01
5.8000e+07,8.3682e-01
5.9000e+07,8.5238e-01
6.0000e+07,8.6800e-01
6.1000e+07,8.8368e-01
6.2000e+07,8.9942e-01
6.3000e+07,9.1523e-01
6.4000e+07,9.3110e-01
6.5000e+07,9.4704e-01
6.6000e+07,9.6306e-01
6.7000e+07,9.7915e-01
6.8000e+07,9.9532e-01
6.9000e+07,1.0116e+00
7.0000e+07,1.0279e+00
7.1000e+07,1.0443e+00
7.2000e+07,1.0608e+00
7.3000e+07,1.0774e+00
7.4000e+07,1.0941e+00
7.5000e+07,1.1108e+00
7.6000e+07,1.1277e+00
7.7000e+07,1.1447e+00
7.8000e+07,1.1617e+00
7.9000e+07,1.1789e+00
8.0000e+07,1.1962e+00
8.1000e+07,1.2136e+00
8.2000e+07,1.2311e+00
8.3000e+07,1.2488e+00
8.4000e+07,1.2665e+00
8.5000e+07,1.2845e+00
8.6000e+07,1.3025e+00
8.7000e+07,1.3207e+00
8.8000e+07,1.3390e+00
8.9000e+07,1.3574e+00
9.0000e+07,1.3761e+00
9.1000e+07,1.3948e+00
9.2000e+07,1.4138e+00
9.3000e+07,1.4329e+00
9.4000e+07,1.4522e+00
9.5000e+07,1.4716e+00
9.6000e+07,1.4913e+00
9.7000e+07,1.5112e+00
9.8000e+07,1.5312e+00
9.9000e+07,1.5515e+00
1.0000e+08,1.5720e+00
1.1000e+08,1.7909e+00
1.2000e+08,2.0444e+00
1.3000e+08,2.3534e+00
1.4000e+08,2.7607e+00
1.5000e+08,3.3699e+00
1.6000e+08,4.5168e+00
1.7000e+08,8.1104e+00
1.8000e+08,7.9975e+00
1.9000e+08,1.1046e+00
2.0000e+08,9.4774e-01
2.1000e+08,1.8315e+00
2.2000e+08,2.7557e+00
2.3000e+08,4.3058e+00
2.4000e+08,9.8903e+00
2.5000e+08,3.3176e+00
2.6000e+08,5.4793e-01
2.7000e+08,9.8073e-01
2.8000e+08,1.5830e+00
2.9000e+08,1.9168e+00
3.0000e+08,2.3804e+00
3.1000e+08,2.8975e+00
3.2000e+08,3.6683e+00
3.3000e+08,5.4746e+00
3.4000e+08,3.2413e+00
3.5000e+08,1.2772e+00
3.6000e+08,1.9193e+00
3.7000e+08,2.3704e+00
3.8000e+08,2.7101e+00
3.9000e+08,2.9983e+00
4.0000e+08,3.2646e+00
4.1000e+08,3.5286e+00
4.2000e+08,3.8141e+00
4.3000e+08,4.1676e+00
4.4000e+08,4.1202e+00
4.5000e+08,4.1120e+00
4.6000e+08,4.5018e+00
4.7000e+08,4.9018e+00
4.8000e+08,5.3950e+00
4.9000e+08,6.1385e+00
5.0000e+08,6.6928e+00
5.1000e+08,4.6330e+00
5.2000e+08,5.5284e+00
5.3000e+08,6.7339e+00
5.4000e+08,8.7186e+00
5.5000e+08,8.6557e+00
5.6000e+08,3.2678e+00
5.7000e+08,3.9628e+00
