#Datasources: PIPinZ-0419-195232 [2026-04-19 19:52:32]
#Produced on 2026-04-19 19:53:30 by Analysis Result Viewer 2023.0.0.50349 Zuken GmbH - Germany

ProbeID,Data Source,Date,Note,Net,Pin,Probe Set,
1,PIPinZ-0419-195232,19.04.2026 19:52:32,,Power_GND,IC1_Port1 (8),Impedance,

1_f,1_Z
(Hz),(Ohm)
1.0000e+06,4.9910e+01
1.1000e+06,4.5370e+01
1.2000e+06,4.1587e+01
1.3000e+06,3.8385e+01
1.4000e+06,3.5641e+01
1.5000e+06,3.3263e+01
1.6000e+06,3.1181e+01
1.7000e+06,2.9345e+01
1.8000e+06,2.7712e+01
1.9000e+06,2.6251e+01
2.0000e+06,2.4936e+01
2.1000e+06,2.3746e+01
2.2000e+06,2.2664e+01
2.3000e+06,2.1676e+01
2.4000e+06,2.0771e+01
2.5000e+06,1.9937e+01
2.6000e+06,1.9168e+01
2.7000e+06,1.8456e+01
2.8000e+06,1.7794e+01
2.9000e+06,1.7178e+01
3.0000e+06,1.6603e+01
3.1000e+06,1.6065e+01
3.2000e+06,1.5561e+01
3.3000e+06,1.5087e+01
3.4000e+06,1.4640e+01
3.5000e+06,1.4220e+01
3.6000e+06,1.3822e+01
3.7000e+06,1.3446e+01
3.8000e+06,1.3090e+01
3.9000e+06,1.2752e+01
4.0000e+06,1.2430e+01
4.1000e+06,1.2125e+01
4.2000e+06,1.1834e+01
4.3000e+06,1.1556e+01
4.4000e+06,1.1291e+01
4.5000e+06,1.1037e+01
4.6000e+06,1.0795e+01
4.7000e+06,1.0563e+01
4.8000e+06,1.0340e+01
4.9000e+06,1.0127e+01
5.0000e+06,9.9218e+00
5.1000e+06,9.7248e+00
5.2000e+06,9.5353e+00
5.3000e+06,9.3529e+00
5.4000e+06,9.1773e+00
5.5000e+06,9.0079e+00
5.6000e+06,8.8446e+00
5.7000e+06,8.6870e+00
5.8000e+06,8.5347e+00
5.9000e+06,8.3876e+00
6.0000e+06,8.2453e+00
6.1000e+06,8.1077e+00
6.2000e+06,7.9744e+00
6.3000e+06,7.8454e+00
6.4000e+06,7.7203e+00
6.5000e+06,7.5991e+00
6.6000e+06,7.4815e+00
6.7000e+06,7.3673e+00
6.8000e+06,7.2565e+00
6.9000e+06,7.1489e+00
7.0000e+06,7.0443e+00
7.1000e+06,6.9426e+00
7.2000e+06,6.8437e+00
7.3000e+06,6.7474e+00
7.4000e+06,6.6538e+00
7.5000e+06,6.5626e+00
7.6000e+06,6.4738e+00
7.7000e+06,6.3872e+00
7.8000e+06,6.3029e+00
7.9000e+06,6.2206e+00
8.0000e+06,6.1404e+00
8.1000e+06,6.0621e+00
8.2000e+06,5.9857e+00
8.3000e+06,5.9111e+00
8.4000e+06,5.8382e+00
8.5000e+06,5.7671e+00
8.6000e+06,5.6976e+00
8.7000e+06,5.6296e+00
8.8000e+06,5.5631e+00
8.9000e+06,5.4982e+00
9.0000e+06,5.4346e+00
9.1000e+06,5.3724e+00
9.2000e+06,5.3115e+00
9.3000e+06,5.2519e+00
9.4000e+06,5.1936e+00
9.5000e+06,5.1364e+00
9.6000e+06,5.0805e+00
9.7000e+06,5.0256e+00
9.8000e+06,4.9719e+00
9.9000e+06,4.9192e+00
1.0000e+07,4.8675e+00
1.1000e+07,4.4012e+00
1.2000e+07,4.0106e+00
1.3000e+07,3.6782e+00
1.4000e+07,3.3915e+00
1.5000e+07,3.1414e+00
1.6000e+07,2.9209e+00
1.7000e+07,2.7250e+00
1.8000e+07,2.5494e+00
1.9000e+07,2.3910e+00
2.0000e+07,2.2472e+00
2.1000e+07,2.1158e+00
2.2000e+07,1.9953e+00
