#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-05-26 17:05:22;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;5.84125e-02;2.96655e-03;-5.83371e-02
1.10000e+06;5.04866e-02;2.99867e-03;-5.03975e-02
1.20000e+06;4.36550e-02;3.03005e-03;-4.35498e-02
1.30000e+06;3.76653e-02;3.06090e-03;-3.75407e-02
1.40000e+06;3.23375e-02;3.09145e-03;-3.21894e-02
1.50000e+06;2.75404e-02;3.12189e-03;-2.73628e-02
1.60000e+06;2.31767e-02;3.15240e-03;-2.29613e-02
1.70000e+06;1.91743e-02;3.18319e-03;-1.89082e-02
1.80000e+06;1.54814e-02;3.21444e-03;-1.51440e-02
1.90000e+06;1.20662e-02;3.24636e-03;-1.16212e-02
2.00000e+06;8.92620e-03;3.27918e-03;-8.30204e-03
2.10000e+06;6.12824e-03;3.31313e-03;-5.15544e-03
2.20000e+06;3.98248e-03;3.34846e-03;-2.15590e-03
2.30000e+06;3.46075e-03;3.38548e-03;7.17854e-04
2.40000e+06;4.88509e-03;3.42450e-03;3.48380e-03
2.50000e+06;7.06572e-03;3.46590e-03;6.15727e-03
2.60000e+06;9.42917e-03;3.51008e-03;8.75149e-03
2.70000e+06;1.18258e-02;3.55752e-03;1.12780e-02
2.80000e+06;1.42129e-02;3.60878e-03;1.37471e-02
2.90000e+06;1.65780e-02;3.66449e-03;1.61679e-02
3.00000e+06;1.89190e-02;3.72540e-03;1.85486e-02
3.10000e+06;2.12384e-02;3.79238e-03;2.08970e-02
3.20000e+06;2.35400e-02;3.86647e-03;2.32203e-02
3.30000e+06;2.58288e-02;3.94889e-03;2.55251e-02
3.40000e+06;2.81102e-02;4.04110e-03;2.78182e-02
3.50000e+06;3.03901e-02;4.14486e-03;3.01061e-02
3.60000e+06;3.26744e-02;4.26231e-03;3.23952e-02
3.70000e+06;3.49698e-02;4.39603e-03;3.46924e-02
3.80000e+06;3.72831e-02;4.54920e-03;3.70046e-02
3.90000e+06;3.96219e-02;4.72575e-03;3.93391e-02
4.00000e+06;4.19944e-02;4.93058e-03;4.17040e-02
4.10000e+06;4.44098e-02;5.16984e-03;4.41078e-02
4.20000e+06;4.68783e-02;5.45132e-03;4.65602e-02
4.30000e+06;4.94116e-02;5.78501e-03;4.90718e-02
4.40000e+06;5.20232e-02;6.18381e-03;5.16544e-02
4.50000e+06;5.47285e-02;6.66460e-03;5.43212e-02
4.60000e+06;5.75455e-02;7.24964e-03;5.70870e-02
4.70000e+06;6.04946e-02;7.96871e-03;5.99674e-02
4.80000e+06;6.35995e-02;8.86200e-03;6.29791e-02
4.90000e+06;6.68866e-02;9.98433e-03;6.61372e-02
5.00000e+06;7.03839e-02;1.14110e-02;6.94528e-02
5.10000e+06;7.41179e-02;1.32459e-02;7.29247e-02
5.20000e+06;7.81063e-02;1.56311e-02;7.65262e-02
5.30000e+06;8.23421e-02;1.87568e-02;8.01774e-02
5.40000e+06;8.67619e-02;2.28612e-02;8.36958e-02
5.50000e+06;9.11858e-02;2.81987e-02;8.67161e-02
5.60000e+06;9.52224e-02;3.49196e-02;8.85885e-02
5.70000e+06;9.81616e-02;4.27890e-02;8.83448e-02
5.80000e+06;9.89902e-02;5.07663e-02;8.49814e-02
5.90000e+06;9.67900e-02;5.68959e-02;7.83017e-02
6.00000e+06;9.15419e-02;5.92658e-02;6.97674e-02
6.10000e+06;8.45617e-02;5.75760e-02;6.19330e-02
6.20000e+06;7.77953e-02;5.33237e-02;5.66453e-02
