gen_sample,nn_train_sample,nn_train_K,combined_score,heatmap_mse,impedance_mse,occupancy_hamming,occupancy_exact
data_sample_0,sample_23061,5,4.3637614250183105,4.280364513397217,0.0064742183312773705,4,False
data_sample_1,sample_25256,5,4.562060356140137,4.438721179962158,0.007954386994242668,6,False
data_sample_2,sample_19387,5,4.620112419128418,4.495308876037598,0.009418966248631477,6,False
data_sample_3,sample_3235,5,4.537606239318848,4.448129653930664,0.012553690001368523,4,False
data_sample_4,sample_27768,5,4.64677095413208,4.563861846923828,0.005986333359032869,4,False
data_sample_5,sample_18118,5,4.455715656280518,4.3307294845581055,0.009601675905287266,6,False
data_sample_6,sample_27284,5,4.432522296905518,4.306750297546387,0.010387337766587734,6,False
data_sample_7,sample_21707,5,4.5935845375061035,4.466771602630615,0.011428238824009895,6,False
data_sample_8,sample_26169,5,4.397779941558838,4.311978340148926,0.008878897875547409,4,False
data_sample_9,sample_22787,5,4.57673978805542,4.483871936798096,0.015945104882121086,4,False
data_sample_10,sample_20448,5,4.502020835876465,4.36888313293457,0.017753303050994873,6,False
data_sample_11,sample_25301,5,4.588306903839111,4.504884243011475,0.00649958336725831,4,False
data_sample_12,sample_4767,5,4.529138088226318,4.445925712585449,0.006289659533649683,4,False
data_sample_13,sample_29739,5,4.7500481605529785,4.629522800445557,0.00514082470908761,6,False
data_sample_14,sample_8286,5,4.373782634735107,4.290046215057373,0.006813742686063051,4,False
data_sample_15,sample_23694,5,4.733430862426758,4.647849082946777,0.008658933453261852,4,False
data_sample_16,sample_6635,5,4.382493495941162,4.2935919761657715,0.01197861135005951,4,False
data_sample_17,sample_15573,5,4.645785808563232,4.55659294128418,0.012269783765077591,4,False
data_sample_18,sample_7156,5,4.600392818450928,4.479142189025879,0.005866244900971651,6,False
data_sample_19,sample_12731,5,4.287866115570068,4.167724132537842,0.004757307469844818,6,False
data_sample_20,sample_8093,5,6.3960065841674805,6.245828151702881,0.03479373827576637,6,False
data_sample_21,sample_16495,5,4.528809070587158,4.366327285766602,0.008635682053864002,8,False
data_sample_22,sample_389,5,4.451590538024902,4.31824254989624,0.017963623628020287,6,False
data_sample_23,sample_16443,5,4.631105422973633,4.539132595062256,0.015050054527819157,4,False
data_sample_24,sample_29777,5,4.420931816101074,4.300853252410889,0.004694158211350441,6,False
data_sample_25,sample_1057,5,4.940946578979492,4.812784194946289,0.012777617201209068,6,False
data_sample_26,sample_29190,5,4.317741394042969,4.270483493804932,0.00879606418311596,2,False
data_sample_27,sample_22231,5,4.561386585235596,4.472633361816406,0.01183051522821188,4,False
data_sample_28,sample_17018,5,4.418849468231201,4.353316783905029,0.027070941403508186,2,False
data_sample_29,sample_18310,5,4.843056678771973,4.753514766693115,0.012619216926395893,4,False
data_sample_30,sample_27041,5,4.37019157409668,4.210494041442871,0.005851316265761852,8,False
data_sample_31,sample_3204,5,4.447890281677246,4.397107124328613,0.012321703135967255,2,False
data_sample_32,sample_11782,5,4.621840953826904,4.496700286865234,0.009755981154739857,6,False
data_sample_33,sample_24800,5,4.415965557098389,4.372236251831055,0.005267519038170576,2,False
data_sample_34,sample_12316,5,4.316823482513428,4.191314220428467,0.010124702006578445,6,False
data_sample_35,sample_358,5,4.469192028045654,4.369864463806152,0.022404657676815987,4,False
data_sample_36,sample_1057,5,4.655086517333984,4.570767879486084,0.007395690772682428,4,False
data_sample_37,sample_27097,5,4.4623589515686035,4.388360023498535,0.03553738817572594,2,False
data_sample_38,sample_10701,5,4.503750801086426,4.417557716369629,0.00927007757127285,4,False
data_sample_39,sample_5179,5,4.550386905670166,4.422391414642334,0.01261076144874096,6,False
data_sample_40,sample_19875,5,4.8602399826049805,4.735245227813721,0.00961026269942522,6,False
data_sample_41,sample_1006,5,4.502236843109131,4.380773544311523,0.006078943144530058,6,False
data_sample_42,sample_24852,5,4.443437576293945,4.308406829833984,0.01964631862938404,6,False
data_sample_43,sample_21055,5,4.480186939239502,4.39083194732666,0.012431883253157139,4,False
data_sample_44,sample_3967,5,4.380615711212158,4.248467922210693,0.016763266175985336,6,False
data_sample_45,sample_3671,5,4.47615385055542,4.349297523498535,0.01147157046943903,6,False
data_sample_46,sample_29739,5,4.508444309234619,4.419702529907227,0.01181902177631855,4,False
data_sample_47,sample_8844,5,4.679902076721191,4.553928375244141,0.010588939301669598,6,False
data_sample_48,sample_1575,5,4.413169860839844,4.292508125305176,0.005277162883430719,6,False
data_sample_49,sample_23873,5,4.397946357727051,4.312072277069092,0.008951294235885143,4,False
