#Design: ProKI_design;Power Bus Pin Impedance Power_GND
#Produced on;2026-04-12 16:53:16;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;2.76068e-02;2.21650e-03;-2.75176e-02
1.10000e+06;2.26040e-02;2.24916e-03;-2.24918e-02
1.20000e+06;1.82215e-02;2.28155e-03;-1.80781e-02
1.30000e+06;1.43212e-02;2.31399e-03;-1.41330e-02
1.40000e+06;1.08115e-02;2.34678e-03;-1.05537e-02
1.50000e+06;7.64436e-03;2.38022e-03;-7.26435e-03
1.60000e+06;4.85138e-03;2.41464e-03;-4.20777e-03
1.70000e+06;2.79281e-03;2.45042e-03;-1.33986e-03
1.80000e+06;2.84218e-03;2.48793e-03;1.37411e-03
1.90000e+06;4.69960e-03;2.52765e-03;3.96197e-03
2.00000e+06;6.93994e-03;2.57010e-03;6.44649e-03
2.10000e+06;9.22528e-03;2.61589e-03;8.84664e-03
2.20000e+06;1.14920e-02;2.66575e-03;1.11785e-02
2.30000e+06;1.37283e-02;2.72055e-03;1.34561e-02
2.40000e+06;1.59363e-02;2.78134e-03;1.56917e-02
2.50000e+06;1.81222e-02;2.84939e-03;1.78968e-02
2.60000e+06;2.02939e-02;2.92629e-03;2.00818e-02
2.70000e+06;2.24600e-02;3.01398e-03;2.22569e-02
2.80000e+06;2.46298e-02;3.11492e-03;2.44321e-02
2.90000e+06;2.68132e-02;3.23220e-03;2.66177e-02
3.00000e+06;2.90208e-02;3.36979e-03;2.88245e-02
3.10000e+06;3.12645e-02;3.53284e-03;3.10643e-02
3.20000e+06;3.35577e-02;3.72809e-03;3.33500e-02
3.30000e+06;3.59158e-02;3.96448e-03;3.56963e-02
3.40000e+06;3.83573e-02;4.25411e-03;3.81206e-02
3.50000e+06;4.09040e-02;4.61351e-03;4.06430e-02
3.60000e+06;4.35832e-02;5.06573e-03;4.32878e-02
3.70000e+06;4.64281e-02;5.64354e-03;4.60838e-02
3.80000e+06;4.94809e-02;6.39441e-03;4.90659e-02
3.90000e+06;5.27944e-02;7.38862e-03;5.22748e-02
4.00000e+06;5.64352e-02;8.73257e-03;5.57555e-02
4.10000e+06;6.04846e-02;1.05907e-02;5.95502e-02
4.20000e+06;6.50351e-02;1.32209e-02;6.36771e-02
4.30000e+06;7.01700e-02;1.70284e-02;6.80724e-02
4.40000e+06;7.58952e-02;2.26255e-02;7.24443e-02
4.50000e+06;8.19475e-02;3.08070e-02;7.59363e-02
4.60000e+06;8.73479e-02;4.20773e-02;7.65452e-02
4.70000e+06;8.97723e-02;5.49696e-02;7.09747e-02
4.80000e+06;8.60173e-02;6.39616e-02;5.75143e-02
4.90000e+06;7.54410e-02;6.31893e-02;4.12125e-02
5.00000e+06;6.21365e-02;5.44514e-02;2.99332e-02
5.10000e+06;5.08531e-02;4.39379e-02;2.56026e-02
5.20000e+06;4.36036e-02;3.51379e-02;2.58186e-02
5.30000e+06;4.02026e-02;2.86599e-02;2.81932e-02
5.40000e+06;3.95852e-02;2.41050e-02;3.13997e-02
5.50000e+06;4.06575e-02;2.09700e-02;3.48323e-02
5.60000e+06;4.26414e-02;1.88730e-02;3.82374e-02
5.70000e+06;4.50732e-02;1.75625e-02;4.15109e-02
5.80000e+06;4.76896e-02;1.68846e-02;4.46005e-02
5.90000e+06;5.03244e-02;1.67466e-02;4.74563e-02
6.00000e+06;5.28401e-02;1.70803e-02;5.00034e-02
6.10000e+06;5.50897e-02;1.77977e-02;5.21356e-02
6.20000e+06;5.69188e-02;1.87430e-02;5.37442e-02
6.30000e+06;5.82218e-02;1.96810e-02;5.47945e-02
6.40000e+06;5.90286e-02;2.03738e-02;5.54011e-02
6.50000e+06;5.95142e-02;2.07160e-02;5.57923e-02
6.60000e+06;5.98758e-02;2.07702e-02;5.61579e-02
6.70000e+06;6.02010e-02;2.06491e-02;5.65489e-02
6.80000e+06;6.04728e-02;2.03890e-02;5.69320e-02
6.90000e+06;6.06770e-02;1.99426e-02;5.73061e-02
7.00000e+06;6.08807e-02;1.92655e-02;5.77521e-02
7.10000e+06;6.12132e-02;1.83885e-02;5.83859e-02
7.20000e+06;6.17873e-02;1.74131e-02;5.92828e-02
7.30000e+06;6.26476e-02;1.64563e-02;6.04476e-02
7.40000e+06;6.37734e-02;1.56062e-02;6.18344e-02
7.50000e+06;6.51099e-02;1.49117e-02;6.33794e-02
7.60000e+06;6.65954e-02;1.43913e-02;6.50218e-02
7.70000e+06;6.81744e-02;1.40458e-02;6.67118e-02
7.80000e+06;6.98015e-02;1.38676e-02;6.84101e-02
7.90000e+06;7.14393e-02;1.38460e-02;7.00846e-02
8.00000e+06;7.30560e-02;1.39687e-02;7.17081e-02
8.10000e+06;7.46225e-02;1.42217e-02;7.32548e-02
8.20000e+06;7.61109e-02;1.45880e-02;7.46998e-02
8.30000e+06;7.74934e-02;1.50447e-02;7.60190e-02
8.40000e+06;7.87444e-02;1.55615e-02;7.71914e-02
8.50000e+06;7.98435e-02;1.60995e-02;7.82036e-02
8.60000e+06;8.07817e-02;1.66143e-02;7.90547e-02
8.70000e+06;8.15648e-02;1.70618e-02;7.97603e-02
8.80000e+06;8.22153e-02;1.74066e-02;8.03515e-02
8.90000e+06;8.27677e-02;1.76292e-02;8.08684e-02
9.00000e+06;8.32606e-02;1.77274e-02;8.13515e-02
9.10000e+06;8.37282e-02;1.77124e-02;8.18332e-02
9.20000e+06;8.41953e-02;1.76019e-02;8.23348e-02
9.30000e+06;8.46771e-02;1.74133e-02;8.28673e-02
9.40000e+06;8.51820e-02;1.71602e-02;8.34356e-02
9.50000e+06;8.57156e-02;1.68521e-02;8.40427e-02
9.60000e+06;8.62832e-02;1.64961e-02;8.46916e-02
9.70000e+06;8.68908e-02;1.60992e-02;8.53863e-02
9.80000e+06;8.75448e-02;1.56691e-02;8.61311e-02
9.90000e+06;8.82502e-02;1.52149e-02;8.69288e-02
1.00000e+07;8.90103e-02;1.47463e-02;8.77802e-02
1.10000e+07;9.90089e-02;1.06459e-02;9.84349e-02
1.20000e+07;1.10766e-01;8.41643e-03;1.10446e-01
1.30000e+07;1.22523e-01;7.33367e-03;1.22304e-01
1.40000e+07;1.33999e-01;6.75774e-03;1.33828e-01
1.50000e+07;1.45235e-01;6.42001e-03;1.45093e-01
1.60000e+07;1.56294e-01;6.20855e-03;1.56171e-01
1.70000e+07;1.67221e-01;6.07089e-03;1.67110e-01
1.80000e+07;1.78047e-01;5.97963e-03;1.77947e-01
1.90000e+07;1.88796e-01;5.91920e-03;1.88703e-01
2.00000e+07;1.99483e-01;5.88015e-03;1.99396e-01
2.10000e+07;2.10120e-01;5.85641e-03;2.10038e-01
2.20000e+07;2.20716e-01;5.84396e-03;2.20639e-01
2.30000e+07;2.31278e-01;5.84001e-03;2.31205e-01
2.40000e+07;2.41812e-01;5.84257e-03;2.41742e-01
2.50000e+07;2.52322e-01;5.85021e-03;2.52254e-01
2.60000e+07;2.62811e-01;5.86184e-03;2.62746e-01
2.70000e+07;2.73283e-01;5.87667e-03;2.73220e-01
2.80000e+07;2.83740e-01;5.89406e-03;2.83679e-01
2.90000e+07;2.94183e-01;5.91354e-03;2.94124e-01
3.00000e+07;3.04615e-01;5.93473e-03;3.04557e-01
3.10000e+07;3.15037e-01;5.95732e-03;3.14981e-01
3.20000e+07;3.25450e-01;5.98106e-03;3.25395e-01
3.30000e+07;3.35856e-01;6.00578e-03;3.35802e-01
3.40000e+07;3.46255e-01;6.03129e-03;3.46202e-01
3.50000e+07;3.56648e-01;6.05748e-03;3.56596e-01
3.60000e+07;3.67036e-01;6.08424e-03;3.66985e-01
3.70000e+07;3.77420e-01;6.11147e-03;3.77370e-01
3.80000e+07;3.87800e-01;6.13911e-03;3.87751e-01
3.90000e+07;3.98176e-01;6.16710e-03;3.98128e-01
4.00000e+07;4.08550e-01;6.19537e-03;4.08503e-01
4.10000e+07;4.18922e-01;6.22389e-03;4.18876e-01
4.20000e+07;4.29291e-01;6.25263e-03;4.29246e-01
4.30000e+07;4.39660e-01;6.28154e-03;4.39615e-01
4.40000e+07;4.50027e-01;6.31062e-03;4.49982e-01
4.50000e+07;4.60393e-01;6.33983e-03;4.60349e-01
4.60000e+07;4.70758e-01;6.36916e-03;4.70715e-01
4.70000e+07;4.81123e-01;6.39859e-03;4.81081e-01
4.80000e+07;4.91489e-01;6.42812e-03;4.91447e-01
4.90000e+07;5.01854e-01;6.45772e-03;5.01812e-01
5.00000e+07;5.12220e-01;6.48740e-03;5.12178e-01
5.10000e+07;5.22586e-01;6.51715e-03;5.22545e-01
5.20000e+07;5.32953e-01;6.54696e-03;5.32913e-01
5.30000e+07;5.43321e-01;6.57683e-03;5.43281e-01
5.40000e+07;5.53690e-01;6.60675e-03;5.53651e-01
5.50000e+07;5.64061e-01;6.63672e-03;5.64022e-01
5.60000e+07;5.74433e-01;6.66675e-03;5.74394e-01
5.70000e+07;5.84807e-01;6.69682e-03;5.84769e-01
5.80000e+07;5.95182e-01;6.72694e-03;5.95144e-01
5.90000e+07;6.05560e-01;6.75712e-03;6.05522e-01
6.00000e+07;6.15940e-01;6.78735e-03;6.15902e-01
6.10000e+07;6.26322e-01;6.81762e-03;6.26285e-01
6.20000e+07;6.36706e-01;6.84796e-03;6.36669e-01
6.30000e+07;6.47093e-01;6.87834e-03;6.47056e-01
6.40000e+07;6.57482e-01;6.90879e-03;6.57446e-01
6.50000e+07;6.67874e-01;6.93930e-03;6.67838e-01
6.60000e+07;6.78269e-01;6.96987e-03;6.78233e-01
6.70000e+07;6.88667e-01;7.00050e-03;6.88632e-01
6.80000e+07;6.99068e-01;7.03120e-03;6.99033e-01
6.90000e+07;7.09472e-01;7.06198e-03;7.09437e-01
7.00000e+07;7.19880e-01;7.09283e-03;7.19845e-01
7.10000e+07;7.30291e-01;7.12376e-03;7.30256e-01
7.20000e+07;7.40705e-01;7.15477e-03;7.40671e-01
7.30000e+07;7.51124e-01;7.18586e-03;7.51089e-01
7.40000e+07;7.61545e-01;7.21704e-03;7.61511e-01
7.50000e+07;7.71971e-01;7.24832e-03;7.71937e-01
7.60000e+07;7.82401e-01;7.27969e-03;7.82367e-01
7.70000e+07;7.92834e-01;7.31116e-03;7.92801e-01
7.80000e+07;8.03272e-01;7.34274e-03;8.03239e-01
7.90000e+07;8.13714e-01;7.37442e-03;8.13681e-01
8.00000e+07;8.24161e-01;7.40622e-03;8.24127e-01
8.10000e+07;8.34611e-01;7.43813e-03;8.34578e-01
8.20000e+07;8.45067e-01;7.47016e-03;8.45034e-01
8.30000e+07;8.55527e-01;7.50232e-03;8.55494e-01
8.40000e+07;8.65991e-01;7.53460e-03;8.65958e-01
8.50000e+07;8.76461e-01;7.56702e-03;8.76428e-01
8.60000e+07;8.86935e-01;7.59957e-03;8.86902e-01
8.70000e+07;8.97414e-01;7.63226e-03;8.97382e-01
8.80000e+07;9.07899e-01;7.66510e-03;9.07866e-01
8.90000e+07;9.18388e-01;7.69809e-03;9.18356e-01
9.00000e+07;9.28883e-01;7.73124e-03;9.28851e-01
9.10000e+07;9.39383e-01;7.76454e-03;9.39351e-01
9.20000e+07;9.49889e-01;7.79801e-03;9.49857e-01
9.30000e+07;9.60400e-01;7.83164e-03;9.60368e-01
9.40000e+07;9.70917e-01;7.86545e-03;9.70885e-01
9.50000e+07;9.81440e-01;7.89943e-03;9.81408e-01
9.60000e+07;9.91968e-01;7.93360e-03;9.91936e-01
9.70000e+07;1.00250e+00;7.96795e-03;1.00247e+00
9.80000e+07;1.01304e+00;8.00249e-03;1.01301e+00
9.90000e+07;1.02359e+00;8.03723e-03;1.02356e+00
1.00000e+08;1.03414e+00;8.07217e-03;1.03411e+00
1.10000e+08;1.14003e+00;8.43368e-03;1.14000e+00
1.20000e+08;1.24665e+00;8.82089e-03;1.24662e+00
1.30000e+08;1.35411e+00;9.23952e-03;1.35408e+00
1.40000e+08;1.46252e+00;9.69606e-03;1.46249e+00
1.50000e+08;1.57200e+00;1.01980e-02;1.57197e+00
1.60000e+08;1.68269e+00;1.07544e-02;1.68266e+00
1.70000e+08;1.79476e+00;1.13758e-02;1.79473e+00
1.80000e+08;1.90839e+00;1.20754e-02;1.90835e+00
1.90000e+08;2.02378e+00;1.28696e-02;2.02373e+00
2.00000e+08;2.14117e+00;1.37794e-02;2.14113e+00
2.10000e+08;2.26088e+00;1.48324e-02;2.26083e+00
2.20000e+08;2.38324e+00;1.60666e-02;2.38319e+00
2.30000e+08;2.50873e+00;1.75379e-02;2.50867e+00
2.40000e+08;2.63793e+00;1.93382e-02;2.63786e+00
2.50000e+08;2.77173e+00;2.16541e-02;2.77165e+00
2.60000e+08;2.91167e+00;2.50459e-02;2.91156e+00
2.70000e+08;3.06166e+00;3.30648e-02;3.06148e+00
2.80000e+08;3.18715e+00;6.98458e-02;3.18638e+00
2.90000e+08;3.34187e+00;3.92502e-02;3.34164e+00
3.00000e+08;3.51833e+00;4.23897e-02;3.51807e+00
3.10000e+08;3.70688e+00;5.07565e-02;3.70653e+00
3.20000e+08;3.91636e+00;6.41261e-02;3.91583e+00
3.30000e+08;4.15904e+00;8.64414e-02;4.15814e+00
3.40000e+08;4.45897e+00;1.29120e-01;4.45710e+00
3.50000e+08;4.87508e+00;2.33498e-01;4.86948e+00
3.60000e+08;5.58694e+00;6.41510e-01;5.54999e+00
3.70000e+08;5.81648e+00;2.90527e+00;5.03893e+00
3.80000e+08;3.82048e+00;8.58357e-01;3.72281e+00
3.90000e+08;4.61318e+00;3.96777e-01;4.59608e+00
4.00000e+08;5.34544e+00;3.82289e-01;5.33175e+00
4.10000e+08;6.22211e+00;5.58020e-01;6.19704e+00
4.20000e+08;7.61468e+00;1.14177e+00;7.52859e+00
4.30000e+08;1.05994e+01;3.74840e+00;9.91447e+00
4.40000e+08;1.25479e+01;1.21652e+01;3.07555e+00
4.50000e+08;3.49049e+00;3.46578e+00;-4.14610e-01
4.60000e+08;2.05054e+00;1.80643e+00;9.70326e-01
4.70000e+08;2.16812e+00;7.43584e-01;2.03662e+00
4.80000e+08;2.89726e+00;4.30243e-01;2.86514e+00
4.90000e+08;3.46042e+00;3.02935e-01;3.44713e+00
5.00000e+08;3.91483e+00;2.40951e-01;3.90741e+00
5.10000e+08;4.31171e+00;2.10844e-01;4.30655e+00
5.20000e+08;4.68390e+00;2.01929e-01;4.67955e+00
5.30000e+08;5.05830e+00;2.15453e-01;5.05371e+00
5.40000e+08;5.46583e+00;2.77508e-01;5.45879e+00
5.50000e+08;5.84660e+00;5.15096e-01;5.82387e+00
5.60000e+08;6.04447e+00;4.83401e-01;6.02511e+00
5.70000e+08;6.69367e+00;5.65965e-01;6.66970e+00
5.80000e+08;7.66796e+00;1.12434e+00;7.58508e+00
5.90000e+08;8.91308e+00;3.54199e+00;8.17907e+00
6.00000e+08;5.41053e+00;3.61035e+00;4.02979e+00
