gen_sample,nn_train_sample,nn_train_K,combined_score,heatmap_mse,impedance_mse,occupancy_hamming,occupancy_exact
data_sample_0,sample_21406,16,4.3388142585754395,3.9864511489868164,0.044670600444078445,16,False
data_sample_1,sample_12510,16,4.064745903015137,3.7770352363586426,0.018479781225323677,14,False
data_sample_2,sample_20548,16,4.1324052810668945,3.8944897651672363,0.007146397605538368,12,False
data_sample_3,sample_23669,16,4.1865010261535645,3.90590238571167,0.011367996223270893,14,False
data_sample_4,sample_14745,16,4.286697864532471,4.001866340637207,0.015600823797285557,14,False
data_sample_5,sample_9867,16,4.089451789855957,3.8371148109436035,0.021567605435848236,12,False
data_sample_6,sample_97,16,4.3939995765686035,4.108129978179932,0.016638552770018578,14,False
data_sample_7,sample_13523,16,3.9390499591827393,3.659114360809326,0.01070466823875904,14,False
data_sample_8,sample_19074,16,4.23766565322876,3.9939534664154053,0.012943020090460777,12,False
data_sample_9,sample_17244,16,4.308891296386719,4.065761566162109,0.012360411696135998,12,False
data_sample_10,sample_4618,16,3.9761247634887695,3.765285015106201,0.018532097339630127,10,False
data_sample_11,sample_289,16,4.235494613647461,3.989023447036743,0.0157020203769207,12,False
data_sample_12,sample_25265,16,4.3639726638793945,4.089333534240723,0.005408084951341152,14,False
data_sample_13,sample_12362,16,4.237765312194824,3.9930341243743896,0.013961858116090298,12,False
data_sample_14,sample_824,16,4.0224080085754395,3.7823281288146973,0.009310503490269184,12,False
data_sample_15,sample_10401,16,4.193155288696289,3.9494781494140625,0.012907878495752811,12,False
data_sample_16,sample_6498,16,3.895688533782959,3.6520767211914062,0.012842616066336632,12,False
data_sample_17,sample_696,16,4.187273025512695,3.8981432914733887,0.019898781552910805,14,False
data_sample_18,sample_5989,16,4.284909248352051,4.047370433807373,0.006769485771656036,12,False
data_sample_19,sample_27930,16,4.08880090713501,3.841461181640625,0.01657051593065262,12,False
data_sample_20,sample_29006,16,4.337281227111816,4.059778213500977,0.008271981030702591,14,False
data_sample_21,sample_8884,16,4.199309825897217,3.8448119163513184,0.008343981578946114,18,False
data_sample_22,sample_25164,16,4.053410053253174,3.775693416595459,0.008486132137477398,14,False
data_sample_23,sample_15594,16,4.28300666809082,4.005577087402344,0.00819892343133688,14,False
data_sample_24,sample_10193,16,4.098701000213623,3.882786273956299,0.02360726147890091,10,False
data_sample_25,sample_3001,16,4.04433012008667,3.8285553455352783,0.023466961458325386,10,False
data_sample_26,sample_4289,16,4.130894184112549,3.8378279209136963,0.0238356813788414,14,False
