K,n_gen,n_train,baseline_combined_median,gen_to_train_combined_median,median_ratio_gen_over_base,occ_exact,occ_ham_median,hm_mse_median,imp_mse_median
1,100,52,0.20594322681427002,12.703970432281494,61.68676012704499,15,2.0,12.375804424285889,0.039872074499726295
2,100,622,0.08818059414625168,5.846815586090088,66.30501464293684,10,2.0,5.791524410247803,0.01690845564007759
3,100,621,0.10805417969822884,4.8039796352386475,44.45898945006189,0,4.0,4.730063438415527,0.010847347788512707
4,100,601,0.13374914973974228,4.653423309326172,34.79217115309595,0,4.0,4.5620505809783936,0.011800724547356367
5,100,608,0.15684083104133606,4.5545125007629395,29.03907401231876,0,6.0,4.439141035079956,0.012314899358898401
6,100,604,0.1758209615945816,4.451510906219482,25.318431123611074,0,6.0,4.329359531402588,0.010910958983004093
7,100,633,0.1973540559411049,4.344232559204102,22.012380432153485,0,6.0,4.203414440155029,0.010675801895558834
8,100,618,0.20723500847816467,4.271807670593262,20.61334955885777,0,8.0,4.113996505737305,0.011039172299206257
9,100,624,0.22717104107141495,4.235827207565308,18.64598228536403,0,8.0,4.062645435333252,0.011559754610061646
10,100,610,0.24250071495771408,4.186716794967651,17.264760624304582,0,10.0,4.001834869384766,0.013071233406662941
11,100,620,0.25678080320358276,4.221583366394043,16.440416548767697,0,10.0,4.033280611038208,0.011668944265693426
12,100,599,0.26772645115852356,4.212900400161743,15.735839256567301,0,10.0,3.990528106689453,0.012921882327646017
13,100,592,0.2762940227985382,4.216018915176392,15.259175252772415,0,12.0,3.991777181625366,0.012195735704153776
14,100,593,0.2869326323270798,4.18247389793396,14.57650133417478,0,12.0,3.9518603086471558,0.012114421930164099
15,100,628,0.29349811375141144,4.1973161697387695,14.300998790383485,0,12.0,3.948564887046814,0.011717627290636301
16,100,588,0.3079073280096054,4.188174247741699,13.602060966899254,0,12.0,3.92344331741333,0.012925449293106794
17,100,590,0.31236521899700165,4.220951557159424,13.512873074386492,0,14.0,3.95915150642395,0.01106473570689559
18,100,597,0.3210471421480179,4.181659936904907,13.025065131951758,0,14.0,3.910106658935547,0.010685974266380072
19,100,631,0.3224828243255615,4.156481027603149,12.888999705010606,0,14.0,3.8898112773895264,0.010758503340184689
20,100,638,0.332688644528389,4.187711715698242,12.587480169738395,0,14.0,3.912468910217285,0.01031038397923112
21,100,623,0.33361653983592987,4.198070526123047,12.583520373982736,0,14.0,3.919696807861328,0.011297646909952164
22,100,580,0.3385944068431854,4.189518690109253,12.37326608306782,0,14.0,3.8993061780929565,0.008748570457100868
23,100,611,0.33490438759326935,4.187527418136597,12.503650514194561,0,14.0,3.903449058532715,0.008733708411455154
24,100,583,0.33808577060699463,4.124725580215454,12.20023419740493,0,14.0,3.830312490463257,0.009453051257878542
