K,n_train,n_gen,baseline_combined_median,combined_p10,combined_median,combined_p90,median_ratio_gen_over_base,hm_median,imp_median,ham_median,occ_exact,occ_exact_rate,nn_mode_frac,nn_mode_sample
1,52,100,0.20594322681427002,6.363806343078613,12.703970432281494,19.659017181396486,61.68676012704499,12.375804424285889,0.039872074499726295,2.0,15,0.15,0.09,sample_4
2,622,100,0.08818059414625168,5.043721485137939,5.846815586090088,8.027230119705205,66.30501464293684,5.791524410247803,0.01690845564007759,2.0,10,0.1,0.03,sample_7974
3,621,100,0.10805417969822884,4.535389089584351,4.8039796352386475,5.4074406147003184,44.45898945006189,4.730063438415527,0.010847347788512707,4.0,0,0.0,0.03,sample_9880
4,601,100,0.13374914973974228,4.479082870483398,4.653423309326172,5.0748687267303465,34.79217115309595,4.5620505809783936,0.011800724547356367,4.0,0,0.0,0.02,sample_11408
5,608,100,0.15684083104133606,4.382666301727295,4.5545125007629395,4.79591007232666,29.03907401231876,4.439141035079956,0.012314899358898401,6.0,0,0.0,0.02,sample_23970
6,604,100,0.1758209615945816,4.319098806381225,4.451510906219482,4.6558084964752195,25.318431123611074,4.329359531402588,0.010910958983004093,6.0,0,0.0,0.03,sample_29288
7,633,100,0.1973540559411049,4.2312897682189945,4.344232559204102,4.499109125137329,22.012380432153485,4.203414440155029,0.010675801895558834,6.0,0,0.0,0.02,sample_27572
8,618,100,0.20723500847816467,4.122704029083252,4.271807670593262,4.411987590789795,20.61334955885777,4.113996505737305,0.011039172299206257,8.0,0,0.0,0.03,sample_24535
9,624,100,0.22717104107141495,4.0971447944641115,4.235827207565308,4.344541311264038,18.64598228536403,4.062645435333252,0.011559754610061646,8.0,0,0.0,0.04,sample_17260
10,610,100,0.24250071495771408,4.03198766708374,4.186716794967651,4.339029693603516,17.264760624304582,4.001834869384766,0.013071233406662941,10.0,0,0.0,0.03,sample_2905
11,620,100,0.25678080320358276,4.086301708221436,4.221583366394043,4.358090496063232,16.440416548767697,4.033280611038208,0.011668944265693426,10.0,0,0.0,0.02,sample_6220
12,599,100,0.26772645115852356,4.08539400100708,4.212900400161743,4.3381389617919925,15.735839256567301,3.990528106689453,0.012921882327646017,10.0,0,0.0,0.02,sample_27577
13,592,100,0.2762940227985382,4.091331529617309,4.216018915176392,4.330650854110718,15.259175252772415,3.991777181625366,0.012195735704153776,12.0,0,0.0,0.04,sample_5231
14,593,100,0.2869326323270798,4.005300045013428,4.18247389793396,4.373994064331055,14.57650133417478,3.9518603086471558,0.012114421930164099,12.0,0,0.0,0.03,sample_10075
15,628,100,0.29349811375141144,4.033257579803466,4.1973161697387695,4.348527717590332,14.300998790383485,3.948564887046814,0.011717627290636301,12.0,0,0.0,0.03,sample_29169
16,588,100,0.3079073280096054,4.011578369140625,4.188174247741699,4.364746809005737,13.602060966899254,3.92344331741333,0.012925449293106794,12.0,0,0.0,0.02,sample_14745
