gen_sample,nn_train_sample,nn_train_K,combined_score,heatmap_mse,impedance_mse,occupancy_hamming,occupancy_exact,occ_pattern_in_train,combined_percentile_vs_train_nn
data_sample_0,sample_14663,41,4.019482612609863,3.8238539695739746,0.0033208674285560846,10,False,False,1.0
data_sample_1,sample_207,41,3.7621893882751465,3.559843063354492,0.010038565844297409,10,False,False,1.0
data_sample_2,sample_29313,41,3.8809704780578613,3.6866419315338135,0.002020765794441104,10,False,False,1.0
data_sample_3,sample_584,41,3.8250417709350586,3.668754816055298,0.002440745709463954,8,False,False,1.0
data_sample_4,sample_2271,41,3.7443795204162598,3.585829257965088,0.004704066552221775,8,False,False,1.0
data_sample_5,sample_11032,41,3.8376195430755615,3.682098150253296,0.001675163977779448,8,False,False,1.0
data_sample_6,sample_3243,41,3.9992117881774902,3.802755832672119,0.00414827698841691,10,False,False,1.0
data_sample_7,sample_9722,41,3.922431230545044,3.7614285945892334,0.007156438194215298,8,False,False,1.0
data_sample_8,sample_7025,41,3.915039539337158,3.718766689300537,0.00396517151966691,10,False,False,1.0
data_sample_9,sample_15631,41,3.7514615058898926,3.5870702266693115,0.010545078665018082,8,False,False,1.0
data_sample_10,sample_18068,41,3.6515326499938965,3.45405912399292,0.005165793467313051,10,False,False,1.0
data_sample_11,sample_2008,41,3.7147231101989746,3.5189521312713623,0.0034631507005542517,10,False,False,1.0
data_sample_12,sample_9099,41,3.8620352745056152,3.7042489051818848,0.003940202295780182,8,False,False,1.0
data_sample_13,sample_1622,41,3.8287415504455566,3.6324820518493652,0.003951696213334799,10,False,False,1.0
data_sample_14,sample_20114,41,3.7874674797058105,3.668273448944092,0.0038095449563115835,6,False,False,1.0
data_sample_15,sample_27428,41,3.796175241470337,3.598158836364746,0.005708636716008186,10,False,False,1.0
data_sample_16,sample_13680,41,3.9592206478118896,3.7645115852355957,0.002401244593784213,10,False,False,1.0
data_sample_17,sample_20308,41,3.959099531173706,3.8000078201293945,0.005245456472039223,8,False,False,1.0
data_sample_18,sample_10434,41,3.693413734436035,3.499115467071533,0.001990644494071603,10,False,False,1.0
data_sample_19,sample_20114,41,3.9429659843444824,3.743037700653076,0.007620675023645163,10,False,False,1.0
data_sample_20,sample_22303,41,3.8804051876068115,3.686413049697876,0.001684411778114736,10,False,False,1.0
data_sample_21,sample_28987,41,3.963115692138672,3.7652463912963867,0.005561597645282745,10,False,False,1.0
data_sample_22,sample_17039,41,3.814953088760376,3.6205039024353027,0.0021413827780634165,10,False,False,1.0
data_sample_23,sample_15984,41,3.7114787101745605,3.5520238876342773,0.00560862896963954,8,False,False,1.0
data_sample_24,sample_3403,41,3.736989736557007,3.5429744720458984,0.0017075311625376344,10,False,False,1.0
data_sample_25,sample_145,41,3.7765843868255615,3.61763858795166,0.005099473986774683,8,False,False,1.0
data_sample_26,sample_1399,41,3.685225486755371,3.5675151348114014,0.0023258093278855085,6,False,False,1.0
data_sample_27,sample_646,41,3.945228338241577,3.779236078262329,0.01214599609375,8,False,False,1.0
data_sample_28,sample_28419,41,3.8430516719818115,3.635119915008545,0.015623942948877811,10,False,False,1.0
data_sample_29,sample_20856,41,3.7498884201049805,3.5569005012512207,0.0006801060517318547,10,False,False,1.0
data_sample_30,sample_21657,41,4.080774784088135,3.883267402648926,0.005199878476560116,10,False,False,1.0
data_sample_31,sample_29565,41,3.8004000186920166,3.6372697353363037,0.009284080937504768,8,False,False,1.0
data_sample_32,sample_15910,41,3.902409076690674,3.7448298931121826,0.0037329206243157387,8,False,False,1.0
data_sample_33,sample_16130,41,3.8130195140838623,3.651205062866211,0.00796812679618597,8,False,False,1.0
data_sample_34,sample_207,41,3.8359439373016357,3.6405038833618164,0.003132345387712121,10,False,False,1.0
data_sample_35,sample_14513,41,3.8075642585754395,3.652345657348633,0.0013722340809181333,8,False,False,1.0
