K,n_gen,n_train,baseline_combined_median,gen_to_train_combined_median,median_ratio_gen_over_base,train_to_gen_combined_median,train_to_gen_cov_at_base_p90,mem_suspect_rate_p01,mem_suspect_rate_p05,mem_suspect_rate_p10,occ_exact,occ_ham_median,hm_mse_median,imp_mse_median,train_occ_unique,gen_occ_unique,gen_occ_new_unique,gen_occ_new_rate,gen_occ_mode_frac,occ_jsd
1,520,52,0.20594322681427002,13.040707111358643,63.32185482904669,12.074891090393066,0.0,0.0,0.0,0.0,82,2.0,12.702210426330566,0.04332340136170387,52,44,0,0.0,0.12307692307692308,0.24071201151314778
2,520,622,0.08818059414625168,5.812713861465454,65.91828868633833,5.42054009437561,0.0,0.0,0.0,0.0,48,2.0,5.736948013305664,0.014122702647000551,622,342,168,0.49615384615384617,0.019230769230769232,0.6509056529776892
3,520,621,0.10805417969822884,4.818011999130249,44.588853597203546,4.629086494445801,0.0,0.0,0.0,0.0,11,4.0,4.74258279800415,0.011361786630004644,621,493,471,0.9576923076923077,0.009615384615384616,0.9613527605881569
4,520,601,0.13374914973974228,4.657544851303101,34.82298661610972,4.483216762542725,0.0,0.0,0.0,0.0,1,4.0,4.563619613647461,0.011153250001370907,601,516,513,0.9942307692307693,0.0038461538461538464,0.9946398258902343
5,520,608,0.15684083104133606,4.531480312347412,28.892223295814606,4.373619079589844,0.0,0.0,0.0,0.0,1,6.0,4.422016143798828,0.011028075125068426,608,519,518,0.9980769230769231,0.0038461538461538464,0.998223932922322
6,520,604,0.1758209615945816,4.463145017623901,25.38460134187689,4.3067498207092285,0.0,0.0,0.0,0.0,0,6.0,4.333313703536987,0.011354388669133186,604,520,520,1.0,0.0019230769230769232,1.0
7,520,633,0.1973540559411049,4.367652416229248,22.13104967821213,4.232940673828125,0.0,0.0,0.0,0.0,0,6.0,4.229532241821289,0.011552884709089994,633,520,520,1.0,0.0019230769230769232,1.0
8,520,618,0.20723500847816467,4.276376962661743,20.63539840138701,4.089953660964966,0.0,0.0,0.0,0.0,0,8.0,4.111296892166138,0.011523358523845673,618,520,520,1.0,0.0019230769230769232,1.0
9,520,624,0.22717104107141495,4.216395378112793,18.560443964278438,4.036076068878174,0.0,0.0,0.0,0.0,0,8.0,4.0427775382995605,0.012375604826956987,624,520,520,1.0,0.0019230769230769232,1.0
10,520,610,0.24250071495771408,4.190847158432007,17.281793000745516,3.501899838447571,0.0,0.0,0.0,0.0,0,10.0,4.002429962158203,0.012802718207240105,610,520,520,1.0,0.0019230769230769232,1.0
11,520,620,0.25678080320358276,4.224668025970459,16.452429361010402,4.052980184555054,0.0,0.0,0.0,0.0,0,10.0,4.023998737335205,0.012417219579219818,620,520,520,1.0,0.0019230769230769232,1.0
12,520,599,0.26772645115852356,4.233871698379517,15.814170322201738,4.011798858642578,0.0,0.0,0.0,0.0,0,10.0,4.017352819442749,0.01203218288719654,599,520,520,1.0,0.0019230769230769232,1.0
13,520,592,0.2762940227985382,4.221041440963745,15.27735344474516,4.086809873580933,0.0,0.0,0.0,0.0,0,12.0,3.9914743900299072,0.011813869699835777,592,520,520,1.0,0.0019230769230769232,1.0
14,520,593,0.2869326323270798,4.180908679962158,14.571046332563052,3.9948294162750244,0.0,0.0,0.0,0.0,0,12.0,3.9397008419036865,0.012043213937431574,593,520,520,1.0,0.0019230769230769232,1.0
