K,n_train,n_gen,baseline_combined_median,combined_p10,combined_median,combined_p90,median_ratio_gen_over_base,hm_median,imp_median,ham_median,occ_exact,occ_exact_rate,nn_mode_frac,nn_mode_sample,gen_nn_percentile_p10,gen_nn_percentile_median,gen_nn_percentile_p90,mem_suspect_rate_p01,mem_suspect_rate_p05,mem_suspect_rate_p10,train_to_gen_combined_median,train_to_gen_cov_at_base_p90,train_occ_unique,gen_occ_unique,gen_occ_new_unique,gen_occ_new_rate,gen_occ_in_train_unique,train_occ_covered_rate,max_possible_train_coverage_rate,gen_occ_repeat_rate,gen_occ_mode_frac,occ_jsd,train_occ_entropy,gen_occ_entropy,combo_space,combo_space_log10,train_combo_space_rate,gen_combo_space_rate,gen_in_train_combo_space_rate,gen_occ_in_train_samples,gen_occ_in_train_sample_rate,expected_in_train_samples_uniform,expected_in_train_sample_rate_uniform,in_train_sample_rate_over_uniform
1,52,520,0.20594322681427002,6.366173648834229,13.040707111358643,19.659648132324218,63.32185482904669,12.702210426330566,0.04332340136170387,2.0,82,0.1576923076923077,0.13076923076923078,sample_4,1.0,1.0,1.0,0.0,0.0,0.0,12.074891090393066,0.0,52,44,0,0.0,44,0.8461538461538461,1.0,0.9153846153846154,0.12307692307692308,0.2407120115131478,5.7004397181410935,4.7421756924473,52,1.7160033436347992,1.0,0.8461538461538461,0.8461538461538461,520,1.0,520.0,1.0,1.0
2,622,520,0.08818059414625168,5.130518674850464,5.812713861465454,8.743750667572023,65.91828868633833,5.736948013305664,0.014122702647000551,2.0,48,0.09230769230769231,0.011538461538461539,sample_3435,1.0,1.0,1.0,0.0,0.0,0.0,5.42054009437561,0.0,622,342,168,0.49615384615384617,174,0.2797427652733119,0.8360128617363344,0.3423076923076923,0.019230769230769232,0.6509056529776893,9.280770770130603,8.143229071242882,1326,3.1225435240687545,0.46907993966817496,0.2579185520361991,0.13122171945701358,262,0.5038461538461538,243.92156862745097,0.46907993966817496,1.0741157556270096
3,621,520,0.10805417969822884,4.579530954360962,4.818011999130249,5.413030815124512,44.588853597203546,4.74258279800415,0.011361786630004644,4.0,11,0.021153846153846155,0.009615384615384616,sample_8580,1.0,1.0,1.0,0.0,0.0,0.0,4.629086494445801,0.0,621,493,471,0.9576923076923077,22,0.03542673107890499,0.8373590982286635,0.05192307692307696,0.009615384615384616,0.9613527605881569,9.278449458220482,8.904830475569293,22100,4.344392273685111,0.028099547511312217,0.022307692307692306,0.000995475113122172,22,0.04230769230769231,14.611764705882353,0.028099547511312217,1.5056360708534622
4,601,520,0.13374914973974228,4.4661671161651615,4.657544851303101,5.024174928665161,34.82298661610972,4.563619613647461,0.011153250001370907,4.0,1,0.0019230769230769232,0.011538461538461539,sample_14091,1.0,1.0,1.0,0.0,0.0,0.0,4.483216762542725,0.0,601,516,513,0.9942307692307693,3,0.004991680532445923,0.8652246256239601,0.007692307692307665,0.0038461538461538464,0.9946398258902341,9.231221180711186,9.006983197643837,270725,5.432528362385662,0.0022199649090405395,0.0019059931664973681,1.1081355619170744e-05,3,0.0057692307692307696,1.1543817527010805,0.0022199649090405395,2.5987936772046587
5,608,520,0.15684083104133606,4.377613067626953,4.531480312347412,4.822111034393311,28.892223295814606,4.422016143798828,0.011028075125068426,6.0,1,0.0019230769230769232,0.011538461538461539,sample_22231,1.0,1.0,1.0,0.0,0.0,0.0,4.373619079589844,0.0,608,519,518,0.9980769230769231,1,0.001644736842105263,0.8552631578947368,0.0019230769230769162,0.0038461538461538464,0.998223932922322,9.247927513443585,9.0185216591823,2598960,6.41479959542523,0.00023393972973804908,0.0001996952627204728,3.8476929233231754e-07,1,0.0019230769230769232,0.12164865946378552,0.00023393972973804908,8.220394736842104
6,604,520,0.1758209615945816,4.327726173400879,4.463145017623901,4.668154382705689,25.38460134187689,4.333313703536987,0.011354388669133186,6.0,0,0.0,0.021153846153846155,sample_24290,1.0,1.0,1.0,0.0,0.0,0.0,4.3067498207092285,0.0,604,520,520,1.0,0,0.0,0.8609271523178808,0.0,0.0019230769230769232,1.0,9.238404739325077,9.022367813028453,20358520,7.3087462029773045,2.966816841302806e-05,2.5542131746315548e-05,0.0,0,0.0,0.015427447574774591,2.966816841302806e-05,0.0
7,633,520,0.1973540559411049,4.249183988571167,4.367652416229248,4.53832311630249,22.13104967821213,4.229532241821289,0.011552884709089994,6.0,0,0.0,0.011538461538461539,sample_9600,1.0,1.0,1.0,0.0,0.0,0.0,4.232940673828125,0.0,633,520,520,1.0,0,0.0,0.8214849921011058,0.0,0.0019230769230769232,1.0,9.30606168942834,9.022367813028453,133784560,8.126405994644621,4.731487699327935e-06,3.8868461353088875e-06,0.0,0,0.0,0.002460373603650526,4.731487699327935e-06,0.0
8,618,520,0.20723500847816467,4.131831645965576,4.276376962661743,4.434652328491211,20.63539840138701,4.111296892166138,0.011523358523845673,8.0,0,0.0,0.013461538461538462,sample_9494,1.0,1.0,1.0,0.0,0.0,0.0,4.089953660964966,0.0,618,520,520,1.0,0,0.0,0.8414239482200647,0.0,0.0019230769230769232,1.0,9.271463027904375,9.022367813028453,752538150,8.876528521428021,8.212208244857752e-07,6.909948684993578e-07,0.0,0,0.0,0.0004270348287326031,8.212208244857752e-07,0.0
9,624,520,0.22717104107141495,4.074998092651367,4.216395378112793,4.3424821376800535,18.560443964278438,4.0427775382995605,0.012375604826956987,8.0,0,0.0,0.011538461538461539,sample_27338,1.0,1.0,1.0,0.0,0.0,0.0,4.036076068878174,0.0,624,520,520,1.0,0,0.0,0.8333333333333334,0.0,0.0019230769230769232,1.0,9.285402218862249,9.022367813028453,3679075400,9.565738688474884,1.6960783135893327e-07,1.4133985946577774e-07,0.0,0,0.0,8.81960723066453e-05,1.6960783135893327e-07,0.0
10,610,520,0.24250071495771408,4.023947668075562,4.190847158432007,4.337277841567993,17.281793000745516,4.002429962158203,0.012802718207240105,10.0,0,0.0,0.011538461538461539,sample_10842,1.0,1.0,1.0,0.0,0.0,0.0,3.501899838447571,0.0,610,520,520,1.0,0,0.0,0.8524590163934426,0.0,0.0019230769230769232,1.0,9.252665432450247,9.022367813028453,15820024220,10.199207144054471,3.855872731400913e-08,3.2869734759483195e-08,0.0,0,0.0,2.005053820328475e-05,3.855872731400913e-08,0.0
