#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-05-12 12:28:04;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;4.71589e-02;2.72544e-03;-4.70800e-02
1.10000e+06;4.02267e-02;2.75875e-03;-4.01320e-02
1.20000e+06;3.42210e-02;2.79139e-03;-3.41070e-02
1.30000e+06;2.89286e-02;2.82361e-03;-2.87905e-02
1.40000e+06;2.41981e-02;2.85563e-03;-2.40291e-02
1.50000e+06;1.99205e-02;2.88770e-03;-1.97101e-02
1.60000e+06;1.60173e-02;2.92002e-03;-1.57489e-02
1.70000e+06;1.24360e-02;2.95284e-03;-1.20804e-02
1.80000e+06;9.15466e-03;2.98638e-03;-8.65386e-03
1.90000e+06;6.21291e-03;3.02091e-03;-5.42903e-03
2.00000e+06;3.86994e-03;3.05670e-03;-2.37339e-03
2.10000e+06;3.14076e-03;3.09407e-03;5.39578e-04
2.20000e+06;4.57376e-03;3.13335e-03;3.33187e-03
2.30000e+06;6.80765e-03;3.17495e-03;6.02194e-03
2.40000e+06;9.20667e-03;3.21930e-03;8.62548e-03
2.50000e+06;1.16245e-02;3.26692e-03;1.11560e-02
2.60000e+06;1.40236e-02;3.31841e-03;1.36254e-02
2.70000e+06;1.63951e-02;3.37447e-03;1.60440e-02
2.80000e+06;1.87391e-02;3.43591e-03;1.84215e-02
2.90000e+06;2.10598e-02;3.50370e-03;2.07663e-02
3.00000e+06;2.33625e-02;3.57902e-03;2.30867e-02
3.10000e+06;2.56533e-02;3.66326e-03;2.53904e-02
3.20000e+06;2.79388e-02;3.75809e-03;2.76849e-02
3.30000e+06;3.02258e-02;3.86560e-03;2.99776e-02
3.40000e+06;3.25216e-02;3.98829e-03;3.22761e-02
3.50000e+06;3.48339e-02;4.12930e-03;3.45882e-02
3.60000e+06;3.71711e-02;4.29255e-03;3.69224e-02
3.70000e+06;3.95424e-02;4.48295e-03;3.92874e-02
3.80000e+06;4.19581e-02;4.70680e-03;4.16932e-02
3.90000e+06;4.44298e-02;4.97216e-03;4.41507e-02
4.00000e+06;4.69710e-02;5.28955e-03;4.66722e-02
4.10000e+06;4.95972e-02;5.67279e-03;4.92717e-02
4.20000e+06;5.23266e-02;6.14036e-03;5.19651e-02
4.30000e+06;5.51808e-02;6.71720e-03;5.47705e-02
4.40000e+06;5.81852e-02;7.43753e-03;5.77079e-02
4.50000e+06;6.13696e-02;8.34890e-03;6.07991e-02
4.60000e+06;6.47684e-02;9.51830e-03;6.40652e-02
4.70000e+06;6.84191e-02;1.10411e-02;6.75223e-02
4.80000e+06;7.23582e-02;1.30540e-02;7.11710e-02
4.90000e+06;7.66098e-02;1.57514e-02;7.49731e-02
5.00000e+06;8.11582e-02;1.94015e-02;7.88050e-02
5.10000e+06;8.58884e-02;2.43426e-02;8.23666e-02
5.20000e+06;9.04699e-02;3.08999e-02;8.50295e-02
5.30000e+06;9.41745e-02;3.90914e-02;8.56779e-02
5.40000e+06;9.57489e-02;4.80002e-02;8.28482e-02
5.50000e+06;9.37673e-02;5.52329e-02;7.57735e-02
5.60000e+06;8.78367e-02;5.79345e-02;6.60219e-02
5.70000e+06;7.95927e-02;5.54284e-02;5.71199e-02
5.80000e+06;7.17366e-02;4.98177e-02;5.16173e-02
5.90000e+06;6.61627e-02;4.36806e-02;4.96941e-02
6.00000e+06;6.33223e-02;3.84727e-02;5.02948e-02
6.10000e+06;6.27488e-02;3.46263e-02;5.23300e-02
6.20000e+06;6.37298e-02;3.20972e-02;5.50569e-02
6.30000e+06;6.56661e-02;3.07191e-02;5.80377e-02
6.40000e+06;6.81366e-02;3.03510e-02;6.10034e-02
6.50000e+06;7.08293e-02;3.08988e-02;6.37342e-02
6.60000e+06;7.34572e-02;3.22730e-02;6.59880e-02
6.70000e+06;7.57087e-02;3.43186e-02;6.74836e-02
6.80000e+06;7.72398e-02;3.67430e-02;6.79407e-02
6.90000e+06;7.77262e-02;3.90772e-02;6.71888e-02
7.00000e+06;7.69807e-02;4.07404e-02;6.53165e-02
7.10000e+06;7.50886e-02;4.12423e-02;6.27485e-02
7.20000e+06;7.24454e-02;4.04132e-02;6.01258e-02
7.30000e+06;6.96250e-02;3.84653e-02;5.80350e-02
7.40000e+06;6.71587e-02;3.58345e-02;5.67994e-02
7.50000e+06;6.53771e-02;3.29615e-02;5.64598e-02
7.60000e+06;6.43848e-02;3.01628e-02;5.68825e-02
7.70000e+06;6.41251e-02;2.76125e-02;5.78755e-02
7.80000e+06;6.44646e-02;2.53779e-02;5.92592e-02
7.90000e+06;6.52561e-02;2.34631e-02;6.08920e-02
8.00000e+06;6.63706e-02;2.18418e-02;6.26737e-02
8.10000e+06;6.77085e-02;2.04778e-02;6.45376e-02
8.20000e+06;6.91975e-02;1.93356e-02;6.64411e-02
8.30000e+06;7.07863e-02;1.83853e-02;6.83570e-02
8.40000e+06;7.24379e-02;1.76027e-02;7.02666e-02
8.50000e+06;7.41243e-02;1.69683e-02;7.21560e-02
8.60000e+06;7.58230e-02;1.64661e-02;7.40134e-02
8.70000e+06;7.75152e-02;1.60819e-02;7.58286e-02
8.80000e+06;7.91846e-02;1.58023e-02;7.75918e-02
