epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.1329,0.8385,-0.0401,1.0353,0.0750,0.8750,0.0645,0.6461,0.5979,-0.8305,2.7088,0.7726,5.3550,5.4648
25,0.010000,-0.0150,0.6252,0.0983,1.0675,-0.0945,0.6120,-0.0231,0.3000,1.0140,-0.8706,0.6938,1.3295,5.1555,5.3082
50,0.020417,0.0342,0.6286,0.0791,1.0358,-0.1260,0.5670,-0.0180,0.2563,1.2169,-0.7593,0.5082,1.6183,4.3417,4.5441
75,0.030833,0.0773,0.5764,-0.1533,0.9267,-0.0939,0.6185,-0.0003,0.2153,1.3093,-0.9204,0.3695,1.6948,3.9072,4.1290
100,0.041250,0.0804,0.5738,-0.1687,0.8877,-0.1285,0.6388,-0.0082,0.1986,1.3483,-0.8716,0.3248,1.7349,3.5487,3.7920
125,0.051667,0.1067,0.5733,-0.1670,0.8550,-0.1165,0.6464,0.0046,0.1824,1.3719,-0.7209,0.3300,1.7675,3.2915,3.5564
150,0.062083,0.1060,0.5642,-0.1393,0.8473,-0.1141,0.6547,0.0039,0.1653,1.3892,-0.6324,0.2978,1.7857,3.0583,3.3435
175,0.072500,0.1187,0.5535,-0.1119,0.8383,-0.1273,0.6637,0.0213,0.1654,1.3890,-0.6850,0.3326,1.7881,2.8356,3.1422
200,0.082917,0.0574,0.5515,-0.0587,0.8393,-0.1433,0.6773,0.0156,0.1331,1.3943,-0.5525,0.2073,1.7798,2.6292,2.9493
225,0.093333,0.0056,0.5521,-0.0295,0.8165,-0.1676,0.6851,-0.0010,0.1430,1.3901,-0.4729,0.2500,1.7767,2.4881,2.8296
250,0.101875,-0.0116,0.5424,-0.0307,0.8310,-0.1721,0.6845,-0.0039,0.1271,1.3900,-0.5032,0.2285,1.7719,2.3434,2.6994
275,0.107083,-0.0132,0.5313,-0.0344,0.8063,-0.1639,0.6859,0.0006,0.1231,1.4029,-0.4263,0.2059,1.8034,2.2317,2.6062
300,0.112292,-0.0178,0.5363,-0.0381,0.7958,-0.1580,0.6864,-0.0008,0.1120,1.4012,-0.4104,0.1598,1.7944,2.0895,2.4717
325,0.117500,-0.0024,0.5271,-0.0332,0.7866,-0.1416,0.6814,0.0087,0.1151,1.4082,-0.4127,0.2155,1.8183,1.9892,2.3892
350,0.122708,-0.0176,0.5308,-0.0319,0.7830,-0.1453,0.6824,0.0005,0.1048,1.4014,-0.3117,0.1908,1.8001,1.8800,2.2854
375,0.127917,-0.0124,0.5271,-0.0281,0.7844,-0.1341,0.6815,0.0011,0.1114,1.4039,-0.4032,0.2292,1.8091,1.7932,2.2118
400,0.133125,-0.0201,0.5207,-0.0144,0.7787,-0.1449,0.6840,0.0004,0.0952,1.4062,-0.3069,0.1538,1.8148,1.6989,2.1296
425,0.138333,-0.0190,0.5204,-0.0202,0.7842,-0.1196,0.6772,0.0124,0.0908,1.4056,-0.3183,0.1816,1.8193,1.6186,2.0624
450,0.143542,-0.0443,0.5215,0.0074,0.7953,-0.1172,0.6842,0.0089,0.0749,1.4018,-0.2860,0.1345,1.8087,1.5559,2.0057
475,0.148750,-0.0453,0.5135,-0.0116,0.7766,-0.1076,0.6868,0.0112,0.0934,1.3963,-0.3473,0.1897,1.8170,1.4691,1.9370
500,0.150000,-0.0554,0.5065,0.0081,0.7926,-0.1164,0.6925,0.0040,0.0999,1.3923,-0.3616,0.1992,1.8120,1.3895,1.8588
525,0.150000,-0.0607,0.5060,-0.0099,0.7888,-0.0946,0.6942,0.0115,0.1005,1.3920,-0.3484,0.2046,1.8142,1.3310,1.8012
550,0.150000,-0.0546,0.5005,0.0008,0.7804,-0.1042,0.6968,0.0033,0.0932,1.4040,-0.2628,0.1981,1.8399,1.2756,1.7539
575,0.150000,-0.0473,0.4978,0.0081,0.7737,-0.0890,0.7039,0.0155,0.0936,1.4049,-0.2705,0.1974,1.8465,1.2129,1.6956
600,0.150000,-0.0471,0.4970,0.0030,0.7680,-0.0880,0.7055,0.0099,0.0816,1.4113,-0.2658,0.2142,1.8595,1.1510,1.6379
625,0.150000,-0.0636,0.4957,0.0094,0.7562,-0.0755,0.7055,0.0106,0.1013,1.4245,-0.2507,0.2605,1.8930,1.2091,1.7071
650,0.150000,-0.0636,0.4965,0.0146,0.7664,-0.0765,0.6980,0.0086,0.0809,1.4259,-0.2306,0.1960,1.8919,1.2384,1.7358
675,0.150000,-0.0784,0.4964,0.0044,0.7680,-0.0714,0.6986,0.0021,0.0830,1.4227,-0.2563,0.2011,1.8882,1.2105,1.7072
700,0.150000,-0.0727,0.4942,0.0093,0.7651,-0.0732,0.7000,0.0059,0.0826,1.4240,-0.2436,0.1768,1.8921,1.1973,1.6959
725,0.150000,-0.0695,0.4937,0.0081,0.7584,-0.0661,0.6989,0.0099,0.0800,1.4245,-0.2321,0.1775,1.8973,1.1912,1.6927
750,0.150000,-0.0732,0.4930,0.0063,0.7630,-0.0666,0.6993,0.0062,0.0785,1.4271,-0.2336,0.1910,1.8992,1.1849,1.6860
775,0.150000,-0.0580,0.4576,0.0197,0.8583,-0.0286,0.6471,0.0049,0.0965,1.3622,-0.2561,0.2573,1.8047,1.4134,1.8912
800,0.150000,-0.0540,0.4620,0.0219,0.8846,-0.0125,0.6562,0.0103,0.0876,1.3837,-0.2336,0.1897,1.8324,1.3320,1.8125
825,0.150000,-0.0665,0.4674,0.0232,0.9002,-0.0072,0.6638,0.0110,0.0781,1.3949,-0.2504,0.2035,1.8425,1.2966,1.7771
850,0.150000,-0.0669,0.4708,0.0088,0.9084,-0.0127,0.6648,0.0071,0.0820,1.3968,-0.2480,0.2152,1.8455,1.2724,1.7532
875,0.150000,-0.0993,0.4209,0.0908,0.7639,-0.0187,0.6790,0.0031,0.1134,1.3732,-0.3072,0.3544,1.8631,1.2729,1.7827
900,0.150000,-0.0883,0.4258,0.0802,0.7485,-0.0366,0.6776,0.0036,0.1062,1.3691,-0.3014,0.3229,1.8587,1.2421,1.7558
925,0.150000,-0.0918,0.4306,0.0851,0.7458,-0.0422,0.6731,0.0077,0.0891,1.3675,-0.1755,0.2516,1.8538,1.2456,1.7573
