epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,58.46,22.36,80.82,1,11.187001,5.5109
1,50.81,21.81,72.62,1,11.264753,5.3086
1,50.80,22.26,73.06,1,11.389641,5.4652
2,46.87,0.00,46.87,0,8.927473,
2,48.09,0.00,48.09,0,8.894653,
2,48.19,0.00,48.19,0,8.847278,
3,47.94,0.00,47.94,0,8.608952,
3,47.97,0.00,47.97,0,8.543513,
3,48.03,0.00,48.03,0,8.492875,
4,48.00,0.00,48.00,0,8.265625,
4,47.69,0.00,47.69,0,8.149213,
4,48.06,0.00,48.06,0,8.179882,
5,46.92,0.00,46.92,0,7.971961,
5,47.08,0.00,47.08,0,7.823189,
5,50.40,0.00,50.40,0,7.815091,
6,47.94,0.00,47.94,0,7.699530,
6,47.86,0.00,47.86,0,7.729444,
6,47.95,0.00,47.95,0,7.723094,
7,47.77,0.00,47.77,0,7.549545,
7,48.29,0.00,48.29,0,7.681159,
7,48.01,0.00,48.01,0,7.632798,
8,47.97,0.00,47.97,0,7.558343,
8,48.18,0.00,48.19,0,7.631022,
8,48.54,0.00,48.54,0,7.625363,
9,47.68,0.00,47.68,0,7.543684,
9,48.18,0.00,48.18,0,7.658241,
9,48.08,0.00,48.08,0,7.585370,
10,47.37,0.00,47.37,0,7.526306,
10,48.28,0.00,48.28,0,7.640354,
10,48.08,0.00,48.08,0,7.599470,
11,47.66,0.00,47.66,0,7.536344,
11,48.32,0.00,48.32,0,7.687433,
11,48.24,0.00,48.24,0,7.616389,
12,47.84,0.00,47.84,0,7.539023,
12,48.15,0.00,48.15,0,7.776127,
12,48.54,0.00,48.54,0,7.707567,
13,48.09,0.00,48.09,0,7.597589,
13,48.11,0.00,48.11,0,7.806688,
13,48.32,0.00,48.32,0,7.759908,
14,47.62,0.00,47.62,0,7.615088,
14,48.09,0.00,48.09,0,7.841705,
14,48.58,0.00,48.58,0,7.736444,
15,47.36,0.00,47.36,0,7.654152,
15,48.08,0.00,48.08,0,7.820405,
15,48.61,0.00,48.61,0,7.798316,
16,46.99,0.00,46.99,0,7.791336,
16,48.43,0.00,48.43,0,7.828374,
16,48.04,0.00,48.04,0,7.830794,
17,47.03,0.00,47.03,0,7.728511,
17,48.83,0.00,48.83,0,7.883830,
17,48.29,0.00,48.29,0,7.861679,
18,47.33,0.00,47.33,0,7.784938,
18,48.08,0.00,48.08,0,7.937449,
18,47.96,0.00,47.96,0,7.902115,
19,47.46,0.00,47.46,0,7.888754,
19,48.25,0.00,48.25,0,7.989969,
19,48.21,0.00,48.22,0,7.868683,
20,47.29,0.00,47.29,0,7.846183,
20,48.16,0.00,48.16,0,7.988653,
20,48.29,0.00,48.29,0,7.872522,
21,47.27,0.00,47.27,0,7.854354,
21,48.52,0.00,48.52,0,7.977422,
21,47.93,0.00,47.93,0,7.936705,
22,47.46,0.00,47.46,0,7.927211,
22,47.90,0.00,47.90,0,8.003575,
22,48.26,0.00,48.26,0,7.980986,
23,47.72,0.00,47.72,0,7.942022,
23,47.92,0.00,47.92,0,8.028368,
23,48.04,0.00,48.04,0,8.015625,
24,48.07,0.00,48.07,0,7.995329,
24,48.07,0.00,48.07,0,8.029288,
24,48.06,0.00,48.06,0,7.978296,
