epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.0258,1.0257,-0.0234,1.0144,-0.0389,1.0023,-0.0083,0.1222,0.5053,-0.2667,0.2501,0.3349,23.1174,23.3223
25,0.013333,0.0768,0.7694,0.0588,0.9939,0.1545,0.8471,0.0581,0.4007,0.5452,-0.9331,0.8533,0.6393,18.4563,18.5499
50,0.027222,0.0924,0.6815,0.0402,0.9627,0.1375,0.7661,0.0715,0.4560,0.5743,-0.7964,1.1115,0.7732,13.1708,13.3010
75,0.041111,0.0563,0.6597,0.0334,0.9429,0.1311,0.7250,0.0414,0.4891,0.5821,-1.3050,1.0861,0.8284,11.2978,11.4464
100,0.055000,0.0454,0.6917,0.0255,0.9358,0.1376,0.6948,0.0513,0.3892,0.5928,-0.7020,0.9792,0.7867,9.3406,9.4882
125,0.068889,0.0254,0.6921,0.0222,0.9234,0.1407,0.6711,0.0448,0.3887,0.6116,-0.7971,1.0435,0.8257,8.5724,8.7404
150,0.082778,0.0163,0.7159,0.0142,0.9121,0.1359,0.6603,0.0457,0.3599,0.6290,-0.7340,1.0415,0.8336,8.0917,8.2745
175,0.096667,0.0173,0.7620,0.0041,0.9039,0.1306,0.6537,0.0493,0.3298,0.6450,-0.7127,1.0675,0.8282,7.7920,7.9836
200,0.105278,0.0050,0.7686,0.0014,0.9016,0.1186,0.6378,0.0414,0.3768,0.6498,-0.9859,1.1480,0.8595,7.5069,7.7147
225,0.112222,0.0125,0.8092,-0.0060,0.9016,0.1252,0.6465,0.0463,0.3369,0.6574,-0.7384,1.1163,0.8340,7.3493,7.5547
250,0.119167,0.0126,0.8092,-0.0077,0.8937,0.1107,0.6409,0.0438,0.3314,0.6692,-0.8774,1.0536,0.8517,7.4195,7.6363
275,0.126111,0.0101,0.8317,-0.0121,0.8920,0.1127,0.6367,0.0471,0.3126,0.6818,-0.7172,1.0549,0.8603,7.4356,7.6601
300,0.133056,-0.0085,0.8494,-0.0121,0.8964,0.1067,0.6252,0.0407,0.3198,0.6852,-0.8347,1.1294,0.8705,7.2453,7.4801
325,0.140000,0.0017,0.8480,-0.0165,0.9006,0.1077,0.6225,0.0447,0.2876,0.6929,-0.6861,1.0651,0.8747,7.0535,7.2959
350,0.146944,-0.0017,0.8644,-0.0216,0.9042,0.1077,0.6127,0.0457,0.3100,0.7034,-0.7529,1.1206,0.8988,6.8115,7.0683
375,0.150000,0.0112,0.8631,-0.0292,0.9110,0.1023,0.6093,0.0466,0.2712,0.7154,-0.5696,1.0187,0.9031,6.6736,6.9339
400,0.150000,0.0114,0.8827,-0.0358,0.9142,0.0936,0.5999,0.0399,0.2854,0.7229,-0.6730,1.0851,0.9215,6.4429,6.7104
425,0.150000,0.0051,0.8652,-0.0355,0.9177,0.0977,0.6015,0.0390,0.2837,0.7271,-0.7470,1.0600,0.9272,6.2778,6.5481
450,0.150000,0.0025,0.9013,-0.0395,0.9174,0.0841,0.5964,0.0349,0.2689,0.7344,-0.6373,1.0078,0.9278,6.1962,6.4652
475,0.150000,-0.0005,0.8888,-0.0300,0.9204,0.0562,0.5936,0.0240,0.2488,0.7647,-0.7124,0.8404,0.9670,5.7541,6.0360
500,0.150000,-0.0181,0.9024,-0.0287,0.9299,0.0557,0.5837,0.0296,0.2606,0.7811,-0.6220,0.9392,0.9984,5.5976,5.8907
525,0.120000,-0.0077,0.8650,-0.0198,0.9275,0.0623,0.5776,0.0351,0.2768,0.8081,-0.9128,0.9131,1.0524,5.5118,5.7930
550,0.120000,-0.0260,0.8579,-0.0139,0.9326,0.0383,0.5662,0.0249,0.2618,0.8204,-0.8498,0.8176,1.0741,5.4046,5.6917
575,0.120000,-0.0268,0.7754,-0.0112,0.9367,0.0374,0.5746,0.0213,0.2849,0.8421,-1.1541,0.7808,1.1158,5.2915,5.5926
600,0.120000,-0.0286,0.8400,-0.0091,0.9457,0.0247,0.5712,0.0183,0.2489,0.8427,-0.8362,0.7410,1.0882,5.1964,5.4881
625,0.120000,-0.0350,0.9366,-0.0084,0.9541,0.0191,0.5657,0.0240,0.2598,0.8532,-0.6318,0.8151,1.0860,5.1627,5.4457
650,0.120000,-0.0317,0.8581,-0.0080,0.9652,0.0162,0.5676,0.0174,0.2289,0.8698,-0.6906,0.6586,1.1090,5.0542,5.3479
675,0.120000,-0.0378,0.8883,-0.0057,0.9711,0.0220,0.5662,0.0253,0.2511,0.8837,-0.7618,0.7735,1.1287,4.9724,5.2709
700,0.120000,-0.0484,0.8787,-0.0020,0.9834,0.0200,0.5718,0.0177,0.2563,0.8970,-0.9391,0.6549,1.1381,4.8432,5.1475
725,0.120000,-0.0376,0.8094,-0.0022,0.9918,0.0278,0.5707,0.0224,0.2358,0.8983,-0.9323,0.5876,1.1451,4.8435,5.1505
750,0.120000,-0.0489,0.8721,-0.0029,0.9969,0.0060,0.5707,0.0139,0.2385,0.9169,-0.6634,0.7238,1.1589,4.7829,5.0868
775,0.110000,-0.0621,0.9354,-0.0299,1.0160,0.0447,0.6377,0.0193,0.2649,0.9629,-0.7457,0.6258,1.1353,9.4950,9.7836
800,0.110000,-0.0363,0.9691,-0.0285,1.0177,0.0045,0.6271,0.0113,0.1788,1.0010,-0.4010,0.5312,1.1598,9.1733,9.4657
825,0.110000,-0.0298,0.8076,-0.0328,1.0401,-0.0254,0.6372,-0.0030,0.2306,1.0397,-0.9459,0.4358,1.2449,8.9226,9.2346
850,0.110000,-0.0211,0.8530,-0.0466,1.0508,0.0365,0.6508,0.0174,0.1959,1.0626,-0.6820,0.4686,1.2340,8.8006,9.1032
875,0.110000,-0.0107,0.8442,-0.0411,1.0431,-0.0128,0.6370,-0.0165,0.1648,1.0639,-0.3994,0.3423,1.2362,8.7389,9.0417
900,0.110000,0.0235,0.8130,-0.0383,1.0482,0.0012,0.6519,-0.0123,0.1517,1.0723,-0.4762,0.2856,1.2433,8.5971,8.9027
