epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,24.81,14.19,39.01,1,65.747578,17.9786
2,20.01,0.00,20.01,0,29.495817,
3,18.23,0.00,18.23,0,24.795095,
4,17.74,0.00,17.74,0,24.779383,
5,18.54,0.00,18.54,0,25.345010,
6,17.93,0.00,17.93,0,25.970147,
7,20.66,0.00,20.66,0,27.063432,
8,21.39,0.00,21.39,0,27.855934,
9,21.31,0.00,21.31,0,28.720344,
10,19.25,0.00,19.25,0,29.429416,
11,20.69,0.00,20.69,0,30.095408,
12,20.75,0.00,20.75,0,30.558214,
13,20.31,0.00,20.31,0,31.166682,
14,22.12,0.00,22.12,0,31.556338,
15,22.63,0.00,22.63,0,31.925638,
16,23.11,0.00,23.11,0,32.416853,
17,20.18,0.00,20.18,0,32.876045,
18,21.32,0.00,21.32,0,33.223618,
19,21.50,0.00,21.50,0,33.057568,
20,20.17,0.00,20.17,0,33.216485,
21,22.36,0.00,22.36,0,33.719824,
22,23.03,0.00,23.03,0,33.604252,
23,26.24,0.00,26.24,0,41.977900,
24,27.35,0.00,27.35,0,41.121903,
25,22.16,21.00,43.16,1,40.454586,18.5499
26,26.07,0.00,26.07,0,39.619818,
27,20.82,0.00,20.82,0,39.112130,
28,20.64,0.00,20.64,0,38.440110,
29,21.17,0.00,21.17,0,38.320529,
30,21.32,0.00,21.32,0,37.752409,
31,20.81,0.00,20.81,0,36.856575,
32,21.13,0.00,21.13,0,36.695351,
33,20.90,0.00,20.90,0,36.249419,
34,20.82,0.00,20.82,0,35.627161,
35,21.76,0.00,21.76,0,35.090593,
36,21.10,0.00,21.10,0,34.671679,
37,21.32,0.00,21.32,0,34.099836,
38,21.83,0.00,21.83,0,33.742807,
39,21.68,0.00,21.68,0,32.468760,
40,21.82,0.00,21.82,0,32.922084,
41,21.37,0.00,21.37,0,32.387972,
42,21.08,0.00,21.08,0,31.824183,
43,20.67,0.00,20.67,0,31.208267,
44,21.17,0.00,21.17,0,31.155627,
45,22.35,0.00,22.35,0,30.536554,
46,22.60,0.00,22.60,0,30.545643,
47,22.09,0.00,22.09,0,30.291472,
48,22.00,0.00,22.00,0,29.591933,
49,21.86,0.00,21.86,0,29.632451,
50,21.70,19.77,41.47,1,29.346845,13.3010
51,22.11,0.00,22.11,0,29.613937,
52,21.57,0.00,21.57,0,28.603435,
53,22.00,0.00,22.00,0,28.695004,
54,21.79,0.00,21.79,0,28.519837,
55,21.64,0.00,21.64,0,28.361428,
56,21.94,0.00,21.94,0,28.068425,
57,21.84,0.00,21.84,0,28.144293,
58,23.31,0.00,23.31,0,27.909085,
59,22.30,0.00,22.30,0,27.427478,
60,21.52,0.00,21.52,0,27.272857,
61,21.81,0.00,21.81,0,27.553344,
62,22.26,0.00,22.26,0,27.284567,
63,22.10,0.00,22.10,0,27.280997,
64,21.99,0.00,21.99,0,26.622483,
65,22.36,0.00,22.36,0,26.509774,
66,21.41,0.00,21.41,0,26.266897,
67,20.99,0.00,20.99,0,26.541125,
68,21.51,0.00,21.51,0,26.153098,
69,21.24,0.00,21.24,0,26.197148,
70,21.14,0.00,21.14,0,25.917817,
71,21.81,0.00,21.81,0,25.717509,
72,20.98,0.00,20.98,0,25.502516,
73,20.99,0.00,20.99,0,25.450723,
74,21.35,0.00,21.35,0,25.215596,
75,21.63,19.30,40.92,1,25.572007,11.4464
76,21.48,0.00,21.48,0,25.203615,
77,21.20,0.00,21.20,0,24.825797,
78,21.39,0.00,21.39,0,24.947645,
79,21.92,0.00,21.92,0,24.189387,
80,21.57,0.00,21.57,0,23.281077,
81,21.20,0.00,21.20,0,22.193271,
82,21.50,0.00,21.50,0,21.890521,
83,21.65,0.00,21.65,0,21.480884,
84,20.98,0.00,20.98,0,21.219832,
85,21.66,0.00,21.66,0,21.186857,
86,21.35,0.00,21.35,0,21.043712,
87,21.89,0.00,21.89,0,20.675293,
88,21.78,0.00,21.78,0,20.543253,
89,20.90,0.00,20.90,0,20.469005,
90,20.80,0.00,20.80,0,20.367720,
91,21.72,0.00,21.72,0,20.140643,
92,21.51,0.00,21.51,0,19.922244,
93,21.95,0.00,21.95,0,19.808818,
94,22.00,0.00,22.00,0,19.759585,
95,21.90,0.00,21.90,0,19.799276,
96,21.94,0.00,21.94,0,19.851589,
97,22.21,0.00,22.21,0,19.455840,
98,22.02,0.00,22.02,0,19.325325,
99,21.45,0.00,21.45,0,19.321173,
100,21.20,19.38,40.58,1,19.142278,9.4882
101,21.60,0.00,21.60,0,19.063923,
102,21.25,0.00,21.25,0,19.090206,
103,20.81,0.00,20.81,0,19.013464,
104,21.11,0.00,21.11,0,18.864199,
105,21.16,0.00,21.16,0,18.863737,
106,21.80,0.00,21.80,0,18.656800,
107,21.14,0.00,21.14,0,18.624331,
108,21.19,0.00,21.19,0,18.728552,
109,21.22,0.00,21.22,0,18.444119,
110,21.18,0.00,21.18,0,18.385146,
111,20.89,0.00,20.89,0,18.416813,
112,21.50,0.00,21.50,0,18.460108,
113,20.99,0.00,20.99,0,18.100209,
114,20.92,0.00,20.92,0,18.354309,
115,21.34,0.00,21.34,0,18.021810,
116,21.04,0.00,21.04,0,18.067385,
117,22.16,0.00,22.16,0,18.096172,
118,21.71,0.00,21.71,0,18.001428,
119,20.82,0.00,20.82,0,17.730604,
120,20.98,0.00,20.98,0,17.608223,
121,21.67,0.00,21.67,0,17.770385,
122,20.88,0.00,20.88,0,17.780351,
123,20.91,0.00,20.91,0,17.401076,
124,22.36,0.00,22.36,0,17.456866,
125,22.16,19.51,41.67,1,17.594927,8.7404
126,21.31,0.00,21.31,0,17.345946,
127,20.64,0.00,20.64,0,17.351287,
128,20.76,0.00,20.76,0,17.271846,
129,21.19,0.00,21.19,0,17.338159,
130,21.68,0.00,21.68,0,17.245549,
131,21.77,0.00,21.77,0,17.133971,
132,21.66,0.00,21.66,0,17.169787,
133,21.46,0.00,21.46,0,17.044176,
134,21.32,0.00,21.32,0,17.290433,
135,21.68,0.00,21.68,0,17.194876,
136,21.07,0.00,21.07,0,16.975297,
137,21.38,0.00,21.38,0,16.974570,
138,21.27,0.00,21.27,0,17.129549,
139,20.92,0.00,20.92,0,16.899154,
140,21.25,0.00,21.25,0,16.893141,
141,21.17,0.00,21.17,0,16.890977,
142,20.83,0.00,20.83,0,16.563998,
143,21.08,0.00,21.08,0,16.533420,
144,21.22,0.00,21.22,0,16.816817,
145,21.23,0.00,21.23,0,16.811418,
146,21.28,0.00,21.28,0,16.656759,
147,20.80,0.00,20.80,0,16.640606,
148,21.12,0.00,21.12,0,16.510356,
149,20.83,0.00,20.83,0,16.655394,
150,21.28,19.85,41.13,1,16.620956,8.2745
151,20.90,0.00,20.90,0,16.484952,
152,21.09,0.00,21.09,0,16.508731,
153,21.70,0.00,21.70,0,16.600798,
154,21.77,0.00,21.77,0,16.373520,
155,21.66,0.00,21.66,0,16.407368,
156,21.29,0.00,21.29,0,16.297184,
157,20.76,0.00,20.76,0,16.316965,
158,21.18,0.00,21.18,0,16.255532,
159,21.75,0.00,21.75,0,16.301301,
160,21.05,0.00,21.05,0,16.160416,
161,21.44,0.00,21.44,0,15.976374,
162,21.75,0.00,21.75,0,16.274700,
163,21.01,0.00,21.01,0,15.935266,
164,20.73,0.00,20.73,0,15.837492,
165,21.17,0.00,21.17,0,16.094653,
166,21.23,0.00,21.23,0,16.070869,
167,21.10,0.00,21.10,0,15.944965,
168,21.50,0.00,21.50,0,16.012203,
169,21.58,0.00,21.58,0,15.988492,
170,21.83,0.00,21.83,0,15.986417,
171,21.24,0.00,21.24,0,15.883330,
172,20.72,0.00,20.72,0,15.893139,
173,20.77,0.00,20.77,0,15.953039,
174,21.28,0.00,21.28,0,15.932755,
175,21.60,18.86,40.46,1,15.854109,7.9836
176,20.97,0.00,20.97,0,15.886722,
177,21.69,0.00,21.69,0,15.562792,
178,21.92,0.00,21.92,0,15.830116,
179,21.62,0.00,21.62,0,15.945336,
180,21.09,0.00,21.09,0,15.543183,
181,20.60,0.00,20.60,0,15.597309,
182,21.70,0.00,21.70,0,15.639643,
183,22.22,0.00,22.22,0,15.654814,
184,21.81,0.00,21.81,0,15.546530,
185,21.62,0.00,21.62,0,15.605981,
186,21.47,0.00,21.47,0,15.451191,
187,20.80,0.00,20.80,0,15.705620,
188,20.96,0.00,20.96,0,15.433904,
189,21.86,0.00,21.86,0,15.406739,
190,21.65,0.00,21.65,0,15.412311,
191,21.71,0.00,21.71,0,15.340581,
192,22.01,0.00,22.01,0,15.358914,
193,21.87,0.00,21.87,0,15.603711,
194,22.01,0.00,22.01,0,15.504957,
195,22.07,0.00,22.07,0,15.268987,
196,21.72,0.00,21.72,0,15.330349,
197,20.86,0.00,20.86,0,15.544042,
198,21.20,0.00,21.20,0,15.300242,
199,21.21,0.00,21.21,0,15.211262,
200,20.77,19.08,39.85,1,15.260543,7.7147
201,20.59,0.00,20.59,0,15.243309,
202,20.54,0.00,20.54,0,15.206473,
203,21.03,0.00,21.03,0,15.355506,
204,20.94,0.00,20.94,0,15.187680,
205,20.95,0.00,20.95,0,15.056497,
206,21.51,0.00,21.51,0,15.015716,
