#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-06-09 19:47:25;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;1.27689e-01;4.77111e-03;-1.27600e-01
1.10000e+06;1.12947e-01;4.80932e-03;-1.12845e-01
1.20000e+06;1.00391e-01;4.84649e-03;-1.00274e-01
1.30000e+06;8.95161e-02;4.88284e-03;-8.93828e-02
1.40000e+06;7.99612e-02;4.91857e-03;-7.98098e-02
1.50000e+06;7.14622e-02;4.95388e-03;-7.12903e-02
1.60000e+06;6.38212e-02;4.98894e-03;-6.36259e-02
1.70000e+06;5.68866e-02;5.02393e-03;-5.66643e-02
1.80000e+06;5.05411e-02;5.05901e-03;-5.02873e-02
1.90000e+06;4.46924e-02;5.09436e-03;-4.44011e-02
2.00000e+06;3.92675e-02;5.13017e-03;-3.89309e-02
2.10000e+06;3.42081e-02;5.16661e-03;-3.38157e-02
2.20000e+06;2.94688e-02;5.20389e-03;-2.90057e-02
2.30000e+06;2.50148e-02;5.24223e-03;-2.44593e-02
2.40000e+06;2.08231e-02;5.28184e-03;-2.01421e-02
2.50000e+06;1.68856e-02;5.32300e-03;-1.60247e-02
2.60000e+06;1.32201e-02;5.36598e-03;-1.20821e-02
2.70000e+06;9.90228e-03;5.41108e-03;-8.29309e-03
2.80000e+06;7.16360e-03;5.45867e-03;-4.63899e-03
2.90000e+06;5.61857e-03;5.50912e-03;-1.10362e-03
3.00000e+06;6.03008e-03;5.56289e-03;2.32727e-03
3.10000e+06;7.98104e-03;5.62047e-03;5.66634e-03
3.20000e+06;1.05804e-02;5.68243e-03;8.92492e-03
3.30000e+06;1.34085e-02;5.74944e-03;1.21133e-02
3.40000e+06;1.63149e-02;5.82224e-03;1.52407e-02
3.50000e+06;1.92432e-02;5.90171e-03;1.83158e-02
3.60000e+06;2.21709e-02;5.98884e-03;2.13467e-02
3.70000e+06;2.50900e-02;6.08482e-03;2.43410e-02
3.80000e+06;2.79988e-02;6.19101e-03;2.73057e-02
3.90000e+06;3.08990e-02;6.30901e-03;3.02480e-02
4.00000e+06;3.37941e-02;6.44073e-03;3.31747e-02
4.10000e+06;3.66889e-02;6.58840e-03;3.60925e-02
4.20000e+06;3.95889e-02;6.75469e-03;3.90084e-02
4.30000e+06;4.25001e-02;6.94279e-03;4.19292e-02
4.40000e+06;4.54295e-02;7.15653e-03;4.48623e-02
4.50000e+06;4.83844e-02;7.40054e-03;4.78151e-02
4.60000e+06;5.13729e-02;7.68044e-03;5.07956e-02
4.70000e+06;5.44041e-02;8.00309e-03;5.38122e-02
4.80000e+06;5.74878e-02;8.37695e-03;5.68742e-02
4.90000e+06;6.06350e-02;8.81245e-03;5.99912e-02
5.00000e+06;6.38581e-02;9.32262e-03;6.31739e-02
5.10000e+06;6.71707e-02;9.92375e-03;6.64336e-02
5.20000e+06;7.05884e-02;1.06364e-02;6.97824e-02
5.30000e+06;7.41282e-02;1.14868e-02;7.32328e-02
5.40000e+06;7.78094e-02;1.25082e-02;7.67974e-02
5.50000e+06;8.16527e-02;1.37437e-02;8.04877e-02
5.60000e+06;8.56801e-02;1.52487e-02;8.43122e-02
5.70000e+06;8.99137e-02;1.70947e-02;8.82737e-02
5.80000e+06;9.43733e-02;1.93743e-02;9.23631e-02
5.90000e+06;9.90712e-02;2.22057e-02;9.65506e-02
6.00000e+06;1.04005e-01;2.57370e-02;1.00770e-01
6.10000e+06;1.09140e-01;3.01467e-02;1.04893e-01
6.20000e+06;1.14387e-01;3.56315e-02;1.08696e-01
6.30000e+06;1.19565e-01;4.23694e-02;1.11807e-01
6.40000e+06;1.24347e-01;5.04331e-02;1.13660e-01
6.50000e+06;1.28208e-01;5.96314e-02;1.13497e-01
6.60000e+06;1.30426e-01;6.92963e-02;1.10495e-01
6.70000e+06;1.30196e-01;7.81491e-02;1.04133e-01
6.80000e+06;1.26935e-01;8.45142e-02;9.47093e-02
6.90000e+06;1.20668e-01;8.70203e-02;8.35956e-02
7.00000e+06;1.12184e-01;8.53662e-02;7.27859e-02
7.10000e+06;1.02767e-01;8.04336e-02;6.39650e-02
7.20000e+06;9.37007e-02;7.36713e-02;5.78996e-02
7.30000e+06;8.58984e-02;6.63900e-02;5.45059e-02
7.40000e+06;7.98111e-02;5.94413e-02;5.32592e-02
7.50000e+06;7.55092e-02;5.32385e-02;5.35473e-02
7.60000e+06;7.28204e-02;4.79038e-02;5.48455e-02
7.70000e+06;7.14556e-02;4.34037e-02;5.67628e-02
7.80000e+06;7.11025e-02;3.96366e-02;5.90297e-02
7.90000e+06;7.14811e-02;3.64813e-02;6.14708e-02
8.00000e+06;7.23678e-02;3.38206e-02;6.39786e-02
8.10000e+06;7.35988e-02;3.15515e-02;6.64927e-02
8.20000e+06;7.50632e-02;2.95900e-02;6.89849e-02
8.30000e+06;7.66911e-02;2.78724e-02;7.14469e-02
8.40000e+06;7.84404e-02;2.63541e-02;7.38807e-02
8.50000e+06;8.02842e-02;2.50062e-02;7.62905e-02
8.60000e+06;8.22023e-02;2.38104e-02;7.86783e-02
8.70000e+06;8.41760e-02;2.27538e-02;8.10424e-02
8.80000e+06;8.61872e-02;2.18252e-02;8.33780e-02
8.90000e+06;8.82183e-02;2.10140e-02;8.56790e-02
9.00000e+06;9.02533e-02;2.03087e-02;8.79387e-02
9.10000e+06;9.22777e-02;1.96972e-02;9.01510e-02
9.20000e+06;9.42797e-02;1.91665e-02;9.23109e-02
9.30000e+06;9.62495e-02;1.87032e-02;9.44148e-02
9.40000e+06;9.81804e-02;1.82935e-02;9.64611e-02
9.50000e+06;1.00069e-01;1.79234e-02;9.84508e-02
9.60000e+06;1.01915e-01;1.75799e-02;1.00387e-01
9.70000e+06;1.03722e-01;1.72518e-02;1.02277e-01
9.80000e+06;1.05495e-01;1.69302e-02;1.04128e-01
9.90000e+06;1.07244e-01;1.66096e-02;1.05950e-01
1.00000e+07;1.08975e-01;1.62877e-02;1.07751e-01
1.10000e+07;1.26255e-01;1.34462e-02;1.25536e-01
1.20000e+07;1.43312e-01;1.18811e-02;1.42819e-01
1.30000e+07;1.59751e-01;1.10602e-02;1.59368e-01
1.40000e+07;1.75686e-01;1.05879e-02;1.75366e-01
1.50000e+07;1.91257e-01;1.02992e-02;1.90979e-01
1.60000e+07;2.06564e-01;1.01183e-02;2.06316e-01
1.70000e+07;2.21676e-01;1.00057e-02;2.21450e-01
1.80000e+07;2.36639e-01;9.93887e-03;2.36430e-01
1.90000e+07;2.51488e-01;9.90432e-03;2.51293e-01
2.00000e+07;2.66247e-01;9.89329e-03;2.66064e-01
2.10000e+07;2.80937e-01;9.89995e-03;2.80763e-01
2.20000e+07;2.95572e-01;9.92029e-03;2.95406e-01
2.30000e+07;3.10165e-01;9.95148e-03;3.10005e-01
2.40000e+07;3.24725e-01;9.99145e-03;3.24571e-01
2.50000e+07;3.39260e-01;1.00387e-02;3.39112e-01
2.60000e+07;3.53778e-01;1.00921e-02;3.53634e-01
2.70000e+07;3.68284e-01;1.01508e-02;3.68144e-01
2.80000e+07;3.82783e-01;1.02141e-02;3.82647e-01
2.90000e+07;3.97281e-01;1.02816e-02;3.97147e-01
3.00000e+07;4.11780e-01;1.03528e-02;4.11649e-01
3.10000e+07;4.26284e-01;1.04275e-02;4.26156e-01
3.20000e+07;4.40797e-01;1.05054e-02;4.40672e-01
3.30000e+07;4.55322e-01;1.05864e-02;4.55199e-01
3.40000e+07;4.69861e-01;1.06704e-02;4.69740e-01
3.50000e+07;4.84418e-01;1.07573e-02;4.84298e-01
3.60000e+07;4.98994e-01;1.08469e-02;4.98876e-01
3.70000e+07;5.13591e-01;1.09393e-02;5.13475e-01
3.80000e+07;5.28213e-01;1.10345e-02;5.28098e-01
3.90000e+07;5.42861e-01;1.11325e-02;5.42747e-01
4.00000e+07;5.57538e-01;1.12332e-02;5.57425e-01
4.10000e+07;5.72245e-01;1.13368e-02;5.72132e-01
4.20000e+07;5.86984e-01;1.14433e-02;5.86873e-01
4.30000e+07;6.01758e-01;1.15526e-02;6.01647e-01
4.40000e+07;6.16568e-01;1.16650e-02;6.16458e-01
4.50000e+07;6.31417e-01;1.17805e-02;6.31307e-01
4.60000e+07;6.46305e-01;1.18991e-02;6.46196e-01
4.70000e+07;6.61236e-01;1.20209e-02;6.61127e-01
4.80000e+07;6.76212e-01;1.21461e-02;6.76103e-01
4.90000e+07;6.91233e-01;1.22747e-02;6.91124e-01
5.00000e+07;7.06303e-01;1.24070e-02;7.06194e-01
5.10000e+07;7.21423e-01;1.25429e-02;7.21314e-01
5.20000e+07;7.36595e-01;1.26826e-02;7.36486e-01
5.30000e+07;7.51822e-01;1.28263e-02;7.51712e-01
5.40000e+07;7.67105e-01;1.29742e-02;7.66995e-01
5.50000e+07;7.82447e-01;1.31263e-02;7.82337e-01
5.60000e+07;7.97850e-01;1.32828e-02;7.97739e-01
5.70000e+07;8.13316e-01;1.34440e-02;8.13205e-01
5.80000e+07;8.28847e-01;1.36099e-02;8.28736e-01
5.90000e+07;8.44447e-01;1.37809e-02;8.44335e-01
6.00000e+07;8.60117e-01;1.39570e-02;8.60004e-01
6.10000e+07;8.75860e-01;1.41386e-02;8.75746e-01
6.20000e+07;8.91679e-01;1.43257e-02;8.91564e-01
6.30000e+07;9.07576e-01;1.45188e-02;9.07460e-01
6.40000e+07;9.23555e-01;1.47179e-02;9.23437e-01
6.50000e+07;9.39617e-01;1.49234e-02;9.39499e-01
6.60000e+07;9.55767e-01;1.51356e-02;9.55647e-01
6.70000e+07;9.72006e-01;1.53548e-02;9.71885e-01
6.80000e+07;9.88339e-01;1.55812e-02;9.88216e-01
6.90000e+07;1.00477e+00;1.58152e-02;1.00464e+00
7.00000e+07;1.02130e+00;1.60571e-02;1.02117e+00
7.10000e+07;1.03793e+00;1.63073e-02;1.03780e+00
7.20000e+07;1.05467e+00;1.65662e-02;1.05454e+00
7.30000e+07;1.07152e+00;1.68341e-02;1.07139e+00
7.40000e+07;1.08849e+00;1.71116e-02;1.08836e+00
7.50000e+07;1.10558e+00;1.73991e-02;1.10544e+00
7.60000e+07;1.12279e+00;1.76969e-02;1.12265e+00
7.70000e+07;1.14013e+00;1.80058e-02;1.13999e+00
7.80000e+07;1.15760e+00;1.83261e-02;1.15746e+00
7.90000e+07;1.17521e+00;1.86585e-02;1.17506e+00
8.00000e+07;1.19297e+00;1.90036e-02;1.19281e+00
8.10000e+07;1.21087e+00;1.93620e-02;1.21071e+00
8.20000e+07;1.22893e+00;1.97345e-02;1.22877e+00
8.30000e+07;1.24714e+00;2.01217e-02;1.24698e+00
8.40000e+07;1.26553e+00;2.05244e-02;1.26536e+00
8.50000e+07;1.28408e+00;2.09435e-02;1.28391e+00
8.60000e+07;1.30282e+00;2.13798e-02;1.30265e+00
8.70000e+07;1.32175e+00;2.18344e-02;1.32157e+00
8.80000e+07;1.34087e+00;2.23082e-02;1.34068e+00
8.90000e+07;1.36019e+00;2.28023e-02;1.36000e+00
9.00000e+07;1.37973e+00;2.33178e-02;1.37953e+00
9.10000e+07;1.39948e+00;2.38561e-02;1.39928e+00
9.20000e+07;1.41946e+00;2.44185e-02;1.41925e+00
9.30000e+07;1.43969e+00;2.50063e-02;1.43947e+00
9.40000e+07;1.46016e+00;2.56212e-02;1.45994e+00
9.50000e+07;1.48090e+00;2.62647e-02;1.48066e+00
9.60000e+07;1.50190e+00;2.69388e-02;1.50166e+00
9.70000e+07;1.52320e+00;2.76452e-02;1.52295e+00
9.80000e+07;1.54479e+00;2.83862e-02;1.54453e+00
9.90000e+07;1.56669e+00;2.91639e-02;1.56642e+00
1.00000e+08;1.58892e+00;2.99808e-02;1.58864e+00
1.10000e+08;1.83326e+00;4.10168e-02;1.83280e+00
1.20000e+08;2.13706e+00;6.11545e-02;2.13618e+00
1.30000e+08;2.55395e+00;1.03590e-01;2.55184e+00
1.40000e+08;3.23026e+00;2.17081e-01;3.22296e+00
1.50000e+08;4.75110e+00;7.06637e-01;4.69825e+00
1.60000e+08;1.21146e+01;8.62203e+00;8.51021e+00
1.70000e+08;3.25280e+00;1.81347e+00;-2.70038e+00
1.80000e+08;4.85429e-01;4.21868e-01;-2.40142e-01
1.90000e+08;7.06583e-01;1.97577e-01;6.78397e-01
2.00000e+08;1.21438e+00;1.24764e-01;1.20796e+00
2.10000e+08;1.59639e+00;9.42336e-02;1.59361e+00
2.20000e+08;1.91955e+00;8.11785e-02;1.91783e+00
2.30000e+08;2.22069e+00;7.82534e-02;2.21931e+00
2.40000e+08;2.52518e+00;8.42084e-02;2.52378e+00
2.50000e+08;2.85973e+00;1.02667e-01;2.85789e+00
2.60000e+08;3.26943e+00;1.48705e-01;3.26604e+00
2.70000e+08;3.87370e+00;2.95726e-01;3.86239e+00
2.80000e+08;5.11269e+00;1.34930e+00;4.93142e+00
2.90000e+08;3.05369e+00;1.32669e+00;2.75043e+00
3.00000e+08;4.44794e+00;8.18579e-01;4.37197e+00
3.10000e+08;7.33112e+00;3.57088e+00;6.40267e+00
3.20000e+08;2.94045e+00;2.60946e+00;1.35534e+00
3.30000e+08;4.95418e+00;2.47975e+00;4.28891e+00
3.40000e+08;5.02001e+00;4.90470e+00;-1.06977e+00
3.50000e+08;9.76723e-01;9.33324e-01;2.87914e-01
3.60000e+08;1.47804e+00;4.01459e-01;1.42247e+00
3.70000e+08;2.09287e+00;2.50146e-01;2.07787e+00
3.80000e+08;2.56343e+00;1.92233e-01;2.55622e+00
3.90000e+08;2.97422e+00;1.76796e-01;2.96896e+00
4.00000e+08;3.39437e+00;2.08148e-01;3.38798e+00
4.10000e+08;3.94018e+00;4.07414e-01;3.91906e+00
4.20000e+08;4.17507e+00;1.65112e+00;3.83471e+00
4.30000e+08;3.17162e+00;5.40095e-01;3.12530e+00
4.40000e+08;3.68569e+00;2.48087e-01;3.67733e+00
4.50000e+08;4.11427e+00;1.99907e-01;4.10941e+00
4.60000e+08;4.53127e+00;2.11722e-01;4.52632e+00
4.70000e+08;5.00602e+00;2.72084e-01;4.99862e+00
4.80000e+08;5.63501e+00;4.29087e-01;5.61865e+00
4.90000e+08;6.64992e+00;9.09171e-01;6.58748e+00
5.00000e+08;8.67434e+00;3.18763e+00;8.06741e+00
5.10000e+08;6.48546e+00;6.11743e+00;2.15367e+00
5.20000e+08;2.66583e+00;1.61211e+00;2.12314e+00
5.30000e+08;3.47988e+00;8.11811e-01;3.38387e+00
5.40000e+08;3.94153e+00;6.59842e-01;3.88591e+00
5.50000e+08;4.48178e+00;3.98613e-01;4.46402e+00
5.60000e+08;5.04674e+00;3.53739e-01;5.03432e+00
5.70000e+08;5.63013e+00;4.06826e-01;5.61541e+00
5.80000e+08;6.34603e+00;6.14339e-01;6.31622e+00
5.90000e+08;7.39959e+00;1.37970e+00;7.26983e+00
6.00000e+08;7.84852e+00;4.13792e+00;6.66909e+00
