#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-06-09 19:04:19;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;1.46444e-01;4.82163e-03;-1.46364e-01
1.10000e+06;1.30826e-01;4.84440e-03;-1.30736e-01
1.20000e+06;1.17612e-01;4.86638e-03;-1.17512e-01
1.30000e+06;1.06249e-01;4.88766e-03;-1.06137e-01
1.40000e+06;9.63396e-02;4.90833e-03;-9.62145e-02
1.50000e+06;8.75934e-02;4.92846e-03;-8.74547e-02
1.60000e+06;7.97926e-02;4.94813e-03;-7.96390e-02
1.70000e+06;7.27705e-02;4.96741e-03;-7.26008e-02
1.80000e+06;6.63977e-02;4.98633e-03;-6.62102e-02
1.90000e+06;6.05720e-02;5.00497e-03;-6.03648e-02
2.00000e+06;5.52117e-02;5.02337e-03;-5.49827e-02
2.10000e+06;5.02509e-02;5.04158e-03;-4.99974e-02
2.20000e+06;4.56359e-02;5.05965e-03;-4.53546e-02
2.30000e+06;4.13225e-02;5.07763e-03;-4.10094e-02
2.40000e+06;3.72743e-02;5.09557e-03;-3.69243e-02
2.50000e+06;3.34609e-02;5.11352e-03;-3.30679e-02
2.60000e+06;2.98578e-02;5.13153e-03;-2.94135e-02
2.70000e+06;2.64446e-02;5.14965e-03;-2.59384e-02
2.80000e+06;2.32058e-02;5.16796e-03;-2.26230e-02
2.90000e+06;2.01301e-02;5.18650e-03;-1.94505e-02
3.00000e+06;1.72122e-02;5.20535e-03;-1.64063e-02
3.10000e+06;1.44547e-02;5.22458e-03;-1.34775e-02
3.20000e+06;1.18739e-02;5.24427e-03;-1.06530e-02
3.30000e+06;9.51251e-03;5.26451e-03;-7.92293e-03
3.40000e+06;7.46976e-03;5.28540e-03;-5.27843e-03
3.50000e+06;5.95973e-03;5.30706e-03;-2.71173e-03
3.60000e+06;5.33398e-03;5.32961e-03;-2.15858e-04
3.70000e+06;5.79353e-03;5.35319e-03;2.21548e-03
3.80000e+06;7.06908e-03;5.37798e-03;4.58794e-03
3.90000e+06;8.76966e-03;5.40414e-03;6.90668e-03
4.00000e+06;1.06636e-02;5.43191e-03;9.17639e-03
4.10000e+06;1.26420e-02;5.46152e-03;1.14014e-02
4.20000e+06;1.46542e-02;5.49328e-03;1.35856e-02
4.30000e+06;1.66755e-02;5.52750e-03;1.57328e-02
4.40000e+06;1.86937e-02;5.56460e-03;1.78463e-02
4.50000e+06;2.07027e-02;5.60504e-03;1.99295e-02
4.60000e+06;2.26996e-02;5.64936e-03;2.19854e-02
4.70000e+06;2.46836e-02;5.69824e-03;2.40169e-02
4.80000e+06;2.66549e-02;5.75245e-03;2.60268e-02
4.90000e+06;2.86146e-02;5.81296e-03;2.80180e-02
5.00000e+06;3.05641e-02;5.88092e-03;2.99930e-02
5.10000e+06;3.25053e-02;5.95773e-03;3.19546e-02
5.20000e+06;3.44401e-02;6.04514e-03;3.39054e-02
5.30000e+06;3.63709e-02;6.14528e-03;3.58480e-02
5.40000e+06;3.83002e-02;6.26082e-03;3.77850e-02
5.50000e+06;4.02305e-02;6.39508e-03;3.97190e-02
5.60000e+06;4.21645e-02;6.55226e-03;4.16523e-02
5.70000e+06;4.41050e-02;6.73765e-03;4.35873e-02
5.80000e+06;4.60543e-02;6.95798e-03;4.55257e-02
5.90000e+06;4.80146e-02;7.22178e-03;4.74684e-02
6.00000e+06;4.99869e-02;7.53985e-03;4.94150e-02
6.10000e+06;5.19704e-02;7.92571e-03;5.13625e-02
6.20000e+06;5.39611e-02;8.39599e-03;5.33039e-02
6.30000e+06;5.59495e-02;8.97025e-03;5.52257e-02
6.40000e+06;5.79171e-02;9.66972e-03;5.71042e-02
6.50000e+06;5.98319e-02;1.05136e-02;5.89009e-02
6.60000e+06;6.16427e-02;1.15106e-02;6.05585e-02
6.70000e+06;6.32763e-02;1.26451e-02;6.20000e-02
6.80000e+06;6.46429e-02;1.38568e-02;6.31402e-02
6.90000e+06;6.56589e-02;1.50267e-02;6.39163e-02
7.00000e+06;6.62916e-02;1.59892e-02;6.43345e-02
7.10000e+06;6.66026e-02;1.65874e-02;6.45039e-02
7.20000e+06;6.67506e-02;1.67493e-02;6.46151e-02
7.30000e+06;6.69319e-02;1.65227e-02;6.48604e-02
7.40000e+06;6.72987e-02;1.60391e-02;6.53595e-02
7.50000e+06;6.79188e-02;1.54434e-02;6.61397e-02
7.60000e+06;6.87868e-02;1.48448e-02;6.71659e-02
