epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,-0.0597,0.9746,-0.0362,1.0172,-0.0283,1.0107,-0.0777,0.4128,0.4384,-2.0397,0.6452,0.5309,5.3127,77.3159
25,0.015000,-0.1833,0.4738,-0.0269,0.8204,-0.0388,0.6044,-0.0664,0.8700,0.8778,-2.4666,1.9210,1.7774,7.2978,14.7705
50,0.030625,-0.1563,0.3968,-0.0185,0.7558,-0.0738,0.5215,-0.0372,0.6977,0.8919,-1.9601,1.6199,1.7911,7.6120,13.0852
75,0.046250,-0.1398,0.3631,0.0024,0.7047,-0.0982,0.4939,-0.0219,0.6505,0.8994,-1.4987,1.7700,1.8320,7.1406,31.1771
100,0.061875,-0.1241,0.3331,0.0017,0.6860,-0.1090,0.4777,0.0019,0.6337,0.9929,-1.1738,1.6723,1.9684,6.8322,13.6320
125,0.077500,-0.1276,0.3248,-0.0006,0.6906,-0.1146,0.4575,0.0106,0.6112,0.9776,-1.2161,1.8811,1.9607,6.4769,9.9937
150,0.110000,-0.1202,0.3150,-0.0068,0.6812,-0.0961,0.4707,0.0222,0.5911,1.0460,-1.1596,1.9868,2.0250,6.9533,11.5819
175,0.110000,-0.1929,0.3038,0.0052,0.6771,-0.1567,0.4488,-0.0256,0.5088,1.0709,-0.9231,1.4727,2.0678,7.2832,100.8029
200,0.110000,-0.2011,0.2945,0.0240,0.6839,-0.1853,0.4358,-0.0246,0.5115,1.1717,-1.0297,1.1666,2.2088,7.2552,74.5317
225,0.110000,-0.2310,0.2799,0.0314,0.6817,-0.2144,0.4408,-0.0376,0.5206,1.2479,-0.9133,0.9407,2.3172,6.6702,10.3421
250,0.110000,-0.2174,0.2640,0.0777,0.6844,-0.2316,0.4355,-0.0417,0.4984,1.3097,-0.8163,0.9536,2.3968,6.4378,20.2366
275,0.110000,-0.2051,0.2667,0.1094,0.6877,-0.2295,0.4438,-0.0041,0.5195,1.3403,-0.8081,0.9887,2.4471,6.3717,40.3063
300,0.110000,-0.2363,0.2632,0.1012,0.6969,-0.2160,0.4389,-0.0083,0.4869,1.3859,-0.7966,0.9177,2.5045,6.0618,10.3889
325,0.110000,-0.2144,0.2665,0.1148,0.6852,-0.2079,0.4364,-0.0061,0.5251,1.3963,-1.0247,0.9529,2.5324,5.9376,15.8087
350,0.110000,-0.2255,0.2546,0.1274,0.6928,-0.2515,0.4318,-0.0300,0.5311,1.4278,-1.0264,0.9405,2.5986,5.8526,28.3610
375,0.110000,-0.1894,0.2497,0.1454,0.6940,-0.2455,0.4408,-0.0028,0.5295,1.4494,-0.8783,0.8991,2.6330,5.8138,10.2921
400,0.110000,-0.2319,0.2461,0.1508,0.6927,-0.2951,0.4305,-0.0610,0.5793,1.4702,-1.2751,0.9666,2.6994,5.5701,13.3307
425,0.110000,-0.2002,0.2459,0.1385,0.6954,-0.2980,0.4285,-0.0460,0.5638,1.4746,-1.0942,0.8709,2.6978,5.4249,10.0119
450,0.110000,-0.2062,0.2436,0.1726,0.7002,-0.2914,0.4342,-0.0343,0.5342,1.5035,-0.9734,0.9974,2.7354,5.5222,35.7658
475,0.110000,-0.2221,0.2433,0.1760,0.7062,-0.2681,0.4346,-0.0027,0.5351,1.5012,-1.0203,1.0366,2.7327,5.4161,11.1616
500,0.110000,-0.1818,0.2401,0.1689,0.7034,-0.3101,0.4244,-0.0107,0.6004,1.5286,-1.3707,1.0621,2.8236,5.1661,9.4674
525,0.110000,-0.1941,0.2414,0.1617,0.7060,-0.3538,0.4435,-0.0680,0.5502,1.5589,-1.0128,1.0683,2.8437,5.2092,9.5155
550,0.110000,-0.1683,0.2343,0.1637,0.7099,-0.3402,0.4322,-0.0257,0.5669,1.5729,-1.2906,0.9047,2.8881,5.1539,17.3986
575,0.110000,-0.1589,0.2336,0.1553,0.7054,-0.3123,0.4350,-0.0002,0.5514,1.5586,-1.2560,1.2007,2.8556,5.0006,8.8238
600,0.110000,-0.1698,0.2345,0.1663,0.7102,-0.3404,0.4323,-0.0265,0.5455,1.5815,-0.9820,0.9664,2.8955,4.9547,8.6162
