epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.0558,1.0281,0.0136,0.9914,0.0439,0.9999,0.0407,0.3590,0.4437,-0.9733,0.9491,0.5084,16.7162,16.8425
25,0.015000,0.0294,0.6155,0.0461,0.8956,-0.0512,0.7159,0.0946,0.3652,0.7774,-0.5949,1.0157,1.1684,13.0056,13.2259
50,0.030625,0.0391,0.5639,0.1551,0.8792,-0.1326,0.6598,0.0406,0.2834,0.9187,-0.4942,0.8809,1.3748,12.0687,12.3541
75,0.046250,0.0384,0.5765,0.1748,0.9110,-0.1522,0.6451,0.0376,0.2708,1.0396,-0.6255,0.6422,1.5089,11.0194,11.3441
100,0.061875,0.0413,0.5856,0.1689,0.8949,-0.1665,0.6572,0.0263,0.2516,1.1189,-0.5607,0.6176,1.6021,10.3083,10.6671
125,0.077500,0.0540,0.5917,0.1824,0.8639,-0.2116,0.6744,0.0191,0.2505,1.1736,-0.6119,0.5729,1.6557,9.7700,10.1559
150,0.093125,0.0620,0.5966,0.1956,0.8359,-0.2352,0.6951,0.0251,0.1989,1.2061,-0.5641,0.4203,1.6702,9.4256,9.8300
175,0.101000,0.0723,0.5921,0.2070,0.8088,-0.2670,0.7003,0.0166,0.2133,1.2431,-0.5089,0.4572,1.7385,9.1041,9.5432
200,0.102786,0.0788,0.6125,0.1834,0.7942,-0.2815,0.7101,0.0045,0.2229,1.2402,-0.7499,0.4108,1.7237,8.8367,9.2709
225,0.104571,0.0859,0.5928,0.1850,0.8034,-0.2983,0.7161,0.0034,0.2094,1.3113,-0.5684,0.3337,1.8507,9.9775,10.4418
250,0.106357,0.0822,0.5933,0.1987,0.7936,-0.2803,0.7118,0.0123,0.2118,1.3375,-0.6682,0.3321,1.8963,9.7895,10.2711
275,0.108143,0.0960,0.5995,0.1926,0.7903,-0.2885,0.7099,0.0082,0.2278,1.3570,-0.5451,0.4326,1.9284,9.6704,10.1598
300,0.109929,0.1054,0.5911,0.1653,0.7932,-0.2809,0.6996,-0.0004,0.2263,1.3724,-0.5727,0.3330,1.9605,9.4178,9.9225
325,0.110000,0.0851,0.5949,0.1543,0.7960,-0.2805,0.6910,-0.0143,0.2146,1.4011,-0.5442,0.2900,1.9998,9.2704,9.7798
350,0.110000,0.0843,0.5973,0.1565,0.8003,-0.2856,0.6899,-0.0071,0.2290,1.4062,-0.5445,0.3681,2.0130,9.0652,9.5782
375,0.110000,0.0680,0.5907,0.1323,0.8062,-0.2717,0.6859,-0.0176,0.2354,1.4270,-0.6412,0.3211,2.0496,8.9299,9.4479
400,0.110000,0.0466,0.5810,0.1129,0.8177,-0.2819,0.6822,-0.0296,0.2385,1.4432,-0.6130,0.3630,2.0808,8.7495,9.2738
425,0.110000,0.0512,0.5606,0.1157,0.8169,-0.2749,0.6836,-0.0254,0.2286,1.4575,-0.6375,0.3779,2.1072,8.6349,9.1649
450,0.110000,0.0619,0.5869,0.1040,0.8207,-0.2808,0.6758,-0.0184,0.2193,1.4624,-0.6628,0.3099,2.1005,8.4826,9.0100
475,0.110000,0.0344,0.5482,0.1071,0.8246,-0.2773,0.6742,-0.0253,0.2146,1.4814,-0.6080,0.3714,2.1471,8.3642,8.9068
500,0.110000,0.0484,0.5274,0.0938,0.8257,-0.2850,0.6745,-0.0225,0.2047,1.4964,-0.6226,0.2128,2.1786,8.2719,8.8226
525,0.110000,0.0660,0.5512,0.0884,0.8313,-0.2772,0.6719,-0.0242,0.2103,1.4830,-0.6097,0.2951,2.1421,8.0986,8.6371
550,0.110000,0.0570,0.5229,0.0894,0.8340,-0.2897,0.6669,-0.0327,0.2085,1.5049,-0.6260,0.3270,2.1895,8.0241,8.5751
575,0.110000,0.0844,0.5241,0.0853,0.8424,-0.2883,0.6693,-0.0181,0.2126,1.5141,-0.5704,0.3802,2.2051,7.9388,8.4934
600,0.110000,0.0781,0.5077,0.0746,0.8574,-0.2862,0.6701,-0.0158,0.2282,1.5182,-0.6053,0.3991,2.2183,7.8562,8.4142
