epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
3,26.64,0.00,26.64,0,370.620575,
4,29.14,0.00,29.14,0,359.214081,
5,41.58,0.00,41.58,0,379.745483,
6,37.30,0.00,37.30,0,377.619598,
1,75.37,52.14,127.51,1,394.705200,423.8906
7,33.40,0.00,33.40,0,381.406219,
8,36.28,0.00,36.28,0,388.967407,
2,42.53,0.00,42.53,0,346.429962,
9,42.41,0.00,42.41,0,392.197418,
3,42.38,0.00,42.38,0,374.694397,
10,42.37,0.00,42.37,0,387.692352,
4,42.39,0.00,42.39,0,364.219116,
11,42.42,0.00,42.42,0,398.676544,
5,42.34,0.00,42.34,0,373.193420,
12,42.44,0.00,42.44,0,385.453278,
6,42.52,0.00,42.52,0,394.068451,
13,42.44,0.00,42.44,0,402.032959,
7,42.49,0.00,42.49,0,383.677002,
14,42.45,0.00,42.45,0,394.443970,
8,42.30,0.00,42.30,0,394.064148,
15,42.30,0.00,42.30,0,390.172455,
9,42.25,0.00,42.25,0,379.787872,
10,42.28,0.00,42.28,0,386.485077,
16,70.03,0.00,70.03,0,421.961243,
11,42.21,0.00,42.21,0,380.695007,
17,69.69,0.00,69.69,0,419.535065,
12,42.27,0.00,42.27,0,395.035706,
13,41.02,0.00,41.02,0,390.084167,
18,71.10,0.00,71.10,0,418.438446,
14,41.16,0.00,41.16,0,391.096313,
15,41.43,0.00,41.43,0,406.111328,
19,70.50,0.00,70.50,0,424.392181,
16,68.51,0.00,68.51,0,406.287048,
20,68.62,0.00,68.62,0,420.862823,
17,68.31,0.00,68.31,0,416.510010,
21,68.30,0.00,68.30,0,410.175751,
18,68.63,0.00,68.63,0,424.449066,
22,68.85,0.00,68.85,0,421.095673,
19,69.05,0.00,69.05,0,431.526154,
23,68.51,0.00,68.51,0,420.791779,
20,69.93,0.00,69.93,0,429.704681,
24,69.58,0.00,69.58,0,431.149750,
21,68.78,0.00,68.78,0,428.016083,
25,69.50,50.68,120.18,1,437.300690,477.9404
22,60.03,0.00,60.03,0,418.044067,
23,57.38,0.00,57.38,0,426.681732,
26,69.92,0.00,69.92,0,439.781250,
24,69.50,0.00,69.50,0,435.787079,
27,69.30,0.00,69.30,0,451.594971,
28,62.59,0.00,62.59,0,448.275940,
25,68.54,49.01,117.54,1,447.561310,478.0726
29,54.69,0.00,54.69,0,441.229919,
26,68.83,0.00,68.83,0,439.742859,
30,69.02,0.00,69.02,0,440.431305,
27,68.64,0.00,68.64,0,439.203522,
31,69.13,0.00,69.13,0,450.680450,
28,69.62,0.00,69.62,0,448.857727,
32,69.73,0.00,69.73,0,456.878998,
29,70.68,0.00,70.68,0,439.602478,
33,70.71,0.00,70.71,0,457.910950,
30,70.51,0.00,70.51,0,463.072418,
34,70.50,0.00,70.50,0,442.736023,
31,68.92,0.00,68.92,0,443.314911,
35,69.03,0.00,69.03,0,456.244385,
32,68.56,0.00,68.56,0,440.364136,
36,68.56,0.00,68.56,0,444.369690,
33,68.49,0.00,68.49,0,449.680847,
37,68.56,0.00,68.56,0,444.389984,
34,68.62,0.00,68.62,0,462.467316,
38,68.49,0.00,68.49,0,443.372437,
35,68.20,0.00,68.20,0,440.633911,
39,68.33,0.00,68.33,0,459.735443,
36,68.14,0.00,68.14,0,436.256866,
40,68.09,0.00,68.09,0,441.136780,
37,67.95,0.00,67.95,0,440.296570,
41,68.02,0.00,68.02,0,435.183502,
38,67.88,0.00,67.88,0,452.543579,
42,67.84,0.00,67.84,0,449.630951,
39,67.96,0.00,67.96,0,447.843597,
43,68.00,0.00,68.00,0,441.609375,
40,68.03,0.00,68.03,0,449.952332,
44,67.98,0.00,67.98,0,435.653503,
41,67.91,0.00,67.91,0,451.986237,
45,67.96,0.00,67.96,0,442.318420,
42,68.14,0.00,68.14,0,441.401245,
46,68.19,0.00,68.19,0,436.162964,
43,68.39,0.00,68.39,0,434.952484,
47,68.21,0.00,68.21,0,453.040314,
44,68.63,0.00,68.63,0,448.001251,
48,68.58,0.00,68.58,0,450.520996,
45,68.53,0.00,68.53,0,452.819153,
49,68.54,0.00,68.54,0,439.096771,
46,67.91,0.00,67.91,0,439.165405,
50,68.01,49.22,117.22,1,456.990448,490.5645
47,60.91,0.00,60.91,0,444.640076,
48,55.18,0.00,55.18,0,438.966949,
51,68.13,0.00,68.13,0,450.627014,
49,68.15,0.00,68.15,0,452.389526,
52,68.11,0.00,68.11,0,437.592896,
53,61.43,0.00,61.43,0,440.520386,
50,68.11,49.45,117.56,1,445.084290,490.4685
54,54.53,0.00,54.53,0,444.321228,
51,68.96,0.00,68.96,0,441.570709,
55,69.57,0.00,69.57,0,456.829895,
52,69.34,0.00,69.34,0,446.667664,
56,69.26,0.00,69.26,0,438.052185,
53,69.41,0.00,69.41,0,451.418335,
57,69.04,0.00,69.04,0,451.312103,
54,69.20,0.00,69.20,0,443.605377,
58,69.21,0.00,69.21,0,445.709351,
55,69.15,0.00,69.15,0,449.323669,
59,69.03,0.00,69.03,0,452.288269,
56,69.25,0.00,69.25,0,428.660919,
60,69.27,0.00,69.27,0,447.011536,
57,69.07,0.00,69.07,0,441.651093,
61,69.06,0.00,69.06,0,454.066925,
58,68.84,0.00,68.84,0,438.954285,
62,69.22,0.00,69.22,0,426.117096,
59,69.08,0.00,69.08,0,431.655792,
63,69.15,0.00,69.15,0,441.500854,
60,69.10,0.00,69.10,0,448.771484,
64,69.21,0.00,69.21,0,448.726318,
61,69.17,0.00,69.17,0,441.301849,
65,69.07,0.00,69.07,0,440.996155,
62,69.09,0.00,69.09,0,446.033020,
66,69.11,0.00,69.11,0,450.185699,
63,68.25,0.00,68.25,0,450.609192,
67,68.69,0.00,68.69,0,437.986481,
64,67.94,0.00,67.94,0,430.105225,
68,67.90,0.00,67.90,0,445.170380,
65,67.88,0.00,67.88,0,447.635559,
69,67.93,0.00,67.93,0,442.505829,
66,68.04,0.00,68.04,0,447.527161,
70,67.98,0.00,67.98,0,458.891998,
67,67.98,0.00,67.98,0,432.149689,
71,67.99,0.00,67.99,0,434.164307,
68,67.97,0.00,67.97,0,436.041809,
72,67.95,0.00,67.95,0,439.728607,
69,68.00,0.00,68.00,0,432.041168,
73,68.12,0.00,68.12,0,443.143799,
70,68.04,0.00,68.04,0,433.006409,
74,67.97,0.00,67.97,0,444.072235,
71,68.10,0.00,68.10,0,445.044373,
75,68.07,49.37,117.44,1,448.529907,489.9766
72,60.71,0.00,60.71,0,446.169678,
73,55.51,0.00,55.51,0,436.172485,
74,67.38,0.00,67.38,0,428.266174,
76,69.01,47.33,116.34,1,456.301544,489.8860
75,64.69,48.66,113.34,1,454.801331,489.7769
77,64.08,36.02,100.10,1,443.970703,489.7587
78,62.50,43.91,106.40,1,443.453278,489.7624
76,65.24,43.83,109.07,1,441.149506,489.7761
79,65.34,43.77,109.11,1,435.985168,489.7586
77,65.87,43.62,109.50,1,441.741333,489.7258
80,65.56,43.62,109.18,1,434.549194,489.7261
78,65.53,44.01,109.54,1,437.175934,489.7210
81,64.96,43.90,108.86,1,446.220459,489.7076
79,65.26,43.87,109.13,1,443.582794,489.7025
82,65.52,44.00,109.52,1,443.985382,489.6836
80,64.90,43.64,108.53,1,439.539062,489.6956
83,65.39,43.80,109.19,1,439.285675,489.6847
81,64.95,43.82,108.78,1,440.427948,489.6883
84,66.55,43.97,110.53,1,446.217743,489.6256
82,65.60,43.69,109.29,1,433.838043,489.6107
85,65.19,43.70,108.89,1,449.333435,489.6932
83,65.47,43.69,109.16,1,434.474274,489.6475
86,65.85,44.10,109.95,1,445.719604,489.6054
84,65.46,43.69,109.16,1,454.789764,489.6346
87,66.16,43.53,109.69,1,447.884033,489.6004
85,66.00,43.09,109.10,1,437.101471,489.5537
88,66.03,43.50,109.53,1,454.268799,489.5812
86,65.55,43.46,109.02,1,446.111084,489.5450
89,65.34,43.17,108.51,1,449.349365,489.5854
87,65.51,43.45,108.97,1,435.468964,489.5173
90,65.75,43.33,109.08,1,447.946716,489.5685
88,66.14,43.51,109.65,1,441.313049,489.5843
91,66.65,43.09,109.74,1,441.136780,489.5681
89,66.22,43.38,109.60,1,437.855377,489.5142
92,66.09,43.58,109.67,1,453.008057,489.5691
90,66.49,44.01,110.50,1,437.151459,489.5171
93,65.47,43.47,108.95,1,441.879211,489.5674
91,66.18,43.69,109.88,1,442.376862,489.5245
94,66.06,43.47,109.53,1,439.138489,489.5688
92,66.21,43.40,109.62,1,443.292480,489.5140
95,66.45,43.21,109.66,1,448.720856,489.5469
93,66.01,43.40,109.41,1,451.648651,489.4892
96,65.31,43.45,108.76,1,441.826538,489.5107
94,65.50,43.74,109.23,1,464.074524,489.4975
97,65.20,43.69,108.89,1,434.103363,489.5219
95,65.16,43.67,108.84,1,436.000793,489.4945
98,66.24,43.63,109.87,1,434.402802,489.5438
96,65.69,44.10,109.78,1,443.439606,489.4814
99,65.27,43.63,108.90,1,439.454987,489.5304
97,65.66,43.72,109.38,1,452.603180,489.4475
100,65.00,45.49,110.48,1,455.744659,489.5263
98,64.59,37.55,102.14,1,442.964386,489.4731
99,59.33,44.43,103.76,1,439.619354,489.5308
101,64.32,44.76,109.08,1,455.752106,489.5089
100,64.96,47.19,112.15,1,437.050293,489.4657
102,66.34,36.15,102.49,1,447.837158,489.4944
103,64.20,43.18,107.38,1,449.207245,489.5204
101,66.99,43.59,110.58,1,441.480713,489.4409
104,65.13,43.65,108.78,1,443.783508,489.4985
102,65.00,43.46,108.46,1,449.579773,489.4408
105,66.14,43.54,109.68,1,439.054688,489.4643
103,65.47,42.94,108.41,1,429.639038,489.4375
106,66.31,43.13,109.44,1,452.212708,489.4863
104,65.24,43.18,108.42,1,454.177490,489.4571
107,65.46,43.33,108.79,1,445.172485,489.4886
105,65.28,42.61,107.89,1,431.648682,489.4195
108,66.46,42.82,109.28,1,450.631927,489.4818
106,65.75,42.78,108.53,1,444.671387,489.4219
109,65.80,42.99,108.79,1,447.037964,489.4849
107,65.62,42.99,108.61,1,433.456085,489.4111
110,65.52,42.54,108.06,1,444.206329,489.4874
108,65.89,43.06,108.95,1,446.377899,489.4140
111,66.14,42.96,109.11,1,448.830383,489.4801
109,66.68,43.20,109.88,1,436.788574,489.4140
112,65.30,43.19,108.49,1,455.498352,489.4690
110,65.50,42.92,108.42,1,444.193817,489.4300
113,66.03,42.72,108.74,1,432.378571,489.4654
111,65.58,42.43,108.02,1,443.849060,489.4222
114,66.21,42.61,108.82,1,435.387665,489.4615
112,66.10,43.04,109.13,1,441.127319,489.4133
115,65.41,43.11,108.52,1,439.325226,489.4467
113,65.57,43.03,108.60,1,447.718597,489.4064
116,66.31,42.96,109.27,1,437.953339,489.4639
114,66.34,43.18,109.52,1,449.918640,489.4099
117,65.48,43.35,108.82,1,442.875854,489.4855
115,65.69,43.12,108.81,1,455.546021,489.4074
118,66.91,42.89,109.80,1,442.918884,489.4627
116,66.85,43.22,110.07,1,449.880463,489.4202
119,65.41,43.13,108.55,1,461.763184,489.4560
117,65.64,43.64,109.27,1,444.980621,489.3717
120,66.25,43.44,109.69,1,421.548889,489.4610
118,66.17,42.83,109.00,1,447.464447,489.3739
121,65.55,43.41,108.96,1,442.146179,489.4516
119,65.39,43.16,108.55,1,436.282593,489.3743
122,65.59,42.99,108.59,1,437.754669,489.4520
120,65.60,43.50,109.09,1,435.700165,489.3751
123,65.59,43.11,108.70,1,439.160858,489.4490
121,66.06,43.22,109.28,1,443.280762,489.3722
124,66.16,43.16,109.32,1,434.521729,489.4380
122,65.60,43.13,108.73,1,443.861481,489.3820
125,65.77,44.43,110.21,1,441.264893,489.4287
123,65.33,38.08,103.40,1,432.282166,489.3893
124,58.75,44.81,103.57,1,457.004761,489.3509
126,63.63,44.94,108.57,1,436.742554,489.4264
125,63.56,46.78,110.34,1,457.246063,489.3628
127,62.99,35.58,98.57,1,441.798645,489.4367
128,62.90,43.60,106.50,1,445.387238,489.4402
126,65.21,42.92,108.13,1,447.377869,489.3475
129,65.54,43.01,108.55,1,440.643524,489.4171
127,65.80,43.38,109.18,1,441.720520,489.3826
130,65.56,43.41,108.98,1,431.384277,489.4160
128,65.46,43.52,108.98,1,452.572723,489.3624
131,65.46,43.76,109.22,1,435.947327,489.4335
129,65.94,43.43,109.38,1,449.959747,489.3512
132,65.86,43.49,109.35,1,433.903564,489.4388
130,65.09,43.10,108.20,1,455.461334,489.3642
133,66.07,43.46,109.54,1,432.859589,489.4293
131,65.93,42.95,108.87,1,441.755951,489.3657
134,65.74,42.71,108.46,1,449.649597,489.4261
132,65.48,43.08,108.56,1,445.992279,489.3370
135,65.96,43.17,109.13,1,454.621887,489.4132
133,65.46,42.85,108.31,1,428.659515,489.3503
136,66.29,43.15,109.45,1,450.005127,489.4022
134,65.93,43.28,109.21,1,447.891632,489.3635
137,66.38,43.23,109.61,1,438.744659,489.4555
135,66.38,43.01,109.39,1,435.800140,489.3422
138,66.20,43.33,109.52,1,451.913177,489.4247
136,66.16,43.45,109.61,1,452.784607,489.3457
139,66.34,43.25,109.59,1,439.009766,489.4119
137,65.88,42.68,108.56,1,432.540680,489.3434
140,65.81,42.71,108.52,1,433.985535,489.4000
138,65.72,42.76,108.48,1,441.744110,489.3437
141,66.00,43.34,109.34,1,443.316315,489.4019
139,66.59,43.34,109.93,1,453.604065,489.3355
142,65.64,42.72,108.35,1,433.402191,489.4008
140,65.41,43.39,108.79,1,446.536957,489.3229
143,66.26,42.84,109.10,1,450.775055,489.3958
141,66.37,42.65,109.02,1,427.016724,489.3209
144,65.96,42.71,108.67,1,444.145142,489.4225
142,66.35,42.80,109.15,1,450.564850,489.3240
145,65.63,43.40,109.03,1,440.250000,489.3884
143,66.04,43.79,109.83,1,433.104370,489.3184
146,65.53,43.05,108.58,1,446.987244,489.3960
144,66.17,43.65,109.82,1,435.079620,489.3047
147,65.43,43.11,108.54,1,434.420715,489.3816
145,65.81,43.85,109.66,1,438.142975,489.3155
148,65.37,43.59,108.96,1,441.599121,489.3867
146,65.50,43.62,109.12,1,443.875702,489.3092
149,65.49,43.58,109.07,1,438.014984,489.3680
147,65.59,43.69,109.28,1,431.220703,489.2930
150,65.01,45.10,110.11,1,450.776184,489.3734
148,64.64,37.36,102.00,1,439.944153,489.2948
149,59.70,44.68,104.38,1,442.748108,489.3376
151,64.59,44.63,109.21,1,455.876770,489.3636
150,63.82,47.14,110.95,1,447.337433,489.2966
152,63.63,36.13,99.76,1,441.264435,489.3520
153,61.65,43.38,105.03,1,443.974304,489.3552
151,64.68,44.09,108.77,1,436.161865,489.3197
154,65.08,43.58,108.66,1,449.297424,489.3735
152,65.18,43.60,108.78,1,445.985687,489.3021
155,65.09,43.52,108.61,1,443.903809,489.4126
153,64.77,44.08,108.85,1,443.059753,489.2971
156,65.59,43.94,109.53,1,438.103180,489.3755
154,65.13,44.23,109.36,1,427.879608,489.2855
157,64.93,44.01,108.94,1,440.406006,489.3474
155,65.46,44.86,110.32,1,441.854858,489.2907
158,65.94,44.77,110.71,1,441.847656,489.3697
156,66.57,44.62,111.20,1,449.733826,489.2911
159,66.07,44.03,110.11,1,453.998505,489.3304
157,65.78,44.54,110.31,1,455.676025,489.2800
160,65.26,44.13,109.39,1,458.968842,489.3419
158,64.79,44.65,109.44,1,448.227173,489.2937
161,64.69,44.22,108.92,1,452.884308,489.3469
159,64.72,44.15,108.86,1,439.630615,489.2748
162,64.26,44.01,108.27,1,431.792328,489.3555
160,64.67,44.47,109.14,1,445.521637,489.2798
163,64.99,44.66,109.65,1,446.417114,489.3614
161,65.02,44.80,109.82,1,461.931458,489.2727
164,64.79,44.52,109.32,1,436.288361,489.3368
162,64.07,44.11,108.17,1,433.443970,489.2776
165,64.97,43.85,108.82,1,442.535614,489.3185
163,65.43,44.20,109.62,1,442.218109,489.2704
166,64.80,44.12,108.93,1,454.701477,489.3411
164,64.96,44.09,109.05,1,452.765869,489.2544
167,64.68,44.53,109.20,1,436.937958,489.3330
165,64.20,44.29,108.49,1,424.701172,489.2601
168,65.39,44.06,109.45,1,443.777344,489.3281
166,65.28,44.87,110.15,1,444.685242,489.2653
169,65.17,43.91,109.08,1,426.647644,489.3321
167,64.97,44.14,109.11,1,437.100067,489.2671
170,64.89,44.06,108.96,1,447.658661,489.3218
168,64.91,44.63,109.54,1,443.341614,489.2565
171,65.13,44.37,109.50,1,449.930786,489.3355
169,65.02,44.72,109.74,1,449.671143,489.2576
172,64.39,43.95,108.34,1,445.753998,489.3267
170,64.51,44.67,109.18,1,450.488373,489.2465
173,64.09,44.42,108.51,1,423.961731,489.2964
171,64.84,44.16,108.99,1,432.499512,489.2512
174,65.01,44.52,109.53,1,444.893188,489.3091
172,64.85,44.55,109.39,1,438.556885,489.2551
175,64.72,46.53,111.26,1,454.763916,489.3028
173,64.23,36.78,101.02,1,442.442505,489.2362
174,60.92,44.14,105.06,1,454.978577,489.2372
176,65.16,44.79,109.95,1,445.774536,489.3235
175,64.37,46.74,111.11,1,435.608582,489.2483
177,64.41,37.39,101.80,1,446.521088,489.3332
178,61.42,45.17,106.58,1,432.538910,489.3003
176,64.59,44.22,108.81,1,438.888123,489.2439
179,65.47,44.02,109.48,1,433.114594,489.3052
177,64.84,43.67,108.51,1,434.565155,489.2397
180,65.21,44.11,109.32,1,445.467255,489.2886
178,64.85,44.18,109.04,1,440.289062,489.2351
181,64.71,44.03,108.74,1,448.989929,489.2979
179,64.89,43.94,108.83,1,446.652191,489.2269
182,66.06,44.37,110.42,1,448.692871,489.2724
180,65.25,44.42,109.67,1,434.455688,489.2289
183,65.38,44.00,109.38,1,445.758026,489.2811
181,65.38,43.86,109.24,1,439.057007,489.2309
184,65.37,44.65,110.02,1,437.872101,489.2823
