epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,-0.0421,1.0449,-0.0160,1.0124,0.0207,0.9651,0.0021,0.3391,0.4362,-1.2068,1.4209,0.5037,19.1424,239.6197
25,0.007059,-0.0237,0.9692,-0.0116,0.9451,0.0118,0.7781,-0.0030,0.3446,0.5014,-1.1763,1.0147,0.6358,8.3201,38.6168
50,0.014412,-0.0139,0.9228,0.0061,0.8962,0.0248,0.7286,0.0099,0.3641,0.5416,-0.8653,1.1834,0.7383,7.3450,26.5637
75,0.021765,0.0032,0.8755,0.0295,0.8577,0.0295,0.6629,0.0222,0.3585,0.5826,-0.7539,1.0212,0.8478,6.8172,16.1603
100,0.029118,0.0077,0.8542,0.0482,0.8342,0.0270,0.6215,0.0270,0.3773,0.6159,-0.9286,1.0182,0.9494,6.3412,14.1656
125,0.036471,-0.0131,0.8571,0.0568,0.8226,0.0223,0.6207,0.0243,0.3450,0.6375,-0.8875,0.6370,0.9694,6.1535,14.8440
150,0.043824,-0.0252,0.8438,0.0565,0.8024,0.0146,0.6091,0.0102,0.3570,0.6689,-0.8261,0.7024,1.0403,5.9659,11.4695
175,0.051176,-0.0778,0.8610,0.0577,0.7804,0.0089,0.5950,-0.0083,0.3807,0.6900,-0.8986,0.8572,1.1132,5.8448,10.7527
200,0.058529,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
225,0.065882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
