epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,74.05,39.22,113.27,1,446.348724,239.6197
2,41.53,0.00,41.53,0,325.064178,
3,41.57,0.00,41.57,0,348.379150,
4,42.33,0.00,42.33,0,296.511017,
5,41.56,0.00,41.56,0,291.934113,
6,42.13,0.00,42.13,0,319.328400,
7,41.94,0.00,41.94,0,245.815308,
8,41.81,0.00,41.81,0,284.557129,
9,41.06,0.00,41.06,0,229.097977,
10,41.48,0.00,41.48,0,250.833786,
11,41.45,0.00,41.45,0,279.561310,
12,41.44,0.00,41.44,0,285.396942,
13,41.31,0.00,41.31,0,252.356033,
14,41.61,0.00,41.61,0,244.465302,
15,41.25,0.00,41.25,0,217.818039,
16,42.06,0.00,42.06,0,247.695190,
17,41.34,0.00,41.34,0,218.862076,
18,41.55,0.00,41.55,0,229.961365,
19,42.45,0.00,42.45,0,221.751740,
20,42.36,0.00,42.36,0,202.470657,
21,41.05,0.00,41.05,0,227.459442,
22,42.30,0.00,42.30,0,235.274109,
23,41.94,0.00,41.94,0,203.228882,
24,40.78,0.00,40.78,0,184.976440,
25,41.55,38.20,79.75,1,211.443222,38.6168
26,42.06,0.00,42.06,0,206.700577,
27,42.12,0.00,42.12,0,204.188736,
28,59.73,0.00,59.73,0,217.513336,
29,59.95,0.00,59.95,0,184.490128,
30,61.96,0.00,61.96,0,177.358856,
31,60.69,0.00,60.69,0,204.633652,
32,60.18,0.00,60.18,0,210.892242,
33,60.41,0.00,60.41,0,182.524841,
34,60.58,0.00,60.58,0,211.499069,
35,60.88,0.00,60.88,0,216.259888,
36,59.87,0.00,59.87,0,174.095673,
37,60.67,0.00,60.67,0,182.699417,
38,60.26,0.00,60.26,0,218.073792,
39,59.78,0.00,59.78,0,187.881577,
40,59.45,0.00,59.45,0,182.323883,
41,58.40,0.00,58.41,0,174.678955,
42,57.64,0.00,57.64,0,184.680527,
43,57.91,0.00,57.91,0,185.726685,
44,58.36,0.00,58.36,0,208.329590,
45,57.91,0.00,57.91,0,161.592255,
46,59.19,0.00,59.19,0,184.215500,
47,58.46,0.00,58.46,0,177.588074,
48,57.56,0.00,57.56,0,174.666931,
49,59.13,0.00,59.13,0,197.789978,
50,58.06,34.49,92.54,1,193.624893,26.5637
51,58.96,0.00,58.96,0,177.128616,
52,60.27,0.00,60.27,0,209.297562,
53,58.33,0.00,58.33,0,208.949203,
54,59.70,0.00,59.70,0,208.808487,
55,58.54,0.00,58.54,0,189.609940,
56,58.31,0.00,58.31,0,208.549789,
57,57.90,0.00,57.90,0,164.542526,
58,58.01,0.00,58.01,0,176.246597,
59,57.82,0.00,57.82,0,200.663696,
60,59.14,0.00,59.14,0,188.394348,
61,57.91,0.00,57.91,0,199.645294,
62,57.35,0.00,57.35,0,160.747787,
63,58.51,0.00,58.51,0,186.876404,
