epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.0594,0.9135,0.0797,0.9818,-0.0534,0.9807,0.0307,0.3470,0.4323,-0.7837,0.9388,0.5190,11.6831,12.3319
25,0.007059,0.0341,0.8697,0.1787,0.9151,-0.0240,0.6656,0.0694,0.3105,0.7541,-0.4894,0.8529,0.9987,5.8400,6.0241
50,0.014412,-0.0531,0.8068,0.1584,0.9097,-0.1635,0.6195,-0.0169,0.3202,0.8342,-0.9787,1.0670,1.1734,5.2271,5.4768
75,0.021765,-0.0713,0.7752,0.1591,0.8832,-0.2840,0.5935,-0.0648,0.3691,0.8626,-1.0996,0.9715,1.2720,4.7314,5.0139
100,0.029118,0.0098,0.7707,0.2030,0.8822,-0.3046,0.5995,-0.0425,0.4216,0.9210,-1.3642,1.3322,1.3854,4.3235,4.6423
125,0.036471,-0.0282,0.7638,0.2425,0.8786,-0.3118,0.6072,-0.0145,0.4540,0.9513,-1.2060,1.5405,1.4419,4.0036,4.3535
150,0.043824,-0.0143,0.7742,0.2233,0.8872,-0.3491,0.6012,-0.0185,0.4620,0.9944,-1.3084,1.3525,1.5122,3.8233,4.2072
175,0.051176,-0.0119,0.7749,0.2216,0.8822,-0.3791,0.6171,-0.0173,0.4254,0.9968,-1.2080,1.0039,1.4896,3.6382,4.0324
200,0.058529,-0.0206,0.7878,0.2061,0.8603,-0.3952,0.6421,-0.0128,0.3985,1.0157,-1.0675,0.9442,1.4978,3.4573,3.8697
225,0.065882,-0.0130,0.7898,0.1970,0.8554,-0.3919,0.6643,-0.0035,0.3597,1.0306,-0.9890,0.9405,1.4978,3.4462,3.8732
250,0.073235,-0.0200,0.7931,0.1893,0.8491,-0.4134,0.6630,-0.0088,0.3486,1.0473,-0.9339,0.8683,1.5168,3.3735,3.8151
275,0.080588,0.0028,0.7922,0.1824,0.8462,-0.4351,0.6692,-0.0149,0.3298,1.0512,-0.8794,0.8120,1.5151,3.3739,3.8284
300,0.087941,-0.0275,0.7851,0.1830,0.8258,-0.4375,0.6618,-0.0110,0.3289,1.0505,-0.9428,0.7853,1.5223,3.2921,3.7696
325,0.095294,-0.0197,0.7896,0.1741,0.8164,-0.4382,0.6720,-0.0101,0.3104,1.0417,-0.8777,0.7182,1.5070,3.4715,3.9841
350,0.100265,-0.0345,0.7977,0.1691,0.8123,-0.4426,0.6768,-0.0152,0.3024,1.0285,-0.9249,0.7363,1.4832,3.3479,3.8393
375,0.101000,-0.0219,0.7923,0.1728,0.8127,-0.4388,0.6851,-0.0106,0.2843,1.0229,-0.8521,0.6462,1.4722,3.3255,3.8210
400,0.101735,-0.0392,0.7880,0.1592,0.8088,-0.4488,0.6776,-0.0235,0.2944,1.0231,-0.9541,0.6454,1.4807,3.3125,3.8165
425,0.102471,-0.0396,0.8011,0.1525,0.8003,-0.4493,0.6826,-0.0198,0.2887,1.0219,-0.8906,0.6583,1.4796,3.3134,3.8177
450,0.103206,-0.0229,0.7886,0.1383,0.8014,-0.4601,0.6892,-0.0263,0.2862,1.0225,-0.9385,0.5925,1.4813,3.2914,3.8056
