epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,93.81,58.57,152.39,1,28.511049,12.3319
2,60.92,0.00,60.92,0,17.899256,
3,60.92,0.00,60.92,0,16.327524,
4,61.52,0.00,61.52,0,15.846077,
5,60.47,0.00,60.47,0,14.950466,
6,60.34,0.00,60.34,0,15.148809,
7,61.09,0.00,61.09,0,14.607834,
8,62.27,0.00,62.27,0,14.596350,
9,61.98,0.00,61.98,0,14.152236,
10,60.73,0.00,60.73,0,14.403237,
11,62.06,0.00,62.06,0,13.868153,
12,62.38,0.00,62.38,0,14.635791,
13,61.11,0.00,61.11,0,14.346244,
14,60.94,0.00,60.94,0,14.029203,
15,61.56,0.00,61.56,0,14.230401,
16,60.89,0.00,60.89,0,13.805087,
17,62.04,0.00,62.04,0,14.323153,
18,61.66,0.00,61.66,0,13.889040,
19,61.58,0.00,61.58,0,14.629409,
20,62.51,0.00,62.51,0,14.404156,
21,62.40,0.00,62.40,0,14.501967,
22,60.67,0.00,60.67,0,13.774304,
23,61.67,0.00,61.67,0,14.061571,
24,62.57,0.00,62.57,0,14.497674,
25,61.74,57.89,119.63,1,14.225846,6.0241
26,61.28,0.00,61.28,0,13.982224,
27,61.99,0.00,61.99,0,13.648890,
28,79.88,0.00,79.88,0,15.186153,
29,78.89,0.00,78.89,0,15.257267,
30,79.10,0.00,79.10,0,14.837845,
31,80.10,0.00,80.10,0,15.576178,
32,79.72,0.00,79.72,0,14.687691,
33,79.07,0.00,79.07,0,15.075315,
34,79.96,0.00,79.96,0,15.278461,
35,79.88,0.00,79.88,0,14.728161,
36,78.88,0.00,78.88,0,14.376206,
37,79.91,0.00,79.91,0,14.760370,
38,79.64,0.00,79.64,0,14.232052,
39,79.26,0.00,79.26,0,14.471803,
40,79.95,0.00,79.95,0,14.104573,
41,82.33,0.00,82.33,0,14.606401,
42,80.32,0.00,80.32,0,14.184442,
43,80.02,0.00,80.02,0,14.397949,
44,79.15,0.00,79.15,0,14.150065,
45,78.68,0.00,78.68,0,13.634605,
46,79.62,0.00,79.62,0,13.447832,
47,80.23,0.00,80.23,0,13.848194,
48,80.43,0.00,80.43,0,13.401769,
49,80.15,0.00,80.15,0,13.381720,
50,80.04,54.91,134.95,1,13.669868,5.4768
51,79.74,0.00,79.74,0,13.773715,
52,79.10,0.00,79.10,0,13.608978,
53,78.67,0.00,78.67,0,13.743139,
54,78.68,0.00,78.68,0,13.260084,
55,78.50,0.00,78.50,0,13.344236,
56,78.68,0.00,78.68,0,12.989116,
57,79.33,0.00,79.33,0,13.655840,
58,78.35,0.00,78.35,0,12.966537,
59,77.73,0.00,77.73,0,12.834245,
60,78.40,0.00,78.40,0,12.920276,
61,78.80,0.00,78.80,0,13.050912,
62,79.41,0.00,79.41,0,13.263102,
63,78.41,0.00,78.41,0,12.920598,
64,78.29,0.00,78.29,0,12.513689,
65,78.53,0.00,78.53,0,12.810143,
66,78.88,0.00,78.88,0,12.701070,
67,78.30,0.00,78.30,0,12.748036,
68,79.40,0.00,79.40,0,12.851462,
69,78.91,0.00,78.91,0,12.396030,
70,79.17,0.00,79.17,0,12.813993,
71,78.39,0.00,78.39,0,12.304093,
72,78.55,0.00,78.55,0,12.418938,
73,79.12,0.00,79.12,0,12.839436,
74,79.11,0.00,79.11,0,12.564922,
75,78.31,54.35,132.65,1,12.203394,5.0139
76,78.60,0.00,78.60,0,12.009238,
77,78.35,0.00,78.35,0,11.750028,
78,77.50,0.00,77.50,0,11.724445,
79,79.24,0.00,79.24,0,12.192058,
80,79.16,0.00,79.16,0,11.935236,
81,78.99,0.00,78.99,0,11.958586,
82,79.59,0.00,79.59,0,12.199459,
83,79.16,0.00,79.16,0,12.083043,
84,79.01,0.00,79.01,0,11.739891,
85,78.99,0.00,78.99,0,11.586967,
86,78.28,0.00,78.28,0,11.581899,
87,77.86,0.00,77.86,0,11.621826,
88,77.11,0.00,77.11,0,11.583563,
89,78.73,0.00,78.73,0,11.771584,
90,78.05,0.00,78.05,0,11.644788,
91,77.51,0.00,77.51,0,11.612463,
92,78.39,0.00,78.39,0,11.371701,
93,77.51,0.00,77.51,0,11.155004,
94,77.07,0.00,77.07,0,11.271067,
95,77.60,0.00,77.60,0,11.431265,
96,79.03,0.00,79.03,0,11.684558,
97,77.79,0.00,77.79,0,11.144816,
98,77.48,0.00,77.48,0,11.253571,
99,77.01,0.00,77.01,0,10.947855,
100,77.12,51.91,129.03,1,11.116305,4.6423
101,77.94,0.00,77.94,0,11.233880,
102,78.34,0.00,78.34,0,11.289304,
103,78.56,0.00,78.56,0,11.603672,
104,77.07,0.00,77.07,0,10.759524,
105,76.79,0.00,76.79,0,10.821668,
106,77.11,0.00,77.11,0,10.782605,
107,78.25,0.00,78.25,0,10.968994,
108,76.71,0.00,76.71,0,10.597595,
109,77.11,0.00,77.11,0,10.646149,
110,77.78,0.00,77.78,0,10.725878,
111,77.79,0.00,77.79,0,10.894910,
112,77.75,0.00,77.75,0,10.868194,
113,77.56,0.00,77.56,0,10.621782,
114,77.59,0.00,77.59,0,10.449419,
115,78.20,0.00,78.20,0,10.760946,
116,77.21,0.00,77.21,0,10.579482,
117,77.44,0.00,77.44,0,10.650751,
