epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,-0.0088,0.9552,-0.0103,0.9796,-0.0563,0.9283,-0.0173,0.3388,0.4294,-1.0748,0.7984,0.5145,12.1134,14.0747
25,0.007059,-0.0060,0.8761,-0.0328,0.9085,-0.1222,0.6553,-0.0548,0.3256,0.7594,-0.8445,0.8217,0.9962,6.1910,6.5894
50,0.014412,-0.0612,0.8525,-0.0084,0.8769,-0.1524,0.6237,-0.0791,0.3199,0.8402,-0.9811,0.6296,1.1601,5.5921,6.4177
75,0.021765,-0.0820,0.8424,0.0188,0.8703,-0.1773,0.6307,-0.0891,0.3853,0.8698,-1.3630,0.6467,1.2505,4.9894,5.4398
100,0.029118,-0.0723,0.8128,0.0593,0.8706,-0.1820,0.6291,-0.0914,0.4550,0.8721,-1.6504,0.8347,1.3133,4.5830,5.0344
125,0.036471,-0.0491,0.8224,0.1051,0.8797,-0.1561,0.6415,-0.0644,0.4814,0.8795,-1.5133,1.3839,1.3311,4.3726,4.8044
150,0.043824,-0.0241,0.8257,0.1265,0.8731,-0.1558,0.6538,-0.0478,0.5251,0.8893,-1.2762,1.8045,1.3612,4.4398,5.4053
175,0.051176,0.0003,0.8159,0.1452,0.8461,-0.1326,0.6712,-0.0094,0.5415,0.8885,-1.2916,2.1356,1.3759,3.9787,4.4854
200,0.058529,0.0240,0.8311,0.1497,0.8419,-0.1162,0.6785,0.0003,0.5450,0.8957,-1.2913,2.4411,1.3928,3.8115,4.3398
225,0.065882,0.0216,0.8405,0.1580,0.8374,-0.1072,0.7076,0.0128,0.5214,0.9063,-1.1697,2.5400,1.3863,3.7912,4.5140
250,0.073235,0.0256,0.8568,0.1548,0.8561,-0.1141,0.7037,0.0050,0.5223,0.9303,-1.3070,2.5192,1.4117,3.6877,4.2206
275,0.080588,0.0281,0.8577,0.1532,0.8618,-0.1088,0.7193,0.0083,0.5115,0.9187,-1.3100,2.5179,1.3817,3.6724,4.1938
300,0.087941,0.0215,0.8640,0.1568,0.8681,-0.1241,0.7144,-0.0033,0.5124,0.9435,-1.2609,2.5758,1.4171,3.6008,4.1757
325,0.095294,0.0367,0.8686,0.1684,0.8711,-0.1280,0.7212,0.0015,0.4977,0.9506,-1.1933,2.5929,1.4152,3.8635,4.7463
350,0.110000,0.0350,0.8727,0.1796,0.8680,-0.1204,0.7272,0.0039,0.4910,0.9345,-1.2713,2.5456,1.3859,3.6499,4.4376
375,0.110000,0.0305,0.8706,0.1794,0.8686,-0.1119,0.7347,0.0048,0.4831,0.9293,-1.2539,2.5274,1.3760,3.6282,4.4131
400,0.110000,0.0280,0.8738,0.1864,0.8739,-0.1091,0.7388,0.0033,0.4869,0.9344,-1.2979,2.5238,1.3847,3.6464,4.4624
425,0.110000,0.0342,0.8910,0.1688,0.8766,-0.1088,0.7480,0.0041,0.4700,0.9320,-1.1326,2.5105,1.3685,3.7619,5.0179
450,0.110000,0.0372,0.8739,0.1597,0.8762,-0.1041,0.7516,0.0013,0.4758,0.9323,-1.1681,2.5124,1.3748,3.6035,4.3648
475,0.110000,0.0308,0.8669,0.1839,0.8674,-0.0976,0.7558,0.0141,0.4669,0.9359,-1.1863,2.5328,1.3798,3.6272,4.4832
500,0.110000,0.0368,0.8753,0.1806,0.8695,-0.0911,0.7602,0.0144,0.4730,0.9335,-1.1981,2.5546,1.3772,3.6149,4.3319
525,0.110000,0.0326,0.8615,0.1745,0.8658,-0.0960,0.7630,0.0088,0.4684,0.9351,-1.2014,2.5319,1.3817,3.5678,4.2810
550,0.110000,0.0366,0.8591,0.1861,0.8624,-0.0835,0.7677,0.0168,0.4658,0.9390,-1.1915,2.4901,1.3878,3.5701,4.4832
575,0.110000,0.0124,0.8664,0.1757,0.8617,-0.0859,0.7666,0.0077,0.4637,0.9326,-1.1726,2.4617,1.3774,3.6538,4.7560
600,0.110000,0.0388,0.8643,0.1750,0.8601,-0.0817,0.7699,0.0142,0.4664,0.9395,-1.1962,2.4739,1.3886,3.6382,4.4897
