epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,84.09,102.81,186.90,1,29.398344,14.0747
2,76.43,0.00,76.43,0,19.884422,
3,76.70,0.00,76.70,0,18.379200,
4,76.11,0.00,76.11,0,16.898615,
5,76.93,0.00,76.93,0,16.777912,
6,76.33,0.00,76.33,0,16.518438,
7,76.91,0.00,76.91,0,16.564949,
8,76.62,0.00,76.62,0,16.400368,
9,76.95,0.00,76.95,0,16.048557,
10,77.66,0.00,77.66,0,16.659584,
11,77.36,0.00,77.36,0,16.159725,
12,77.25,0.00,77.25,0,16.593817,
13,76.93,0.00,76.93,0,16.103163,
14,76.99,0.00,76.99,0,16.225475,
15,77.34,0.00,77.34,0,15.830165,
16,76.67,0.00,76.67,0,16.149918,
17,76.53,0.00,76.53,0,16.543346,
18,77.30,0.00,77.30,0,16.368586,
19,76.58,0.00,76.58,0,15.853059,
20,76.83,0.00,76.83,0,16.090820,
21,77.13,0.00,77.13,0,15.768999,
22,78.18,0.00,78.18,0,16.292780,
23,80.43,0.00,80.43,0,16.012228,
24,87.35,0.00,87.35,0,16.158600,
25,76.77,109.33,186.10,1,15.920943,6.5894
26,77.16,0.00,77.16,0,16.211346,
27,76.74,0.00,76.74,0,15.831748,
28,96.67,0.00,96.67,0,17.598183,
29,95.71,0.00,95.71,0,17.153675,
30,94.77,0.00,94.77,0,16.585770,
31,96.45,0.00,96.45,0,16.897768,
32,96.62,0.00,96.62,0,16.522493,
33,96.27,0.00,96.27,0,17.298964,
34,97.44,0.00,97.44,0,16.281487,
35,99.24,0.00,99.24,0,16.407772,
36,103.78,0.00,103.78,0,16.265024,
37,104.50,0.00,104.50,0,16.170444,
38,104.86,0.00,104.86,0,16.283188,
39,100.42,0.00,100.42,0,15.998619,
40,98.90,0.00,98.90,0,15.952459,
41,112.01,0.00,112.01,0,16.755821,
42,108.05,0.00,108.05,0,15.687298,
43,110.81,0.00,110.81,0,16.350609,
44,99.37,0.00,99.37,0,15.567801,
45,102.60,0.00,102.60,0,15.717322,
46,99.31,0.00,99.31,0,15.561685,
47,99.39,0.00,99.39,0,15.560909,
48,105.05,0.00,105.05,0,15.675597,
49,110.75,0.00,110.75,0,15.660810,
50,109.46,131.43,240.89,1,15.454549,6.4177
51,109.97,0.00,109.97,0,15.072406,
52,111.90,0.00,111.90,0,15.696745,
53,111.88,0.00,111.88,0,15.159941,
54,111.46,0.00,111.46,0,14.846052,
55,110.21,0.00,110.21,0,14.894053,
56,106.44,0.00,106.44,0,14.931357,
57,103.53,0.00,103.53,0,14.910821,
58,97.17,0.00,97.17,0,15.247211,
59,95.36,0.00,95.36,0,14.652984,
60,97.40,0.00,97.40,0,14.975160,
61,95.07,0.00,95.07,0,14.816792,
62,93.93,0.00,93.93,0,14.816387,
63,94.15,0.00,94.15,0,14.668198,
64,93.35,0.00,93.35,0,13.806701,
65,93.81,0.00,93.81,0,14.373251,
66,93.77,0.00,93.77,0,14.729912,
67,93.25,0.00,93.25,0,14.500402,
68,94.38,0.00,94.38,0,14.396699,
69,92.54,0.00,92.54,0,14.267826,
70,93.42,0.00,93.42,0,14.131387,
71,94.25,0.00,94.25,0,14.162933,
72,93.74,0.00,93.74,0,14.229754,
73,92.78,0.00,92.78,0,13.454968,
74,94.20,0.00,94.20,0,14.230849,
75,94.43,102.65,197.07,1,14.242700,5.4398
76,93.44,0.00,93.44,0,13.784868,
77,95.16,0.00,95.16,0,14.271116,
78,92.73,0.00,92.73,0,13.684916,
79,93.54,0.00,93.54,0,13.621716,
80,93.55,0.00,93.55,0,13.619455,
81,92.37,0.00,92.37,0,13.541400,
82,93.36,0.00,93.36,0,13.370973,
83,93.93,0.00,93.93,0,13.571790,
84,94.34,0.00,94.34,0,12.988064,
85,97.18,0.00,97.18,0,13.379756,
86,97.96,0.00,97.96,0,13.170505,
87,95.28,0.00,95.28,0,12.997059,
88,97.36,0.00,97.36,0,12.997923,
89,92.00,0.00,92.00,0,13.176669,
90,87.96,0.00,87.96,0,12.522064,
91,88.44,0.00,88.44,0,12.958383,
92,87.42,0.00,87.42,0,12.372618,
93,87.71,0.00,87.71,0,12.753430,
94,87.24,0.00,87.24,0,12.436831,
95,88.38,0.00,88.38,0,12.914058,
96,88.10,0.00,88.10,0,12.841990,
97,88.09,0.00,88.09,0,12.544222,
98,88.25,0.00,88.25,0,12.404279,
99,88.44,0.00,88.44,0,12.796357,
100,87.85,97.90,185.75,1,12.141795,5.0344
101,87.37,0.00,87.37,0,11.893534,
102,90.57,0.00,90.57,0,12.525750,
103,90.31,0.00,90.31,0,12.561919,
104,92.23,0.00,92.23,0,12.655124,
105,87.20,0.00,87.20,0,12.177457,
106,89.06,0.00,89.06,0,12.300920,
107,88.51,0.00,88.51,0,12.447230,
108,88.24,0.00,88.24,0,12.095219,
109,89.31,0.00,89.31,0,12.218710,
110,87.72,0.00,87.72,0,12.075826,
111,88.10,0.00,88.10,0,12.251557,
112,88.87,0.00,88.87,0,12.278476,
113,87.35,0.00,87.35,0,11.945942,
114,88.23,0.00,88.23,0,12.327018,
115,87.83,0.00,87.83,0,12.331331,
116,88.07,0.00,88.07,0,12.065751,
117,88.18,0.00,88.18,0,12.151926,
118,90.11,0.00,90.11,0,11.980538,
119,92.52,0.00,92.52,0,11.873263,
120,89.69,0.00,89.69,0,12.298915,
121,88.86,0.00,88.86,0,12.225568,
122,90.56,0.00,90.56,0,12.073355,
123,90.78,0.00,90.78,0,11.962660,
124,91.72,0.00,91.72,0,11.863387,
125,90.35,99.77,190.12,1,11.724373,4.8044
126,88.06,0.00,88.06,0,11.830390,
127,88.29,0.00,88.29,0,11.954480,
128,87.54,0.00,87.54,0,11.715123,
129,88.90,0.00,88.90,0,11.602511,
130,88.39,0.00,88.39,0,11.756186,
131,89.11,0.00,89.11,0,12.101182,
132,89.29,0.00,89.29,0,12.184258,
133,88.92,0.00,88.92,0,11.755948,
134,88.75,0.00,88.75,0,11.491365,
135,88.88,0.00,88.88,0,11.725451,
136,88.67,0.00,88.67,0,11.799036,
137,88.19,0.00,88.19,0,11.300256,
138,89.19,0.00,89.19,0,11.572485,
139,89.17,0.00,89.17,0,11.802238,
140,89.16,0.00,89.16,0,11.427878,
141,91.83,0.00,91.83,0,11.901710,
142,88.72,0.00,88.72,0,11.438901,
143,89.04,0.00,89.04,0,11.942355,
144,89.88,0.00,89.88,0,11.916358,
145,88.36,0.00,88.36,0,11.507065,
146,89.20,0.00,89.20,0,11.635427,
147,88.68,0.00,88.68,0,11.678864,
148,89.09,0.00,89.09,0,11.447251,
149,88.76,0.00,88.76,0,11.660317,
150,87.92,99.27,187.18,1,11.263706,5.4053
151,89.38,0.00,89.38,0,11.786964,
152,89.00,0.00,89.00,0,11.749454,
153,88.15,0.00,88.15,0,11.376214,
154,89.00,0.00,89.00,0,11.576957,
155,88.72,0.00,88.72,0,11.233528,
156,89.12,0.00,89.12,0,11.437922,
157,87.83,0.00,87.83,0,10.945971,
158,88.28,0.00,88.28,0,11.108741,
159,88.87,0.00,88.87,0,11.299280,
160,89.07,0.00,89.07,0,10.977520,
161,89.07,0.00,89.07,0,11.095146,
162,90.54,0.00,90.54,0,11.039231,
163,89.96,0.00,89.96,0,11.313716,
164,89.97,0.00,89.97,0,11.530849,
165,89.16,0.00,89.16,0,11.038096,
166,88.70,0.00,88.70,0,11.178460,
167,88.39,0.00,88.39,0,11.209968,
168,89.43,0.00,89.43,0,11.676178,
169,89.51,0.00,89.51,0,11.658561,
170,89.02,0.00,89.02,0,10.761016,
171,88.91,0.00,88.91,0,11.072421,
172,88.11,0.00,88.11,0,10.906433,
173,89.88,0.00,89.88,0,10.952315,
174,89.86,0.00,89.86,0,10.655097,
175,88.40,97.46,185.86,1,11.340987,4.4854
176,88.03,0.00,88.03,0,10.800858,
177,88.13,0.00,88.13,0,11.354300,
178,88.86,0.00,88.86,0,11.150302,
179,87.88,0.00,87.88,0,10.994087,
180,87.58,0.00,87.58,0,10.874551,
181,87.49,0.00,87.49,0,11.042401,
182,87.56,0.00,87.56,0,10.842876,
183,88.52,0.00,88.52,0,11.220278,
184,88.18,0.00,88.18,0,10.688656,
185,87.38,0.00,87.38,0,10.883910,
186,88.68,0.00,88.68,0,11.227193,
187,88.06,0.00,88.06,0,10.663562,
188,88.71,0.00,88.71,0,10.791338,
189,88.16,0.00,88.16,0,10.579379,
190,87.58,0.00,87.58,0,10.750638,
191,88.22,0.00,88.22,0,11.083086,
192,86.87,0.00,86.87,0,10.474675,
193,87.88,0.00,87.88,0,10.864429,
