epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,-0.0199,0.9673,-0.0066,0.9805,0.0484,0.9617,-0.0005,0.3378,0.4341,-1.1313,0.8071,0.5051,11.7677,11.7792
25,0.010000,-0.0619,1.0484,0.0717,0.9885,-0.0410,0.7097,-0.0009,0.1992,0.7109,-0.6251,0.4371,0.7897,6.2109,6.2555
50,0.020417,-0.0376,1.0174,0.1347,1.0547,-0.1130,0.6500,-0.0342,0.3082,0.9148,-1.0521,1.0630,1.1162,5.6050,5.7015
75,0.030833,-0.0214,0.9672,0.1670,1.0200,-0.0986,0.6333,-0.0171,0.4006,0.8551,-1.1558,1.5309,1.1333,5.1472,5.2831
100,0.041250,-0.0179,0.9365,0.1043,1.0072,-0.0785,0.6049,-0.0242,0.4570,0.8952,-1.4522,1.5435,1.2543,4.7939,4.9781
125,0.051667,-0.0080,0.9008,0.0659,0.9673,-0.0464,0.6071,-0.0171,0.5108,0.8955,-2.3661,1.9002,1.3111,4.4675,4.6955
150,0.062083,-0.0004,0.9029,0.0624,0.9213,-0.0325,0.6136,0.0003,0.4365,0.9386,-2.1257,1.0122,1.3571,4.1646,4.4347
175,0.072500,-0.0143,0.9056,0.0585,0.8947,-0.0348,0.6271,-0.0005,0.4394,0.9147,-1.4681,1.3802,1.3355,3.9351,4.2378
200,0.082917,0.0128,0.8854,0.0561,0.8821,-0.0501,0.6091,0.0208,0.4428,0.9154,-1.9850,1.5456,1.3581,3.6745,4.0087
225,0.093333,0.0048,0.8504,0.0226,0.8371,-0.0434,0.6213,0.0375,0.4136,0.9150,-1.9270,1.6784,1.3619,3.4436,3.8113
250,0.110000,-0.0470,0.8343,-0.0091,0.8139,-0.0637,0.6237,0.0032,0.3073,0.9179,-1.5343,1.2412,1.3518,3.1910,3.5976
275,0.110000,-0.0617,0.8585,-0.0182,0.8034,-0.0832,0.6318,-0.0112,0.2685,0.9658,-1.2331,0.7109,1.4012,2.9285,3.3658
300,0.110000,-0.0613,0.8433,-0.0077,0.7993,-0.0899,0.6472,-0.0093,0.2579,0.9848,-0.9641,0.6306,1.4211,2.7414,3.1814
325,0.110000,-0.0771,0.8051,-0.0096,0.7755,-0.1112,0.6644,-0.0162,0.2437,0.9908,-0.8443,0.4301,1.4387,2.5586,3.0252
350,0.110000,-0.0804,0.8024,-0.0197,0.7686,-0.1334,0.6740,-0.0162,0.2272,1.0147,-0.7834,0.3790,1.4733,2.4422,2.9316
375,0.110000,-0.0695,0.7990,-0.0327,0.7568,-0.1295,0.6908,-0.0083,0.2208,1.0186,-0.6418,0.4036,1.4762,2.2074,2.7007
400,0.110000,-0.0673,0.8044,-0.0393,0.7573,-0.1252,0.6956,-0.0052,0.2331,1.0239,-0.6518,0.5367,1.4838,2.1666,2.6568
425,0.110000,-0.0572,0.7933,-0.0408,0.7525,-0.1201,0.7067,0.0070,0.2488,1.0269,-0.7065,0.6459,1.4957,2.0695,2.5696
450,0.110000,-0.0600,0.7903,-0.0479,0.7441,-0.1253,0.7145,0.0036,0.2547,1.0287,-0.6924,0.7536,1.5059,1.9618,2.4595
475,0.110000,-0.0689,0.7809,-0.0364,0.7484,-0.1267,0.7148,0.0069,0.2731,1.0349,-0.7843,0.7849,1.5281,1.9094,2.4222
500,0.110000,-0.0669,0.7825,-0.0171,0.7486,-0.1344,0.7296,0.0061,0.2681,1.0394,-0.7743,0.8020,1.5374,1.7751,2.2984
525,0.110000,-0.0595,0.7858,0.0015,0.7512,-0.1363,0.7355,0.0089,0.2736,1.0435,-0.7568,0.8556,1.5477,1.7043,2.2276
550,0.110000,-0.0622,0.7886,0.0154,0.7488,-0.1402,0.7458,0.0119,0.2719,1.0403,-0.7647,0.8747,1.5479,1.6492,2.1751
575,0.110000,-0.0583,0.7877,0.0231,0.7543,-0.1488,0.7494,0.0115,0.2757,1.0449,-0.7954,0.9110,1.5597,1.5501,2.0851
600,0.110000,-0.0668,0.7994,0.0054,0.7573,-0.1667,0.7548,0.0052,0.2885,1.0505,-0.8777,0.8521,1.5729,1.4925,2.0298
625,0.110000,-0.0914,0.6924,0.0248,0.7471,-0.1595,0.7343,-0.0176,0.4895,1.0449,-2.1285,2.2684,1.7057,1.9250,2.5189
650,0.110000,-0.0670,0.6742,0.0171,0.7392,-0.1578,0.7295,-0.0257,0.5809,1.0411,-2.6864,2.5650,1.7610,1.8380,2.4461
675,0.110000,-0.0703,0.6740,0.0286,0.7299,-0.1547,0.7340,-0.0297,0.5836,1.0447,-2.7923,2.1780,1.7742,1.7700,2.3805
