epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,74.28,45.97,120.25,1,19.925426,11.7792
2,51.48,0.00,51.48,0,14.496344,
3,40.50,0.00,40.50,0,12.651983,
4,63.06,0.00,63.06,0,12.402273,
5,69.34,0.00,69.34,0,11.765625,
6,68.32,0.00,68.32,0,11.595737,
7,68.12,0.00,68.12,0,11.173180,
8,55.28,0.00,55.28,0,10.879946,
9,40.69,0.00,40.69,0,10.658608,
10,57.58,0.00,57.58,0,10.604940,
11,71.54,0.00,71.54,0,10.597440,
12,68.94,0.00,68.94,0,10.593376,
13,66.40,0.00,66.40,0,10.794684,
14,57.59,0.00,57.59,0,11.248845,
15,40.83,0.00,40.83,0,10.693008,
16,58.25,0.00,58.25,0,11.154251,
17,72.32,0.00,72.32,0,10.672013,
18,68.48,0.00,68.48,0,10.804348,
19,67.38,0.00,67.38,0,10.677633,
20,56.55,0.00,56.55,0,10.625313,
21,57.42,0.00,57.42,0,10.839381,
22,92.91,0.00,92.91,0,10.812776,
23,92.63,0.00,92.63,0,11.004496,
24,88.38,0.00,88.38,0,10.897338,
25,64.63,26.22,90.86,1,10.632577,6.2555
26,88.10,0.00,88.10,0,10.484019,
27,88.42,0.00,88.42,0,10.576188,
28,89.13,0.00,89.13,0,10.742653,
29,68.54,0.00,68.54,0,10.590728,
30,62.87,0.00,62.87,0,10.499148,
31,94.19,0.00,94.19,0,10.308788,
32,91.53,0.00,91.53,0,10.405697,
33,86.12,0.00,86.12,0,10.758631,
34,57.86,0.00,57.86,0,10.395137,
35,82.88,0.00,82.88,0,10.399167,
36,90.19,0.00,90.19,0,10.225558,
37,91.55,0.00,91.55,0,10.474238,
38,70.93,0.00,70.93,0,10.527565,
39,63.62,0.00,63.62,0,10.448842,
40,94.79,0.00,94.79,0,10.276408,
41,100.85,0.00,100.85,0,10.159156,
42,83.85,0.00,83.85,0,10.221905,
43,58.46,0.00,58.46,0,10.674708,
44,83.39,0.00,83.39,0,10.023052,
45,95.30,0.00,95.30,0,10.310183,
46,88.36,0.00,88.36,0,9.829512,
47,69.58,0.00,69.58,0,9.701715,
48,65.29,0.00,65.29,0,10.070427,
49,92.61,0.00,92.61,0,10.097022,
50,91.17,45.88,137.05,1,9.901873,5.7015
51,64.05,0.00,64.05,0,10.013937,
52,76.23,0.00,76.23,0,9.927341,
53,93.87,0.00,93.87,0,9.918289,
54,93.96,0.00,93.96,0,9.994526,
55,80.29,0.00,80.29,0,10.185609,
56,58.68,0.00,58.68,0,9.574291,
57,96.59,0.00,96.59,0,10.121576,
58,91.08,0.00,91.08,0,9.716591,
59,87.89,0.00,87.89,0,9.668155,
60,61.13,0.00,61.13,0,10.104475,
61,82.77,0.00,82.77,0,9.924021,
62,89.23,0.00,89.23,0,9.377520,
63,89.91,0.00,89.91,0,10.280180,
64,74.88,0.00,74.88,0,9.423759,
65,61.52,0.00,61.52,0,9.520531,
66,95.26,0.00,95.26,0,9.529513,
67,90.79,0.00,90.79,0,9.674055,
68,92.52,0.00,92.52,0,9.622401,
69,58.30,0.00,58.30,0,9.677885,
70,82.71,0.00,82.71,0,9.495060,
71,93.33,0.00,93.33,0,9.721603,
72,91.81,0.00,91.81,0,9.170665,
73,73.10,0.00,73.10,0,9.715929,
74,63.55,0.00,63.55,0,8.965882,
75,93.39,41.83,135.21,1,9.541690,5.2831
76,87.65,0.00,87.65,0,9.263239,
77,72.17,0.00,72.17,0,8.971628,
78,66.91,0.00,66.91,0,9.301267,
79,96.63,0.00,96.63,0,9.029974,
80,95.61,0.00,95.61,0,9.386087,
81,83.63,0.00,83.63,0,9.006006,
82,58.03,0.00,58.03,0,8.999258,
83,86.64,0.00,86.64,0,8.799051,
84,95.59,0.00,95.59,0,9.321745,
85,89.42,0.00,89.42,0,9.142082,
86,69.49,0.00,69.49,0,8.870671,
87,71.26,0.00,71.26,0,9.176888,
88,96.62,0.00,96.62,0,8.711617,
89,93.35,0.00,93.35,0,8.770755,
90,81.54,0.00,81.54,0,9.047250,
91,58.03,0.00,58.03,0,8.682664,
92,94.16,0.00,94.16,0,8.694149,
93,91.02,0.00,91.02,0,8.705082,
94,59.98,0.00,59.98,0,9.076574,
95,57.38,0.00,57.38,0,8.978405,
96,57.86,0.00,57.86,0,9.001581,
97,56.62,0.00,56.62,0,8.623402,
98,56.58,0.00,56.58,0,8.547819,
99,56.84,0.00,56.84,0,8.543982,
100,57.51,27.33,84.84,1,8.840913,4.9781
101,57.15,0.00,57.15,0,8.599250,
102,57.50,0.00,57.50,0,8.783196,
103,57.14,0.00,57.14,0,8.616205,
104,60.11,0.00,60.11,0,8.734138,
105,57.59,0.00,57.59,0,8.644294,
106,57.68,0.00,57.68,0,8.715821,
107,57.46,0.00,57.46,0,8.697572,
108,57.17,0.00,57.17,0,8.624434,
109,57.23,0.00,57.23,0,8.650047,
110,56.72,0.00,56.72,0,8.319332,
111,57.09,0.00,57.09,0,8.539749,
112,56.10,0.00,56.10,0,8.336136,
113,57.08,0.00,57.08,0,8.595574,
114,57.15,0.00,57.15,0,8.513588,
115,57.42,0.00,57.42,0,8.468922,
116,57.13,0.00,57.13,0,8.470844,
117,57.43,0.00,57.43,0,8.538133,
118,57.20,0.00,57.20,0,8.500064,
119,56.97,0.00,56.97,0,8.395745,
120,57.28,0.00,57.28,0,8.514344,
121,57.26,0.00,57.26,0,8.356056,
122,57.07,0.00,57.07,0,8.420403,
123,57.33,0.00,57.33,0,8.450009,
124,56.68,0.00,56.68,0,8.287105,
125,56.69,26.01,82.70,1,8.281695,4.6955
126,57.67,0.00,57.67,0,8.320429,
127,57.51,0.00,57.51,0,8.486808,
128,57.26,0.00,57.26,0,8.312640,
129,56.55,0.00,56.55,0,8.144611,
130,56.64,0.00,56.64,0,8.120071,
131,57.13,0.00,57.14,0,8.096382,
132,57.91,0.00,57.91,0,8.576331,
133,57.81,0.00,57.81,0,8.388125,
134,58.20,0.00,58.20,0,8.414789,
135,57.77,0.00,57.77,0,8.416068,
136,56.99,0.00,56.99,0,8.260746,
137,57.07,0.00,57.07,0,8.242929,
138,57.69,0.00,57.69,0,8.272775,
139,57.64,0.00,57.64,0,8.132526,
140,56.60,0.00,56.60,0,7.991959,
141,57.52,0.00,57.52,0,8.267475,
142,57.43,0.00,57.43,0,8.221286,
143,57.81,0.00,57.81,0,8.394158,
144,56.99,0.00,56.99,0,7.970819,
145,56.30,0.00,56.30,0,7.707038,
146,56.36,0.00,56.36,0,7.788899,
147,56.77,0.00,56.77,0,7.879385,
148,57.11,0.00,57.11,0,7.903246,
149,57.29,0.00,57.29,0,7.878686,
150,57.51,27.30,84.81,1,8.016268,4.4347
151,57.26,0.00,57.26,0,7.991277,
152,56.95,0.00,56.95,0,7.817101,
153,56.92,0.00,56.92,0,7.831518,
154,57.57,0.00,57.57,0,8.042957,
155,57.85,0.00,57.85,0,8.175457,
156,57.21,0.00,57.21,0,7.988455,
157,56.79,0.00,56.79,0,7.840569,
158,57.94,0.00,57.94,0,7.938344,
159,58.66,0.00,58.66,0,7.949831,
160,57.22,0.00,57.22,0,7.804459,
161,57.73,0.00,57.73,0,7.858659,
162,57.18,0.00,57.18,0,7.762603,
163,57.65,0.00,57.65,0,7.935992,
164,57.90,0.00,57.90,0,8.046942,
165,56.85,0.00,56.85,0,7.773972,
166,56.49,0.00,56.49,0,7.590307,
167,56.38,0.00,56.38,0,7.505135,
168,57.19,0.00,57.19,0,7.762812,
169,57.56,0.00,57.56,0,7.949816,
170,57.00,0.00,57.00,0,7.707718,
171,57.74,0.00,57.74,0,7.865722,
172,57.98,0.00,57.98,0,7.944376,
173,57.33,0.00,57.33,0,7.756481,
174,56.38,0.00,56.38,0,7.409923,
