epoch,train_heatmap_loss,train_tier_a,train_peak_log1p,train_valley_log1p,val_heatmap_loss,val_tier_a,val_peak_log1p,val_valley_log1p
1,2.2318010330200195,2.2318010330200195,0.0,0.0,1.193891230542609,1.193891230542609,0.0,0.0
25,0.5629802346229553,0.5629802346229553,0.0,0.0,0.09334169182371586,0.09334169182371586,0.0,0.0
50,0.4877554178237915,0.4877554178237915,0.0,0.0,0.05953382756164734,0.05953382756164734,0.0,0.0
75,0.5247151255607605,0.5247151255607605,0.0,0.0,0.04749555741535856,0.04749555741535856,0.0,0.0
100,0.45113232731819153,0.45113232731819153,0.0,0.0,0.04417719021439552,0.04417719021439552,0.0,0.0
125,0.40291017293930054,0.40291017293930054,0.0,0.0,0.030363598354953402,0.030363598354953402,0.0,0.0
150,0.4001873731613159,0.4001873731613159,0.0,0.0,0.02736385704830606,0.02736385704830606,0.0,0.0
175,0.3519248366355896,0.3519248366355896,0.0,0.0,0.02993515836114579,0.02993515836114579,0.0,0.0
200,0.4324858486652374,0.4324858486652374,0.0,0.0,0.0266946960002818,0.0266946960002818,0.0,0.0
225,0.38594159483909607,0.38594159483909607,0.0,0.0,0.027541166282397635,0.027541166282397635,0.0,0.0
250,0.29732146859169006,0.29732146859169006,0.0,0.0,0.0201264726473613,0.0201264726473613,0.0,0.0
275,0.3216951787471771,0.3216951787471771,0.0,0.0,0.019472250802085755,0.019472250802085755,0.0,0.0
300,0.3381422162055969,0.3381422162055969,0.0,0.0,0.018891764253853482,0.018891764253853482,0.0,0.0
325,0.3071889281272888,0.3071889281272888,0.0,0.0,0.019873696383326613,0.019873696383326613,0.0,0.0
350,0.2814217805862427,0.2814217805862427,0.0,0.0,0.03332937904336351,0.03332937904336351,0.0,0.0
375,0.28314581513404846,0.28314581513404846,0.0,0.0,0.01393187791109085,0.01393187791109085,0.0,0.0
400,0.3047887980937958,0.3047887980937958,0.0,0.0,0.012907218655690235,0.012907218655690235,0.0,0.0
425,0.276326060295105,0.276326060295105,0.0,0.0,0.01620410883680303,0.01620410883680303,0.0,0.0
450,0.2873063087463379,0.2873063087463379,0.0,0.0,0.014252814959655417,0.014252814959655417,0.0,0.0
475,0.2998296916484833,0.2998296916484833,0.0,0.0,0.02089646185966248,0.02089646185966248,0.0,0.0
500,0.23138538002967834,0.23138538002967834,0.0,0.0,0.010587718500260343,0.010587718500260343,0.0,0.0
525,0.26864469051361084,0.26864469051361084,0.0,0.0,0.010583585849467744,0.010583585849467744,0.0,0.0
550,0.2600100040435791,0.2600100040435791,0.0,0.0,0.011404406782635983,0.011404406782635983,0.0,0.0
575,0.24765925109386444,0.24765925109386444,0.0,0.0,0.009468038936958034,0.009468038936958034,0.0,0.0
600,0.24870705604553223,0.24870705604553223,0.0,0.0,0.011599522563529776,0.011599522563529776,0.0,0.0
625,0.4569922387599945,0.3067667484283447,0.14954550564289093,0.0006800953415222466,0.021873233752681853,0.016910690925222762,0.004817240510849243,0.00014530219090607097
650,0.43136832118034363,0.28714418411254883,0.1435515433549881,0.0006725523271597922,0.01117860359001033,0.009420181933711184,0.00153441443652945,0.00022400723624122428
675,0.412161648273468,0.27374979853630066,0.13769088685512543,0.000721004034858197,0.008001250064277902,0.007647125228763895,0.0002809939739737719,7.313088810522148e-05
