mhz,k,pi_norm,max,mean_fg,p95
10.0,7,0.3599516044570672,0.2936286926269531,0.07286805659532547,0.14205823838710785
10.0,8,0.3599516044570672,0.30641186237335205,0.08074253797531128,0.15815849602222443
10.0,9,0.3599516044570672,0.28778696060180664,0.08349374681711197,0.15756429731845856
10.0,10,0.3599516044570672,0.2982228994369507,0.07840418070554733,0.14987599849700928
10.0,11,0.3599516044570672,0.2849104404449463,0.07613629102706909,0.14563754200935364
10.0,12,0.3599516044570672,0.288959264755249,0.07544323801994324,0.14562338590621948
10.0,13,0.3599516044570672,0.27948105335235596,0.07314256578683853,0.14419978857040405
10.0,14,0.3599516044570672,0.3008314371109009,0.07084227353334427,0.1360732465982437
10.0,15,0.3599516044570672,0.3041386604309082,0.0758005753159523,0.15063540637493134
10.0,16,0.3599516044570672,0.2673913240432739,0.06879819184541702,0.1262298971414566
10.0,17,0.3599516044570672,0.29338622093200684,0.0746762827038765,0.14302028715610504
70.0,7,0.6641459998837217,2.154237747192383,0.6760202050209045,1.1923224925994873
70.0,8,0.6641459998837217,2.223897695541382,0.6582884788513184,1.1935216188430786
70.0,9,0.6641459998837217,1.965946912765503,0.669419527053833,1.1789517402648926
70.0,10,0.6641459998837217,2.0070996284484863,0.6140507459640503,1.130704641342163
70.0,11,0.6641459998837217,1.983952283859253,0.6181367635726929,1.0864721536636353
70.0,12,0.6641459998837217,2.092714786529541,0.6224790811538696,1.1525764465332031
70.0,13,0.6641459998837217,2.058284044265747,0.6063767075538635,1.1944730281829834
70.0,14,0.6641459998837217,1.952411413192749,0.5285207629203796,0.972351610660553
70.0,15,0.6641459998837217,2.0091497898101807,0.5418102741241455,1.0511269569396973
70.0,16,0.6641459998837217,1.7885375022888184,0.5104501843452454,0.9240620732307434
70.0,17,0.6641459998837217,1.8143963813781738,0.5503231287002563,1.0216087102890015
120.0,7,0.7484046254718868,5.128066062927246,1.3996413946151733,2.868096113204956
120.0,8,0.7484046254718868,5.50178861618042,1.4953302145004272,3.068760871887207
120.0,9,0.7484046254718868,4.684687614440918,1.3906108140945435,2.6235132217407227
120.0,10,0.7484046254718868,5.495899200439453,1.521568775177002,3.270672082901001
120.0,11,0.7484046254718868,4.783669471740723,1.3378286361694336,2.5708489418029785
120.0,12,0.7484046254718868,5.81009578704834,1.5025434494018555,3.4086391925811768
120.0,13,0.7484046254718868,5.906120300292969,1.4427900314331055,3.46955943107605
120.0,14,0.7484046254718868,4.700973987579346,1.1096960306167603,2.2168619632720947
120.0,15,0.7484046254718868,4.904417991638184,1.2596713304519653,2.7579782009124756
120.0,16,0.7484046254718868,4.264456272125244,1.0885893106460571,2.1488609313964844
120.0,17,0.7484046254718868,4.239212512969971,1.1415637731552124,2.271578073501587
270.0,7,0.875173287927802,21.232513427734375,2.3635127544403076,6.017168045043945
270.0,8,0.875173287927802,23.417757034301758,2.9148454666137695,8.485038757324219
270.0,9,0.875173287927802,9.859345436096191,2.046177625656128,4.592976093292236
270.0,10,0.875173287927802,28.885522842407227,3.7637100219726562,13.578840255737305
270.0,11,0.875173287927802,21.66326141357422,3.5497419834136963,9.238516807556152
270.0,12,0.875173287927802,18.940765380859375,3.3869755268096924,8.756104469299316
270.0,13,0.875173287927802,20.5369930267334,2.943678379058838,7.147214412689209
270.0,14,0.875173287927802,24.455196380615234,3.6100521087646484,10.306307792663574
270.0,15,0.875173287927802,25.27336311340332,3.4423930644989014,10.350156784057617
270.0,16,0.875173287927802,23.21563148498535,3.424426317214966,10.257206916809082
270.0,17,0.875173287927802,25.933290481567383,4.721014499664307,14.637384414672852
400.0,7,0.9366156687720424,10.720263481140137,2.5164809226989746,5.092426300048828
400.0,8,0.9366156687720424,9.751136779785156,2.6982269287109375,5.286847114562988
400.0,9,0.9366156687720424,12.545011520385742,3.033447027206421,5.438501834869385
400.0,10,0.9366156687720424,12.209457397460938,2.5300166606903076,4.937882900238037
400.0,11,0.9366156687720424,10.855737686157227,2.408369541168213,4.58532190322876
400.0,12,0.9366156687720424,12.211499214172363,2.4034860134124756,4.558305740356445
400.0,13,0.9366156687720424,9.32717514038086,2.3494534492492676,4.36687707901001
400.0,14,0.9366156687720424,9.040105819702148,2.2948453426361084,4.267465114593506
400.0,15,0.9366156687720424,9.074380874633789,2.2948596477508545,4.206929683685303
400.0,16,0.9366156687720424,11.75370979309082,2.583311080932617,5.304006099700928
400.0,17,0.9366156687720424,10.297115325927734,2.6458182334899902,4.640501976013184
