epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,-0.0216,0.9438,0.0054,1.0003,0.0866,0.9700,0.0047,0.4685,0.4298,-2.0857,1.5291,0.5699,11.9117,12.4795
25,0.010000,0.0156,0.9636,-0.0744,0.8869,0.0753,0.6926,0.0170,0.3495,0.6289,-0.9102,0.8902,0.8902,6.8447,6.9451
50,0.020417,0.1332,0.8673,-0.0513,0.8484,0.1705,0.6024,0.1004,0.4439,0.7566,-1.0940,1.2390,1.2181,5.5237,5.7095
75,0.110000,0.0857,0.9300,-0.0666,0.9155,0.1515,0.5943,0.0842,0.5136,0.8097,-1.7564,1.1011,1.3109,4.9263,5.2641
100,0.110000,0.0079,0.8895,-0.0833,0.9336,0.0925,0.5890,0.0438,0.6109,0.8443,-2.3339,1.2452,1.4180,4.5748,4.9500
125,0.110000,-0.0152,0.8341,-0.0996,0.9320,0.0426,0.5677,0.0051,0.6798,0.8618,-2.7489,1.5383,1.5259,4.2256,4.6542
150,0.110000,-0.0165,0.7884,-0.1000,0.9000,0.0442,0.5573,0.0040,0.6749,0.8673,-2.6608,1.6318,1.5617,3.9029,4.3647
175,0.110000,-0.0017,0.7542,-0.1028,0.8528,0.0491,0.5581,0.0074,0.6239,0.8806,-2.0825,1.3169,1.5717,3.6324,4.1120
200,0.110000,0.0361,0.7293,-0.0760,0.8106,0.0426,0.5512,0.0186,0.6121,0.8992,-1.6166,1.3616,1.6157,3.4262,3.9288
225,0.110000,0.0426,0.7079,-0.0409,0.8016,0.0222,0.5519,0.0163,0.6477,0.9407,-1.9888,1.6137,1.7019,3.2406,3.7715
250,0.110000,0.0179,0.6796,0.0092,0.7883,0.0279,0.5489,0.0186,0.6563,0.9630,-2.3320,1.7263,1.7488,3.0457,3.6015
275,0.110000,-0.0414,0.6601,-0.0050,0.7689,0.0143,0.5420,-0.0169,0.6160,0.9824,-2.2761,1.3143,1.7619,2.8612,3.4260
300,0.110000,-0.0887,0.6502,-0.0484,0.7492,-0.0127,0.5420,-0.0534,0.5688,1.0126,-2.1207,1.5317,1.7824,2.6865,3.2627
325,0.110000,-0.1282,0.6474,-0.0909,0.7402,-0.0485,0.5488,-0.0820,0.5239,1.0272,-1.9170,1.5871,1.7761,2.5524,3.1308
350,0.110000,-0.1116,0.6691,-0.1113,0.7313,-0.0561,0.5560,-0.0814,0.4765,1.0462,-1.6006,1.6573,1.7692,2.3963,2.9701
375,0.110000,-0.1088,0.6619,-0.1219,0.7273,-0.0651,0.5617,-0.0811,0.4662,1.0660,-1.3694,1.8371,1.7935,2.2987,2.8924
400,0.110000,-0.1130,0.6643,-0.1157,0.7216,-0.0613,0.5680,-0.0770,0.4299,1.0760,-1.3213,1.7765,1.7910,2.1862,2.7802
