epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,87.69,164.37,252.06,1,23.019699,12.4795
2,120.94,0.00,120.94,0,19.179781,
3,69.02,0.00,69.02,0,16.304123,
4,136.57,0.00,136.57,0,15.179070,
5,132.80,0.00,132.80,0,15.088986,
6,89.23,0.00,89.23,0,14.747073,
7,106.93,0.00,106.93,0,14.330319,
8,129.18,0.00,129.18,0,14.483709,
9,114.40,0.00,114.40,0,14.079091,
10,66.91,0.00,66.91,0,14.200204,
11,138.49,0.00,138.49,0,14.540123,
12,131.51,0.00,131.51,0,14.567161,
13,88.58,0.00,88.58,0,14.114396,
14,103.45,0.00,103.45,0,13.846741,
15,132.19,0.00,132.19,0,13.769735,
16,114.39,0.00,114.39,0,13.288428,
17,69.72,0.00,69.72,0,13.392031,
18,142.68,0.00,142.68,0,13.065632,
19,130.95,0.00,130.95,0,13.062768,
20,86.34,0.00,86.34,0,12.850163,
21,163.24,0.00,163.24,0,12.959051,
22,165.66,0.00,165.66,0,12.685919,
23,102.94,0.00,102.94,0,12.414173,
24,181.32,0.00,181.32,0,12.287922,
25,147.64,113.40,261.04,1,12.397937,6.9451
26,181.51,0.00,181.51,0,12.400466,
27,116.03,0.00,116.03,0,12.053581,
28,157.10,0.00,157.10,0,11.698950,
29,170.92,0.00,170.92,0,11.787886,
30,106.09,0.00,106.09,0,11.765902,
31,180.51,0.00,180.51,0,11.539472,
32,138.96,0.00,138.96,0,11.409467,
33,125.99,0.00,125.99,0,11.399377,
34,172.56,0.00,172.56,0,11.514780,
35,121.32,0.00,121.32,0,10.962388,
36,150.67,0.00,150.67,0,11.240687,
37,164.10,0.00,164.10,0,11.050734,
38,103.28,0.00,103.28,0,11.178914,
39,171.09,0.00,171.09,0,11.154559,
40,155.24,0.00,155.24,0,10.818833,
41,103.25,0.00,103.25,0,10.706115,
42,167.77,0.00,167.77,0,10.909283,
43,144.62,0.00,144.62,0,10.786771,
44,122.55,0.00,122.55,0,10.877179,
45,164.93,0.00,164.93,0,10.353668,
46,130.29,0.00,130.29,0,10.565681,
47,134.00,0.00,134.00,0,10.057899,
48,165.83,0.00,165.83,0,10.612189,
49,112.14,0.00,112.14,0,10.276693,
50,159.45,152.85,312.31,1,10.530066,5.7095
51,116.91,0.00,116.91,0,9.886224,
52,188.71,0.00,188.71,0,10.238373,
51,141.36,0.00,141.36,0,10.259467,
52,134.67,0.00,134.67,0,10.485056,
51,131.79,0.00,131.79,0,10.292472,
52,82.02,0.00,82.02,0,10.102427,
53,89.15,0.00,89.15,0,9.924073,
53,146.32,0.00,146.32,0,10.417506,
54,156.36,0.00,156.36,0,10.408057,
54,143.01,0.00,143.01,0,10.667218,
55,144.53,0.00,144.53,0,10.472922,
55,82.11,0.00,82.11,0,10.390878,
56,79.42,0.00,79.42,0,10.249815,
56,137.61,0.00,137.61,0,10.359816,
57,156.81,0.00,156.81,0,9.976657,
57,142.69,0.00,142.69,0,10.159658,
58,144.14,0.00,144.14,0,10.128873,
58,99.17,0.00,99.17,0,9.799320,
59,88.28,0.00,88.28,0,10.251547,
59,117.48,0.00,117.48,0,9.984953,
60,146.44,0.00,146.44,0,9.882331,
60,158.68,0.00,158.68,0,10.047887,
61,163.33,0.00,163.33,0,9.989751,
61,110.94,0.00,110.94,0,9.741699,
62,88.75,0.00,88.75,0,9.913758,
62,111.59,0.00,111.59,0,9.858541,
63,147.23,0.00,147.23,0,9.954485,
63,146.50,0.00,146.50,0,9.687442,
64,148.48,0.00,148.48,0,9.630224,
64,121.79,0.00,121.79,0,9.446315,
65,94.19,0.00,94.19,0,9.528925,
65,86.37,0.00,86.37,0,9.553928,
66,142.70,0.00,142.70,0,9.889086,
66,151.39,0.00,151.39,0,9.853710,
67,150.23,0.00,150.23,0,9.823590,
67,136.65,0.00,136.65,0,9.335464,
68,104.63,0.00,104.63,0,9.467924,
68,83.27,0.00,83.27,0,9.829976,
69,127.57,0.00,127.57,0,9.453070,
69,136.11,0.00,136.11,0,9.578921,
70,152.09,0.00,152.09,0,9.782162,
70,139.14,0.00,139.14,0,9.458333,
71,121.04,0.00,121.04,0,9.633655,
71,111.64,0.00,111.64,0,9.612468,
72,103.23,0.00,103.23,0,9.428550,
72,109.80,0.00,109.80,0,9.788391,
73,139.52,0.00,139.52,0,9.514894,
73,148.34,0.00,148.34,0,9.535945,
74,137.26,0.00,137.26,0,9.428960,
74,137.78,0.00,137.78,0,9.277880,
75,75.06,147.50,222.56,1,9.239137,5.2712
75,96.68,155.64,252.31,1,9.237401,5.2641
76,151.00,0.00,151.00,0,9.445967,
76,139.64,0.00,139.64,0,9.196774,
77,85.89,0.00,85.89,0,9.489284,
77,80.25,0.00,80.25,0,9.369424,
78,123.00,0.00,123.00,0,9.341533,
78,155.71,0.00,155.71,0,9.260153,
79,145.42,0.00,145.42,0,9.717596,
79,151.05,0.00,151.05,0,9.140521,
80,107.94,0.00,107.94,0,9.332007,
80,79.97,0.00,79.97,0,9.298412,
81,106.84,0.00,106.84,0,9.185370,
81,151.89,0.00,151.89,0,9.352479,
82,158.71,0.00,158.71,0,9.576549,
82,148.17,0.00,148.17,0,9.288404,
83,123.24,0.00,123.24,0,9.274763,
83,95.77,0.00,95.77,0,9.334637,
84,93.08,0.00,93.08,0,9.593544,
84,141.37,0.00,141.37,0,9.120469,
85,153.93,0.00,153.93,0,9.356990,
85,155.57,0.00,155.57,0,9.146045,
86,142.86,0.00,142.86,0,9.147390,
86,98.82,0.00,98.82,0,9.056100,
87,74.19,0.00,74.19,0,9.138082,
87,136.54,0.00,136.54,0,9.090915,
88,148.70,0.00,148.70,0,9.341925,
88,148.86,0.00,148.86,0,9.161176,
89,139.68,0.00,139.68,0,9.422012,
89,105.41,0.00,105.41,0,9.225938,
90,87.66,0.00,87.66,0,9.122880,
90,135.20,0.00,135.20,0,9.387800,
91,132.20,0.00,132.20,0,9.337343,
92,139.85,0.00,139.85,0,9.063683,
91,146.59,0.00,146.59,0,9.171112,
93,106.42,0.00,106.42,0,8.991671,
92,109.76,0.00,109.76,0,9.201313,
94,107.16,0.00,107.16,0,8.971146,
93,125.69,0.00,125.69,0,9.322221,
95,152.20,0.00,152.20,0,8.965593,
94,157.78,0.00,157.78,0,9.195305,
96,121.83,0.00,121.83,0,9.227853,
95,112.40,0.00,112.40,0,8.880372,
97,91.19,0.00,91.19,0,9.021411,
96,124.53,0.00,124.53,0,9.094955,
98,149.17,0.00,149.17,0,8.849938,
99,118.74,0.00,118.74,0,9.024185,
100,83.16,110.56,193.72,1,9.282576,4.9500
101,123.81,0.00,123.81,0,8.956172,
102,96.83,0.00,96.83,0,8.839273,
103,95.40,0.00,95.40,0,8.838621,
104,123.00,0.00,123.00,0,8.973125,
105,122.31,0.00,122.31,0,8.705644,
106,80.73,0.00,80.73,0,8.832269,
107,114.57,0.00,114.57,0,8.960138,
108,122.90,0.00,122.90,0,8.996675,
109,113.95,0.00,113.95,0,8.949608,
110,72.92,0.00,72.92,0,8.702562,
111,127.72,0.00,127.72,0,8.822541,
112,127.32,0.00,127.32,0,8.515509,
113,100.39,0.00,100.39,0,9.000686,
114,101.35,0.00,101.36,0,8.642601,
115,132.39,0.00,132.39,0,8.701721,
116,132.38,0.00,132.38,0,8.811522,
117,87.40,0.00,87.40,0,8.912643,
118,205.82,0.00,205.82,0,8.725233,
119,163.79,0.00,163.79,0,8.655011,
120,128.90,0.00,128.90,0,8.406333,
121,104.78,0.00,104.78,0,8.444252,
122,130.59,0.00,130.59,0,8.487621,
123,119.94,0.00,119.94,0,8.789937,
124,73.80,0.00,73.80,0,8.564492,
125,127.78,108.99,236.77,1,8.479981,4.6542
126,106.07,0.00,106.07,0,8.393904,
127,84.39,0.00,84.39,0,8.747851,
128,124.05,0.00,124.05,0,8.624772,
129,123.16,0.00,123.16,0,8.311358,
130,93.11,0.00,93.11,0,8.235761,
131,85.03,0.00,85.03,0,8.355621,
132,132.99,0.00,132.99,0,8.287585,
133,120.50,0.00,120.50,0,8.531134,
134,86.15,0.00,86.15,0,8.612641,
135,111.61,0.00,111.61,0,8.403625,
136,121.97,0.00,121.97,0,8.336056,
137,111.07,0.00,111.07,0,8.465310,
138,82.48,0.00,82.48,0,8.228712,
139,128.97,0.00,128.97,0,8.381608,
140,119.82,0.00,119.82,0,8.171946,
141,79.79,0.00,79.79,0,8.271963,
142,79.97,0.00,79.97,0,8.399781,
143,71.54,0.00,71.54,0,8.043230,
144,70.36,0.00,70.36,0,8.189673,
145,71.13,0.00,71.13,0,8.239532,
146,70.70,0.00,70.70,0,8.090886,
147,71.21,0.00,71.21,0,8.179134,
148,71.32,0.00,71.32,0,8.233056,
149,70.85,0.00,70.85,0,8.238127,
150,70.08,54.15,124.23,1,7.950274,4.3647
151,71.41,0.00,71.41,0,7.958064,
152,70.02,0.00,70.02,0,8.068954,
153,70.57,0.00,70.57,0,8.096536,
154,71.22,0.00,71.22,0,8.090082,
155,71.21,0.00,71.21,0,8.284534,
156,70.15,0.00,70.15,0,7.919113,
157,71.09,0.00,71.09,0,8.310332,
158,74.58,0.00,74.58,0,8.210271,
159,72.74,0.00,72.74,0,8.467755,
160,71.31,0.00,71.31,0,8.154495,
161,71.19,0.00,71.19,0,8.137670,
162,71.57,0.00,71.57,0,8.015813,
163,71.83,0.00,71.83,0,8.269061,
164,72.08,0.00,72.08,0,8.024539,
165,70.41,0.00,70.41,0,7.896618,
166,71.65,0.00,71.65,0,8.264523,
167,70.81,0.00,70.81,0,8.159532,
168,71.59,0.00,71.59,0,7.963351,
169,71.60,0.00,71.60,0,7.933260,
170,71.03,0.00,71.03,0,7.832318,
171,71.19,0.00,71.19,0,7.860252,
172,71.46,0.00,71.46,0,7.736287,
173,71.51,0.00,71.51,0,7.951781,
174,71.03,0.00,71.03,0,7.983479,
175,71.33,52.82,124.16,1,7.995399,4.1120
176,70.74,0.00,70.74,0,7.676327,
177,70.65,0.00,70.65,0,7.842605,
178,68.44,0.00,68.44,0,7.837488,
179,68.69,0.00,68.69,0,7.859489,
180,69.04,0.00,69.04,0,7.993591,
181,68.70,0.00,68.70,0,7.685664,
182,68.68,0.00,68.68,0,7.670598,
183,68.02,0.00,68.02,0,7.513749,
184,68.15,0.00,68.15,0,7.758574,
185,68.17,0.00,68.17,0,7.763676,
186,68.27,0.00,68.27,0,7.603746,
187,68.51,0.00,68.51,0,7.865577,
188,70.18,0.00,70.18,0,8.201707,
189,68.54,0.00,68.54,0,7.705988,
190,68.16,0.00,68.16,0,7.712147,
191,68.15,0.00,68.15,0,7.673861,
192,68.45,0.00,68.45,0,7.814273,
193,68.82,0.00,68.82,0,7.683076,
194,68.07,0.00,68.07,0,7.523177,
195,68.35,0.00,68.35,0,7.589155,
196,68.94,0.00,68.94,0,7.643969,
197,69.50,0.00,69.50,0,7.709311,
198,68.90,0.00,68.90,0,7.612495,
199,70.71,0.00,70.71,0,7.467382,
200,69.30,51.33,120.63,1,7.666745,3.9288
201,68.51,0.00,68.51,0,7.637966,
202,69.45,0.00,69.45,0,7.792422,
203,68.61,0.00,68.61,0,7.609574,
204,68.18,0.00,68.18,0,7.508324,
205,69.29,0.00,69.29,0,7.782025,
206,69.20,0.00,69.20,0,7.869384,
207,71.34,0.00,71.34,0,7.695592,
208,69.22,0.00,69.22,0,7.309412,
209,68.18,0.00,68.18,0,7.446070,
210,70.40,0.00,70.40,0,7.473224,
211,70.91,0.00,70.91,0,7.755570,
212,69.19,0.00,69.19,0,7.619539,
213,70.94,0.00,70.94,0,7.508014,
214,69.27,0.00,69.27,0,7.538958,
215,68.28,0.00,68.28,0,7.437304,
216,68.70,0.00,68.70,0,7.342427,
217,68.94,0.00,68.94,0,7.387283,
218,68.50,0.00,68.50,0,7.493834,
219,69.15,0.00,69.15,0,7.514932,
220,69.16,0.00,69.16,0,7.645176,
221,68.76,0.00,68.76,0,7.419212,
222,69.58,0.00,69.58,0,7.614807,
223,68.29,0.00,68.29,0,7.358867,
224,68.50,0.00,68.50,0,7.362184,
225,68.75,50.50,119.24,1,7.482846,3.7715
226,69.10,0.00,69.10,0,7.616318,
227,68.33,0.00,68.33,0,7.182082,
228,67.99,0.00,67.99,0,7.339504,
229,68.60,0.00,68.60,0,7.476297,
230,68.53,0.00,68.53,0,7.274605,
231,67.51,0.00,67.51,0,7.111681,
232,69.10,0.00,69.10,0,7.378835,
233,68.79,0.00,68.79,0,7.434139,
234,68.02,0.00,68.02,0,7.288733,
235,68.93,0.00,68.93,0,7.557996,
236,67.45,0.00,67.45,0,6.918552,
237,68.98,0.00,68.98,0,7.366666,
238,68.73,0.00,68.73,0,7.260171,
239,69.62,0.00,69.62,0,7.218994,
240,68.25,0.00,68.25,0,7.336966,
241,69.23,0.00,69.23,0,7.439678,
242,68.88,0.00,68.88,0,7.218863,
243,68.42,0.00,68.42,0,7.277737,
244,69.30,0.00,69.30,0,7.188147,
245,68.64,0.00,68.64,0,7.253312,
246,68.41,0.00,68.41,0,7.209867,
247,68.68,0.00,68.68,0,7.227764,
248,69.18,0.00,69.18,0,7.208824,
249,68.49,0.00,68.49,0,7.027967,
250,68.68,51.63,120.31,1,7.334380,3.6015
251,67.75,0.00,67.75,0,7.189434,
252,67.96,0.00,67.96,0,7.004050,
253,68.79,0.00,68.79,0,7.147961,
254,68.59,0.00,68.59,0,7.225091,
255,68.06,0.00,68.06,0,6.949288,
256,68.55,0.00,68.55,0,7.138566,
257,69.18,0.00,69.18,0,7.195929,
258,67.55,0.00,67.55,0,6.810939,
259,68.30,0.00,68.30,0,7.156292,
260,68.64,0.00,68.64,0,7.078750,
261,69.06,0.00,69.06,0,7.117356,
262,68.29,0.00,68.29,0,7.076170,
263,68.75,0.00,68.75,0,7.079124,
264,68.38,0.00,68.38,0,7.116419,
265,69.07,0.00,69.07,0,7.245152,
266,69.01,0.00,69.01,0,7.229491,
267,69.16,0.00,69.16,0,7.054564,
268,68.23,0.00,68.23,0,7.039438,
269,69.57,0.00,69.57,0,7.511958,
270,68.77,0.00,68.77,0,7.108129,
271,68.76,0.00,68.76,0,7.005917,
272,68.91,0.00,68.91,0,7.274167,
273,69.21,0.00,69.21,0,7.119268,
274,68.50,0.00,68.50,0,7.020749,
275,69.92,50.73,120.65,1,7.141579,3.4260
276,68.53,0.00,68.53,0,7.071267,
277,68.71,0.00,68.71,0,7.023388,
278,69.06,0.00,69.06,0,7.275407,
279,68.19,0.00,68.19,0,6.878316,
280,69.48,0.00,69.48,0,6.930190,
281,68.86,0.00,68.86,0,7.004291,
282,68.45,0.00,68.45,0,6.857361,
283,69.81,0.00,69.81,0,7.156717,
284,69.24,0.00,69.24,0,7.096490,
285,68.93,0.00,68.93,0,7.235398,
286,68.71,0.00,68.71,0,6.956223,
287,66.62,0.00,66.62,0,6.452861,
288,68.56,0.00,68.56,0,6.864181,
289,67.97,0.00,67.97,0,6.654235,
290,68.43,0.00,68.43,0,6.871825,
291,69.29,0.00,69.29,0,6.919163,
292,68.34,0.00,68.34,0,6.798265,
293,69.70,0.00,69.70,0,7.094268,
294,68.82,0.00,68.82,0,6.823244,
295,68.47,0.00,68.47,0,6.845643,
296,68.13,0.00,68.13,0,6.723766,
297,69.02,0.00,69.02,0,7.024055,
298,68.05,0.00,68.05,0,6.684162,
299,68.44,0.00,68.44,0,6.785407,
300,68.30,51.37,119.68,1,6.826939,3.2627
301,68.71,0.00,68.71,0,6.788532,
302,68.18,0.00,68.18,0,6.794659,
303,68.14,0.00,68.14,0,6.732030,
304,69.40,0.00,69.40,0,7.047233,
305,68.92,0.00,68.92,0,6.873890,
306,69.31,0.00,69.31,0,6.786113,
307,69.49,0.00,69.49,0,6.963124,
308,69.48,0.00,69.48,0,7.207067,
309,68.51,0.00,68.51,0,6.719542,
310,69.78,0.00,69.78,0,6.976030,
311,68.49,0.00,68.49,0,6.791032,
312,68.33,0.00,68.33,0,6.703490,
313,68.05,0.00,68.05,0,6.633826,
314,68.17,0.00,68.17,0,6.659982,
315,69.27,0.00,69.27,0,6.746941,
316,68.28,0.00,68.28,0,6.732874,
317,67.75,0.00,67.75,0,6.554092,
318,69.15,0.00,69.15,0,6.890341,
319,69.38,0.00,69.38,0,6.800717,
320,68.25,0.00,68.25,0,6.606610,
321,70.20,0.00,70.20,0,6.696249,
322,68.34,0.00,68.34,0,6.673079,
323,68.10,0.00,68.10,0,6.602598,
324,68.66,0.00,68.66,0,6.585186,
325,68.32,49.89,118.21,1,6.497182,3.1308
326,69.06,0.00,69.06,0,6.811466,
327,68.44,0.00,68.44,0,6.631214,
328,68.88,0.00,68.88,0,6.510283,
329,122.02,0.00,122.02,0,6.344301,
330,121.41,0.00,121.41,0,6.596854,
331,98.62,0.00,98.62,0,6.674065,
332,85.25,0.00,85.25,0,6.589424,
333,130.14,0.00,130.14,0,6.633110,
334,118.71,0.00,118.71,0,6.580101,
335,81.25,0.00,81.25,0,6.438214,
336,104.17,0.00,104.17,0,6.789596,
337,124.08,0.00,124.08,0,6.467569,
338,116.92,0.00,116.92,0,6.607460,
339,69.79,0.00,69.79,0,6.521137,
340,128.87,0.00,128.87,0,6.512521,
341,118.04,0.00,118.04,0,6.618246,
342,92.85,0.00,92.85,0,6.529848,
343,95.77,0.00,95.77,0,6.368725,
344,121.94,0.00,121.94,0,6.380670,
345,122.16,0.00,122.16,0,6.360197,
346,73.61,0.00,73.61,0,6.459989,
347,126.42,0.00,126.42,0,6.565379,
348,121.25,0.00,121.25,0,6.555285,
349,97.65,0.00,97.65,0,6.694738,
350,84.26,114.06,198.33,1,6.537610,2.9701
351,117.82,0.00,117.82,0,6.603537,
352,75.25,0.00,75.25,0,6.636398,
353,114.78,0.00,114.79,0,6.251601,
354,120.69,0.00,120.69,0,6.439642,
355,105.89,0.00,105.89,0,6.629784,
356,81.29,0.00,81.29,0,6.484000,
357,129.59,0.00,129.59,0,6.506748,
358,118.95,0.00,118.95,0,6.356485,
359,84.44,0.00,84.44,0,6.655903,
360,119.58,0.00,119.58,0,6.299089,
361,136.26,0.00,136.26,0,6.600462,
362,109.38,0.00,109.38,0,6.124747,
363,85.99,0.00,85.99,0,6.397236,
364,175.87,0.00,175.88,0,6.452666,
365,194.44,0.00,194.44,0,6.552614,
366,95.60,0.00,95.60,0,6.190388,
367,181.27,0.00,181.27,0,6.153631,
368,192.84,0.00,192.84,0,6.379802,
369,99.02,0.00,99.02,0,6.261479,
370,86.23,0.00,86.23,0,6.256351,
371,126.05,0.00,126.05,0,6.546985,
372,123.11,0.00,123.11,0,6.478448,
373,82.91,0.00,82.91,0,6.717780,
374,116.20,0.00,116.20,0,6.476438,
375,121.47,96.83,218.31,1,6.160677,2.8924
376,72.47,0.00,72.47,0,6.371316,
377,124.67,0.00,124.67,0,6.048326,
378,140.38,0.00,140.38,0,6.121458,
379,95.38,0.00,95.38,0,6.536330,
380,97.62,0.00,97.62,0,6.212236,
381,122.01,0.00,122.01,0,6.030733,
382,125.33,0.00,125.33,0,6.407917,
383,78.39,0.00,78.39,0,6.556877,
384,122.91,0.00,122.91,0,6.262538,
385,134.76,0.00,134.76,0,6.448690,
386,109.65,0.00,109.65,0,6.212280,
387,122.58,0.00,122.58,0,6.300519,
388,209.14,0.00,209.14,0,6.197565,
389,210.91,0.00,210.91,0,6.275272,
390,84.13,0.00,84.13,0,6.328694,
391,125.73,0.00,125.73,0,6.260638,
392,123.99,0.00,123.99,0,6.298555,
393,106.69,0.00,106.69,0,6.193424,
394,145.93,0.00,145.93,0,6.115682,
395,187.32,0.00,187.32,0,6.259655,
396,128.47,0.00,128.47,0,6.145626,
397,75.97,0.00,75.97,0,6.257182,
398,196.54,0.00,196.54,0,6.079199,
399,208.83,0.00,208.83,0,6.164048,
400,151.06,130.47,281.53,1,6.330022,2.7802
