#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-07-08 16:53:49;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;1.07874e-01;4.12347e-03;-1.07796e-01
1.10000e+06;9.53721e-02;4.15497e-03;-9.52815e-02
1.20000e+06;8.47198e-02;4.18563e-03;-8.46163e-02
1.30000e+06;7.54902e-02;4.21565e-03;-7.53724e-02
1.40000e+06;6.73783e-02;4.24519e-03;-6.72444e-02
1.50000e+06;6.01602e-02;4.27443e-03;-6.00081e-02
1.60000e+06;5.36682e-02;4.30351e-03;-5.34954e-02
1.70000e+06;4.77742e-02;4.33260e-03;-4.75774e-02
1.80000e+06;4.23789e-02;4.36184e-03;-4.21538e-02
1.90000e+06;3.74042e-02;4.39141e-03;-3.71456e-02
2.00000e+06;3.27884e-02;4.42145e-03;-3.24890e-02
2.10000e+06;2.84826e-02;4.45215e-03;-2.81325e-02
2.20000e+06;2.44484e-02;4.48369e-03;-2.40338e-02
2.30000e+06;2.06575e-02;4.51629e-03;-2.01577e-02
2.40000e+06;1.70918e-02;4.55017e-03;-1.64750e-02
2.50000e+06;1.37479e-02;4.58558e-03;-1.29606e-02
2.60000e+06;1.06491e-02;4.62280e-03;-9.59340e-03
2.70000e+06;7.88183e-03;4.66217e-03;-6.35512e-03
2.80000e+06;5.70615e-03;4.70403e-03;-3.22990e-03
2.90000e+06;4.75319e-03;4.74881e-03;-2.03856e-04
3.00000e+06;5.52204e-03;4.79699e-03;2.73529e-03
3.10000e+06;7.40656e-03;4.84912e-03;5.59850e-03
3.20000e+06;9.72389e-03;4.90584e-03;8.39564e-03
3.30000e+06;1.21936e-02;4.96791e-03;1.11357e-02
3.40000e+06;1.47157e-02;5.03621e-03;1.38271e-02
3.50000e+06;1.72521e-02;5.11179e-03;1.64774e-02
