epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,-0.1577,0.9076,-0.0738,0.9747,-0.0615,0.9706,-0.0704,0.4766,0.4187,-1.3078,1.4926,0.6058,11.1634,11.1887
25,0.048000,-0.0256,1.0243,0.0231,1.0659,-0.0278,0.6492,-0.0250,0.3641,0.6747,-1.0929,0.8772,0.8894,7.1772,7.2863
50,0.098000,0.0304,1.0054,0.0843,1.1611,0.0042,0.5915,0.0283,0.2815,0.7954,-0.7695,0.9077,1.0511,6.1446,6.3490
75,0.110000,-0.0025,0.9527,0.1253,1.1704,0.0056,0.5444,0.0208,0.3214,0.8474,-0.8701,0.8507,1.1916,5.7514,6.0181
100,0.110000,-0.0199,0.9048,0.1246,1.1450,-0.0109,0.5181,-0.0101,0.3378,0.8738,-0.9228,1.0423,1.2777,5.4347,5.7379
125,0.110000,-0.0114,0.8660,0.0906,1.0438,-0.0288,0.4983,-0.0244,0.3720,0.9030,-1.1749,1.3435,1.3731,5.0704,5.4176
150,0.110000,-0.0170,0.7931,0.0868,0.9484,-0.0193,0.4841,-0.0255,0.4259,0.9225,-1.3988,1.3096,1.4723,4.7560,5.1599
175,0.110000,-0.0050,0.7605,0.0967,0.8548,0.0012,0.4722,-0.0077,0.4332,0.9446,-1.4052,0.9728,1.5411,4.4194,4.8634
200,0.110000,0.0409,0.7363,0.0764,0.7787,0.0370,0.4646,0.0217,0.4667,0.9685,-1.1919,1.1287,1.6201,4.1115,4.5971
225,0.110000,0.0772,0.6928,0.0615,0.7061,0.0667,0.4641,0.0426,0.4787,0.9810,-1.0174,1.1685,1.6679,3.8218,4.3394
250,0.110000,0.1139,0.6719,0.0609,0.6540,0.1033,0.4578,0.0695,0.4977,1.0019,-1.2134,1.2992,1.7307,3.5598,4.1051
275,0.110000,0.1279,0.6458,0.0587,0.6157,0.1336,0.4564,0.0871,0.5194,1.0244,-1.5591,1.3735,1.7918,3.3146,3.8873
300,0.110000,0.1213,0.6262,0.0561,0.5865,0.1417,0.4477,0.0821,0.5607,1.0554,-1.7619,1.4968,1.8792,3.0501,3.6605
325,0.110000,0.1136,0.5958,0.0613,0.5616,0.1455,0.4463,0.0771,0.5848,1.0724,-1.8452,1.5566,1.9299,2.8617,3.4974
350,0.110000,0.0842,0.5831,0.0562,0.5431,0.1419,0.4484,0.0593,0.5947,1.0921,-1.8273,1.3602,1.9749,2.6509,3.3035
375,0.110000,0.0944,0.5638,0.0574,0.5346,0.1363,0.4401,0.0524,0.6035,1.1182,-1.7164,1.2167,2.0308,2.5021,3.1852
400,0.110000,0.0893,0.5512,0.0556,0.5226,0.1222,0.4442,0.0387,0.6110,1.1298,-1.5457,1.1038,2.0564,2.3620,3.0599
