epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,70.63,42.75,113.38,1,21.705416,11.1887
2,66.58,0.00,66.58,0,18.228962,
3,60.75,0.00,60.75,0,15.081203,
4,62.37,0.00,62.37,0,14.161971,
5,45.21,0.00,45.21,0,14.131984,
6,43.98,0.00,43.98,0,13.977859,
7,63.33,0.00,63.33,0,13.966471,
8,61.52,0.00,61.52,0,14.113119,
9,60.93,0.00,60.93,0,14.116529,
10,58.85,0.00,58.85,0,14.180085,
11,57.27,0.00,57.27,0,13.696439,
12,56.96,0.00,56.96,0,13.859421,
13,43.17,0.00,43.17,0,13.270589,
14,43.26,0.00,43.26,0,13.320752,
15,42.03,0.00,42.03,0,13.060450,
16,43.07,0.00,43.07,0,13.126105,
17,42.39,0.00,42.39,0,12.753255,
18,43.55,0.00,43.55,0,12.863807,
19,59.09,0.00,59.09,0,12.801901,
20,58.99,0.00,58.99,0,12.271286,
21,83.40,0.00,83.40,0,12.553816,
22,82.59,0.00,82.59,0,12.673373,
23,75.24,0.00,75.24,0,12.244239,
24,62.80,0.00,62.80,0,12.607827,
25,84.83,39.54,124.37,1,12.103248,7.2863
26,83.52,0.00,83.52,0,12.167474,
27,83.45,0.00,83.45,0,12.294229,
28,77.02,0.00,77.02,0,11.755557,
29,61.73,0.00,61.73,0,11.831744,
30,78.57,0.00,78.57,0,12.069075,
31,79.98,0.00,79.98,0,12.076882,
32,84.21,0.00,84.21,0,11.503881,
33,84.28,0.00,84.28,0,11.753328,
34,71.21,0.00,71.21,0,11.651423,
35,64.41,0.00,64.41,0,11.221071,
36,87.03,0.00,87.03,0,11.471742,
37,81.05,0.00,81.05,0,11.200789,
38,80.49,0.00,80.49,0,11.491098,
39,80.05,0.00,80.05,0,11.083160,
40,63.77,0.00,63.77,0,11.257585,
41,70.80,0.00,70.80,0,11.124804,
42,82.30,0.00,82.30,0,10.823556,
43,78.88,0.00,78.88,0,10.666848,
44,67.99,0.00,67.99,0,10.872563,
45,59.94,0.00,59.94,0,10.815948,
46,59.10,0.00,59.10,0,10.654811,
47,59.89,0.00,59.89,0,11.008574,
48,60.12,0.00,60.12,0,10.661023,
49,60.23,0.00,60.23,0,10.766881,
50,59.52,27.71,87.23,1,10.580532,6.3490
51,60.74,0.00,60.74,0,10.708674,
52,58.83,0.00,58.83,0,10.261221,
53,60.00,0.00,60.00,0,10.572250,
54,59.99,0.00,59.99,0,10.598944,
55,59.98,0.00,59.98,0,10.349052,
56,59.55,0.00,59.55,0,10.350434,
57,59.95,0.00,59.95,0,10.398676,
58,59.22,0.00,59.22,0,10.156631,
59,59.75,0.00,59.75,0,10.309242,
60,60.21,0.00,60.21,0,10.272050,
61,61.15,0.00,61.15,0,10.311421,
62,60.39,0.00,60.39,0,10.000303,
63,60.73,0.00,60.73,0,10.182070,
64,60.98,0.00,60.98,0,10.190972,
65,62.50,0.00,62.50,0,10.395027,
66,61.13,0.00,61.13,0,10.422096,
67,60.79,0.00,60.79,0,10.238257,
68,60.95,0.00,60.95,0,10.008458,
69,61.56,0.00,61.56,0,9.926067,
70,62.31,0.00,62.31,0,10.373838,
71,62.56,0.00,62.56,0,10.141241,
72,62.66,0.00,62.66,0,10.197498,
73,62.02,0.00,62.02,0,10.000304,
74,61.76,0.00,61.76,0,10.278757,
75,59.94,27.06,87.00,1,9.685744,6.0181
76,61.79,0.00,61.79,0,10.223271,
77,61.27,0.00,61.27,0,9.901938,
78,61.82,0.00,61.82,0,9.976752,
79,62.26,0.00,62.27,0,10.081635,
80,61.73,0.00,61.73,0,9.806954,
81,61.47,0.00,61.47,0,9.869895,
82,62.41,0.00,62.41,0,10.106147,
83,61.18,0.00,61.18,0,9.771244,
84,61.29,0.00,61.29,0,9.632830,
85,61.53,0.00,61.53,0,9.698203,
86,61.81,0.00,61.81,0,9.848699,
87,61.67,0.00,61.67,0,9.553062,
88,61.37,0.00,61.37,0,9.713350,
89,61.74,0.00,61.74,0,9.669049,
90,62.47,0.00,62.47,0,10.013206,
91,62.42,0.00,62.42,0,9.633569,
92,61.70,0.00,61.70,0,9.503615,
