epoch,train_heatmap_loss,train_tier_a,train_peak_log1p,train_valley_log1p,val_heatmap_loss,val_tier_a,val_peak_log1p,val_valley_log1p
1,2.1820037364959717,2.1820037364959717,0.0,0.0,1.1127539989796091,1.1127539989796091,0.0,0.0
25,0.6095733642578125,0.6095733642578125,0.0,0.0,0.08093912290765884,0.08093912290765884,0.0,0.0
50,0.5505407452583313,0.5505407452583313,0.0,0.0,0.046665575783303444,0.046665575783303444,0.0,0.0
75,0.4574916660785675,0.4574916660785675,0.0,0.0,0.03381165381758771,0.03381165381758771,0.0,0.0
100,0.5450302958488464,0.5450302958488464,0.0,0.0,0.03294973465356421,0.03294973465356421,0.0,0.0
125,0.5181084275245667,0.5181084275245667,0.0,0.0,0.027118726288701624,0.027118726288701624,0.0,0.0
150,0.49189141392707825,0.49189141392707825,0.0,0.0,0.021758450734171462,0.021758450734171462,0.0,0.0
175,0.5431872010231018,0.5431872010231018,0.0,0.0,0.01902690147782894,0.01902690147782894,0.0,0.0
200,0.4487496018409729,0.4487496018409729,0.0,0.0,0.019755963632401,0.019755963632401,0.0,0.0
225,0.4108585715293884,0.4108585715293884,0.0,0.0,0.016196685633126727,0.016196685633126727,0.0,0.0
250,0.412289023399353,0.412289023399353,0.0,0.0,0.018524629626660905,0.018524629626660905,0.0,0.0
275,0.4371793568134308,0.4371793568134308,0.0,0.0,0.015601988354737454,0.015601988354737454,0.0,0.0
300,0.36112529039382935,0.36112529039382935,0.0,0.0,0.014024234337216996,0.014024234337216996,0.0,0.0
325,0.3907080888748169,0.3907080888748169,0.0,0.0,0.013336512482071176,0.013336512482071176,0.0,0.0
350,0.3854590058326721,0.3854590058326721,0.0,0.0,0.011968340780189697,0.011968340780189697,0.0,0.0
375,0.368318647146225,0.368318647146225,0.0,0.0,0.018513044120466456,0.018513044120466456,0.0,0.0
400,0.3543509840965271,0.3543509840965271,0.0,0.0,0.016947692161069273,0.016947692161069273,0.0,0.0
425,0.3478420674800873,0.3478420674800873,0.0,0.0,0.013299706938894505,0.013299706938894505,0.0,0.0
450,0.3662286102771759,0.3662286102771759,0.0,0.0,0.017453862421531626,0.017453862421531626,0.0,0.0
475,0.3505499064922333,0.3505499064922333,0.0,0.0,0.014101524801647409,0.014101524801647409,0.0,0.0
500,0.33736327290534973,0.33736327290534973,0.0,0.0,0.009746528500096595,0.009746528500096595,0.0,0.0
525,0.29881972074508667,0.29881972074508667,0.0,0.0,0.011229638188601808,0.011229638188601808,0.0,0.0
550,0.25143322348594666,0.25143322348594666,0.0,0.0,0.008356196409527292,0.008356196409527292,0.0,0.0
575,0.300632119178772,0.300632119178772,0.0,0.0,0.008135835156637303,0.008135835156637303,0.0,0.0
600,0.3402225971221924,0.3402225971221924,0.0,0.0,0.007823662160638165,0.007823662160638165,0.0,0.0
625,0.27755042910575867,0.27755042910575867,0.0,0.0,0.007466319770096464,0.007466319770096464,0.0,0.0
650,0.3385887145996094,0.3385887145996094,0.0,0.0,0.007218977884250752,0.007218977884250752,0.0,0.0
675,0.2894838750362396,0.2894838750362396,0.0,0.0,0.007523169804443704,0.007523169804443704,0.0,0.0
700,0.2807193994522095,0.2807193994522095,0.0,0.0,0.014337739296891588,0.014337739296891588,0.0,0.0
725,0.30921289324760437,0.30921289324760437,0.0,0.0,0.007454231962006777,0.007454231962006777,0.0,0.0
750,0.3229590952396393,0.3229590952396393,0.0,0.0,0.0064942065467859834,0.0064942065467859834,0.0,0.0
775,0.27869075536727905,0.27869075536727905,0.0,0.0,0.006525056202836493,0.006525056202836493,0.0,0.0
800,0.29071560502052307,0.29071560502052307,0.0,0.0,0.00921056975234062,0.00921056975234062,0.0,0.0
825,0.3194095492362976,0.3194095492362976,0.0,0.0,0.005934833705504524,0.005934833705504524,0.0,0.0
850,0.24992528557777405,0.24992528557777405,0.0,0.0,0.01039341873628028,0.01039341873628028,0.0,0.0
875,0.2171073704957962,0.2171073704957962,0.0,0.0,0.005781807946635687,0.005781807946635687,0.0,0.0
900,0.28420260548591614,0.28420260548591614,0.0,0.0,0.005917533699106029,0.005917533699106029,0.0,0.0
