epoch,train_total_loss,train_recon_loss,train_kl_loss,train_heatmap_loss,train_occupancy_loss,train_impedance_loss,val_total_loss,val_recon_loss,val_kl_loss,val_heatmap_loss,val_occupancy_loss,val_impedance_loss,val_expert_kl_loss,val_sigma_floor_loss,val_physics_ri_loss,val_physics_critic_sup_loss,val_physics_ar_loss
1,21.705415725708008,19.651805877685547,0.5221952199935913,2.1820037364959717,0.6515296697616577,1.3654522895812988,11.188730471184913,11.163439052662952,0.6058472298561258,1.1127539989796091,0.6202136904001236,0.38083812442231685,0.2419803392379842,nan,0.0,0.0,0.0
25,12.10324764251709,10.435137748718262,0.867102324962616,0.6095733642578125,0.5886847376823425,0.7670865654945374,7.2862993828793785,7.177230333774648,0.8893851272603299,0.08093912290765884,0.5836023364295351,0.4877650288825339,0.42307356874993507,nan,0.0,0.0,0.0
50,10.58053207397461,8.9892578125,0.9886600971221924,0.5505407452583313,0.5471932291984558,0.5428448915481567,6.34897995400936,6.144619941711426,1.0510834673617748,0.046665575783303444,0.5356471371777514,0.35812456049817676,0.5765801762012726,nan,0.0,0.0,0.0
75,9.685744285583496,8.16065502166748,1.1461057662963867,0.4574916660785675,0.5224743485450745,0.4758797287940979,6.018083629202335,5.751408615518123,1.1915841904092341,0.03381165381758771,0.5089144893783204,0.32268870003679967,0.6783486576790505,nan,0.0,0.0,0.0
100,9.738310813903809,8.14380931854248,1.2542121410369873,0.5450302958488464,0.5041011571884155,0.41854241490364075,5.737875611731346,5.434699277674898,1.2777180362255016,0.03294973465356421,0.4901331419640399,0.2825393038227203,0.7397945071788544,nan,0.0,0.0,0.0
125,9.319364547729492,7.72153377532959,1.3334451913833618,0.5181084275245667,0.4818614423274994,0.38354527950286865,5.417628562196772,5.070414970276204,1.373118925601878,0.027118726288701624,0.4620683720137211,0.25491728649494494,0.7976960136535319,nan,0.0,0.0,0.0
150,8.949224472045898,7.357486248016357,1.4618369340896606,0.49189141392707825,0.46125850081443787,0.3603624701499939,5.159910247680989,4.756027354585363,1.4723099607102414,0.021758450734171462,0.43305275782625724,0.2367415522007232,0.8927561775166938,nan,0.0,0.0,0.0
175,8.967049598693848,7.304416179656982,1.5088517665863037,0.5431872010231018,0.43668439984321594,0.34372714161872864,4.863421833768804,4.4194329048724885,1.5411403138586814,0.01902690147782894,0.40238010978445093,0.21978771477303607,0.9718431219141535,nan,0.0,0.0,0.0
200,8.218450546264648,6.606115341186523,1.5865199565887451,0.4487496018409729,0.404764324426651,0.3268905282020569,4.597075920916618,4.1115235835947885,1.6201393746315165,0.019755963632401,0.3683979912007109,0.20789879953607598,1.0826343779868268,nan,0.0,0.0,0.0
225,7.82079553604126,6.203729629516602,1.6353669166564941,0.4108585715293884,0.3795508146286011,0.3166138827800751,4.339409546141929,3.821802246824224,1.6679149693631112,0.016196685633126727,0.3383839580606907,0.20270949411899486,1.1990473108088717,nan,0.0,0.0,0.0
250,7.684737682342529,5.989870071411133,1.712448239326477,0.412289023399353,0.35721227526664734,0.3087390065193176,4.105072109749977,3.5598389290748758,1.7307457107178708,0.018524629626660905,0.311442665343589,0.19301046659337714,1.2984943349310691,nan,0.0,0.0,0.0
275,7.610513210296631,5.889527320861816,1.78216552734375,0.4371793568134308,0.33787673711776733,0.2989788353443146,3.887336624429581,3.314600139983157,1.7918275376583668,0.015601988354737454,0.2870327631209759,0.1863021915263318,1.4094272106251817,nan,0.0,0.0,0.0
300,7.0198655128479,5.3276872634887695,1.850231647491455,0.36112529039382935,0.3113769590854645,0.29106447100639343,3.66048975599573,3.050143617264768,1.8791843693307106,0.014024234337216996,0.2611931441312141,0.17796948685290967,1.5464547847179657,nan,0.0,0.0,0.0
325,7.062655448913574,5.2733917236328125,1.923905611038208,0.3907080888748169,0.2947312593460083,0.28373831510543823,3.4974030170034855,2.861701098401496,1.9299270665391963,0.013336512482071176,0.24318528711161716,0.17171732016066288,1.6649138136112944,nan,0.0,0.0,0.0
350,6.884626388549805,5.084265232086182,1.961962342262268,0.3854590058326721,0.276638001203537,0.27998441457748413,3.303529209786273,2.6508588019837727,1.9748816698155505,0.011968340780189697,0.21993825169319803,0.16768162669019496,1.7662217956908206,nan,0.0,0.0,0.0
375,6.722182273864746,4.850198268890381,2.0165908336639404,0.368318647146225,0.2600543200969696,0.27466967701911926,3.1851844883979634,2.5020581752695934,2.0307657409221567,0.018513044120466456,0.20281754627506784,0.16064550768821798,1.9075330115379172,nan,0.0,0.0,0.0
400,6.5003204345703125,4.637986183166504,2.0387368202209473,0.3543509840965271,0.2436692714691162,0.27072033286094666,3.059901422642647,2.362016380594132,2.0563736362660183,0.016947692161069273,0.18961371920527295,0.15990123070300893,2.005660600357867,nan,0.0,0.0,0.0
425,6.338629245758057,4.483736038208008,2.0720434188842773,0.3478420674800873,0.23085883259773254,0.26640892028808594,2.912246693956091,2.1968240682114946,2.0883649881849897,0.013299706938894505,0.1729285734448027,0.15694871354610362,2.0992088789635517,nan,0.0,0.0,0.0
450,6.287105083465576,4.427087783813477,2.0904269218444824,0.3662286102771759,0.21955667436122894,0.2588079869747162,2.8366058273518338,2.117354777772376,2.094819227178046,0.017453862421531626,0.16640315258756597,0.14905905977208564,2.200985336303711,nan,0.0,0.0,0.0
475,6.089150428771973,4.233303546905518,2.1128053665161133,0.3505499064922333,0.20720456540584564,0.25254905223846436,2.693209645595956,1.9651959543532513,2.12435743047836,0.014101524801647409,0.1521998067406264,0.14480287439011513,2.2954894228184477,nan,0.0,0.0,0.0
500,5.936862468719482,4.083044052124023,2.157411575317383,0.33736327290534973,0.1984754502773285,0.24764037132263184,2.598470910052036,1.860191719836377,2.1505826686290983,0.009746528500096595,0.14280326929973794,0.14193566118149048,2.377189317662665,nan,0.0,0.0,0.0
525,5.786806583404541,3.8361740112304688,2.1802003383636475,0.29881972074508667,0.18829013407230377,0.24692341685295105,2.525385410227674,1.7733329214948288,2.1799429629711393,0.011229638188601808,0.13492454205976523,0.13725593958763366,2.4643561860348315,nan,0.0,0.0,0.0
550,5.425711154937744,3.5377085208892822,2.2127935886383057,0.25143322348594666,0.1776413768529892,0.2429710328578949,2.4720463798401204,1.7022712819119716,2.2111470171745786,0.008356196409527292,0.12685480603274513,0.13857684639540124,2.552286917098025,nan,0.0,0.0,0.0
575,5.5890398025512695,3.6757490634918213,2.2011520862579346,0.300632119178772,0.17276203632354736,0.23833157122135162,2.3968113153538804,1.6287350659674786,2.211767319415478,0.008135835156637303,0.12091668390847267,0.13455589055380923,2.6040036800059867,nan,0.0,0.0,0.0
600,5.760066032409668,3.789872884750366,2.2130916118621826,0.3402225971221924,0.16879014670848846,0.2360019087791443,2.340059282424602,1.5752236510844941,2.2126259174752745,0.007823662160638165,0.11571929589944317,0.1313054026758417,2.6624424944532676,nan,0.0,0.0,0.0
625,5.249995708465576,3.4367289543151855,2.2183055877685547,0.27755042910575867,0.15824182331562042,0.2328331172466278,2.29040850375561,1.5130957750563925,2.227302087621486,0.007466319770096464,0.10948128395892204,0.13018046246564136,2.7324651971776435,nan,0.0,0.0,0.0
650,5.552559852600098,3.6389596462249756,2.230673313140869,0.3385887145996094,0.15617389976978302,0.22706788778305054,2.23077089989439,1.446503005890136,2.2378948992871224,0.007218977884250752,0.10355161482349355,0.1264165536520329,2.7883309465773563,nan,0.0,0.0,0.0
675,5.3962554931640625,3.3919222354888916,2.2674074172973633,0.2894838750362396,0.15092609822750092,0.2261178195476532,2.195901170690009,1.39772115159542,2.265643512441757,0.007523169804443704,0.09796692559376675,0.12595378556784162,2.859205535117616,nan,0.0,0.0,0.0
700,5.176083087921143,3.2494430541992188,2.2573838233947754,0.2807193994522095,0.13974066078662872,0.22313737869262695,2.1644688372916363,1.3778665096201794,2.25318612748004,0.014337739296891588,0.09308865358458554,0.12494641596332509,2.8814856214726223,nan,0.0,0.0,0.0
725,5.166769981384277,3.3357768058776855,2.26857852935791,0.30921289324760437,0.13779833912849426,0.2204916775226593,2.0789421061252025,1.288020853286094,2.2719045750638274,0.007454231962006777,0.0888965590361585,0.11845098274185302,2.9475510242137504,nan,0.0,0.0,0.0
750,5.333619117736816,3.3331665992736816,2.2947776317596436,0.3229590952396393,0.13286441564559937,0.21707241237163544,2.0406223352919235,1.2466948724807576,2.2859228063136974,0.0064942065467859834,0.08444129288830655,0.11842431128025055,2.997055044580013,nan,0.0,0.0,0.0
775,4.861588001251221,3.0690741539001465,2.2985150814056396,0.27869075536727905,0.12481179088354111,0.21257340908050537,2.0052801431493554,1.2103804404431202,2.2979518291798042,0.006525056202836493,0.07982902941888476,0.11919313536045399,3.044347076213106,nan,0.0,0.0,0.0
800,5.078314781188965,3.0894458293914795,2.317035436630249,0.29071560502052307,0.12153799086809158,0.21301662921905518,1.9812186728132533,1.1716985001208935,2.313243489569806,0.00921056975234062,0.07684508740426378,0.11425694693276223,3.10431747233614,nan,0.0,0.0,0.0
825,5.94111967086792,3.8381285667419434,2.3537964820861816,0.3194095492362976,0.1216123104095459,0.211374893784523,1.96610749934582,1.1449846464268705,2.3497409181391937,0.005934833705504524,0.07474193642252779,0.11215471986760485,3.1509252690254375,nan,0.0,0.0,0.0
