#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-07-12 18:12:44;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;2.98814e-01;8.72839e-03;-2.98687e-01
1.10000e+06;2.68348e-01;8.76226e-03;-2.68205e-01
1.20000e+06;2.42675e-01;8.79540e-03;-2.42516e-01
1.30000e+06;2.20689e-01;8.82789e-03;-2.20513e-01
1.40000e+06;2.01600e-01;8.85980e-03;-2.01405e-01
1.50000e+06;1.84828e-01;8.89123e-03;-1.84614e-01
1.60000e+06;1.69939e-01;8.92225e-03;-1.69705e-01
1.70000e+06;1.56600e-01;8.95295e-03;-1.56344e-01
1.80000e+06;1.44553e-01;8.98342e-03;-1.44273e-01
1.90000e+06;1.33593e-01;9.01375e-03;-1.33289e-01
2.00000e+06;1.23558e-01;9.04403e-03;-1.23227e-01
2.10000e+06;1.14315e-01;9.07435e-03;-1.13954e-01
2.20000e+06;1.05757e-01;9.10480e-03;-1.05364e-01
2.30000e+06;9.77933e-02;9.13548e-03;-9.73657e-02
2.40000e+06;9.03508e-02;9.16650e-03;-8.98846e-02
2.50000e+06;8.33670e-02;9.19797e-03;-8.28581e-02
2.60000e+06;7.67895e-02;9.23001e-03;-7.62328e-02
2.70000e+06;7.05739e-02;9.26274e-03;-6.99634e-02
2.80000e+06;6.46823e-02;9.29630e-03;-6.40108e-02
2.90000e+06;5.90828e-02;9.33085e-03;-5.83414e-02
3.00000e+06;5.37483e-02;9.36655e-03;-5.29258e-02
3.10000e+06;4.86559e-02;9.40359e-03;-4.77386e-02
3.20000e+06;4.37873e-02;9.44217e-03;-4.27571e-02
3.30000e+06;3.91281e-02;9.48251e-03;-3.79617e-02
3.40000e+06;3.46686e-02;9.52487e-03;-3.33345e-02
3.50000e+06;3.04052e-02;9.56954e-03;-2.88600e-02
3.60000e+06;2.63422e-02;9.61682e-03;-2.45241e-02
3.70000e+06;2.24969e-02;9.66710e-03;-2.03140e-02
3.80000e+06;1.89083e-02;9.72076e-03;-1.62182e-02
3.90000e+06;1.56557e-02;9.77828e-03;-1.22264e-02
4.00000e+06;1.28919e-02;9.84020e-03;-8.32897e-03
4.10000e+06;1.08883e-02;9.90710e-03;-4.51704e-03
4.20000e+06;1.00103e-02;9.97970e-03;-7.82477e-04
4.30000e+06;1.04636e-02;1.00588e-02;2.88233e-03
4.40000e+06;1.20406e-02;1.01453e-02;6.48452e-03
4.50000e+06;1.43347e-02;1.02404e-02;1.00309e-02
4.60000e+06;1.70301e-02;1.03451e-02;1.35278e-02
4.70000e+06;1.99451e-02;1.04612e-02;1.69815e-02
4.80000e+06;2.29832e-02;1.05901e-02;2.03980e-02
4.90000e+06;2.60932e-02;1.07341e-02;2.37831e-02
5.00000e+06;2.92478e-02;1.08954e-02;2.71427e-02
5.10000e+06;3.24327e-02;1.10769e-02;3.04825e-02
5.20000e+06;3.56410e-02;1.12820e-02;3.38082e-02
5.30000e+06;3.88705e-02;1.15148e-02;3.71258e-02
5.40000e+06;4.21219e-02;1.17802e-02;4.04411e-02
5.50000e+06;4.53980e-02;1.20841e-02;4.37602e-02
5.60000e+06;4.87030e-02;1.24336e-02;4.70891e-02
5.70000e+06;5.20423e-02;1.28376e-02;5.04341e-02
5.80000e+06;5.54225e-02;1.33068e-02;5.38013e-02
5.90000e+06;5.88508e-02;1.38543e-02;5.71968e-02
6.00000e+06;6.23351e-02;1.44965e-02;6.06260e-02
6.10000e+06;6.58836e-02;1.52536e-02;6.40935e-02
6.20000e+06;6.95045e-02;1.61505e-02;6.76020e-02
6.30000e+06;7.32052e-02;1.72183e-02;7.11515e-02
6.40000e+06;7.69911e-02;1.84950e-02;7.47367e-02
6.50000e+06;8.08638e-02;2.00274e-02;7.83445e-02
6.60000e+06;8.48179e-02;2.18714e-02;8.19495e-02
6.70000e+06;8.88364e-02;2.40922e-02;8.55071e-02
6.80000e+06;9.28835e-02;2.67616e-02;8.89447e-02
6.90000e+06;9.68947e-02;2.99504e-02;9.21497e-02
7.00000e+06;1.00763e-01;3.37122e-02;9.49563e-02
7.10000e+06;1.04325e-01;3.80541e-02;9.71370e-02
7.20000e+06;1.07349e-01;4.28909e-02;9.84077e-02
7.30000e+06;1.09539e-01;4.79906e-02;9.84667e-02
7.40000e+06;1.10577e-01;5.29359e-02;9.70828e-02
7.50000e+06;1.10203e-01;5.71506e-02;9.42259e-02
7.60000e+06;1.08333e-01;6.00333e-02;9.01778e-02
7.70000e+06;1.05150e-01;6.11691e-02;8.55269e-02
7.80000e+06;1.01098e-01;6.04958e-02;8.10006e-02
