#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-07-09 21:51:51;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;1.00341e-01;3.85072e-03;-1.00267e-01
1.10000e+06;8.87490e-02;3.87773e-03;-8.86643e-02
1.20000e+06;7.88771e-02;3.90378e-03;-7.87804e-02
1.30000e+06;7.03282e-02;3.92902e-03;-7.02184e-02
1.40000e+06;6.28192e-02;3.95356e-03;-6.26946e-02
1.50000e+06;5.61423e-02;3.97752e-03;-5.60012e-02
1.60000e+06;5.01421e-02;4.00100e-03;-4.99822e-02
1.70000e+06;4.46996e-02;4.02409e-03;-4.45181e-02
1.80000e+06;3.97229e-02;4.04687e-03;-3.95162e-02
1.90000e+06;3.51394e-02;4.06943e-03;-3.49030e-02
2.00000e+06;3.08921e-02;4.09184e-03;-3.06199e-02
2.10000e+06;2.69352e-02;4.11420e-03;-2.66192e-02
2.20000e+06;2.32331e-02;4.13657e-03;-2.28619e-02
2.30000e+06;1.97586e-02;4.15904e-03;-1.93159e-02
2.40000e+06;1.64931e-02;4.18171e-03;-1.59542e-02
2.50000e+06;1.34293e-02;4.20465e-03;-1.27541e-02
2.60000e+06;1.05780e-02;4.22798e-03;-9.69635e-03
2.70000e+06;7.98985e-03;4.25179e-03;-6.76461e-03
2.80000e+06;5.81777e-03;4.27621e-03;-3.94467e-03
2.90000e+06;4.47221e-03;4.30137e-03;-1.22428e-03
3.00000e+06;4.55047e-03;4.32740e-03;1.40726e-03
3.10000e+06;5.88540e-03;4.35448e-03;3.95934e-03
3.20000e+06;7.79011e-03;4.38279e-03;6.44026e-03
3.30000e+06;9.89564e-03;4.41252e-03;8.85739e-03
3.40000e+06;1.20655e-02;4.44392e-03;1.12173e-02
3.50000e+06;1.42478e-02;4.47725e-03;1.35260e-02
3.60000e+06;1.64212e-02;4.51283e-03;1.57889e-02
3.70000e+06;1.85770e-02;4.55101e-03;1.80109e-02
3.80000e+06;2.07121e-02;4.59220e-03;2.01966e-02
3.90000e+06;2.28261e-02;4.63690e-03;2.23501e-02
4.00000e+06;2.49201e-02;4.68567e-03;2.44756e-02
