epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,57.50,32.54,90.04,1,20.349771,11.7840
2,52.11,0.00,52.11,0,16.214338,
3,51.09,0.00,51.09,0,13.455583,
4,51.43,0.00,51.43,0,12.860062,
5,51.65,0.00,51.65,0,12.654406,
6,50.37,0.00,50.37,0,12.199419,
7,51.15,0.00,51.15,0,12.612918,
8,51.66,0.00,51.66,0,12.669344,
9,50.68,0.00,50.68,0,12.613816,
10,50.61,0.00,50.61,0,12.782942,
11,51.30,0.00,51.30,0,13.030213,
12,50.45,0.00,50.45,0,12.585124,
13,51.03,0.00,51.03,0,12.748638,
14,51.04,0.00,51.04,0,12.477271,
15,50.22,0.00,50.22,0,12.364526,
16,51.29,0.00,51.29,0,12.466304,
17,50.33,0.00,50.33,0,12.302301,
18,50.89,0.00,50.89,0,12.513302,
19,50.33,0.00,50.33,0,12.069741,
20,50.62,0.00,50.62,0,12.228512,
21,70.16,0.00,70.16,0,12.565232,
22,70.07,0.00,70.07,0,12.340034,
23,70.38,0.00,70.38,0,12.487704,
24,70.05,0.00,70.05,0,12.263799,
25,69.12,30.86,99.98,1,11.999370,7.8264
26,70.03,0.00,70.03,0,12.166094,
27,70.56,0.00,70.56,0,12.182943,
28,69.80,0.00,69.80,0,11.781450,
29,69.68,0.00,69.68,0,11.656594,
30,69.89,0.00,69.89,0,11.991309,
31,69.80,0.00,69.80,0,12.083201,
32,68.53,0.00,68.53,0,11.658956,
33,69.99,0.00,69.99,0,11.895845,
34,70.35,0.00,70.35,0,11.813790,
35,70.09,0.00,70.09,0,11.655891,
36,69.30,0.00,69.30,0,11.474342,
37,69.85,0.00,69.85,0,11.674233,
38,70.21,0.00,70.21,0,11.826005,
39,69.78,0.00,69.78,0,11.525629,
40,70.67,0.00,70.67,0,11.721237,
41,70.45,0.00,70.45,0,11.700330,
42,71.03,0.00,71.03,0,11.594290,
43,70.86,0.00,70.86,0,11.676070,
44,70.28,0.00,70.28,0,11.675955,
45,69.81,0.00,69.81,0,11.365982,
46,70.75,0.00,70.75,0,11.619477,
47,70.16,0.00,70.16,0,11.228551,
48,70.84,0.00,70.84,0,11.329249,
49,71.05,0.00,71.05,0,11.517207,
50,68.77,32.42,101.19,1,11.032082,7.0829
51,70.81,0.00,70.81,0,11.103239,
