#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-07-12 18:01:07;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;6.52969e-02;3.14939e-03;-6.52209e-02
1.10000e+06;5.66860e-02;3.18179e-03;-5.65966e-02
1.20000e+06;4.92792e-02;3.21330e-03;-4.91743e-02
1.30000e+06;4.27990e-02;3.24412e-03;-4.26758e-02
1.40000e+06;3.70472e-02;3.27445e-03;-3.69022e-02
1.50000e+06;3.18791e-02;3.30446e-03;-3.17074e-02
1.60000e+06;2.71870e-02;3.33433e-03;-2.69818e-02
1.70000e+06;2.28901e-02;3.36421e-03;-2.26415e-02
1.80000e+06;1.89279e-02;3.39427e-03;-1.86211e-02
1.90000e+06;1.52581e-02;3.42468e-03;-1.48688e-02
2.00000e+06;1.18577e-02;3.45562e-03;-1.13430e-02
2.10000e+06;8.73614e-03;3.48727e-03;-8.00993e-03
2.20000e+06;5.98607e-03;3.51984e-03;-4.84187e-03
2.30000e+06;3.99054e-03;3.55354e-03;-1.81569e-03
2.40000e+06;3.74995e-03;3.58863e-03;1.08805e-03
2.50000e+06;5.31440e-03;3.62537e-03;3.88581e-03
2.60000e+06;7.54166e-03;3.66408e-03;6.59174e-03
2.70000e+06;9.93484e-03;3.70510e-03;9.21810e-03
2.80000e+06;1.23579e-02;3.74883e-03;1.17756e-02
2.90000e+06;1.47698e-02;3.79574e-03;1.42737e-02
3.00000e+06;1.71577e-02;3.84636e-03;1.67210e-02
3.10000e+06;1.95189e-02;3.90131e-03;1.91250e-02
3.20000e+06;2.18550e-02;3.96132e-03;2.14930e-02
3.30000e+06;2.41692e-02;4.02727e-03;2.38313e-02
3.40000e+06;2.64659e-02;4.10017e-03;2.61464e-02
3.50000e+06;2.87497e-02;4.18126e-03;2.84440e-02
3.60000e+06;3.10257e-02;4.27202e-03;3.07301e-02
3.70000e+06;3.32991e-02;4.37425e-03;3.30105e-02
3.80000e+06;3.55755e-02;4.49016e-03;3.52910e-02
3.90000e+06;3.78608e-02;4.62245e-03;3.75776e-02
