#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-07-09 21:51:52;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;8.02502e-02;3.40677e-03;-8.01779e-02
1.10000e+06;7.04589e-02;3.43576e-03;-7.03751e-02
1.20000e+06;6.20833e-02;3.46398e-03;-6.19865e-02
1.30000e+06;5.47963e-02;3.49161e-03;-5.46850e-02
1.40000e+06;4.83648e-02;3.51882e-03;-4.82366e-02
1.50000e+06;4.26176e-02;3.54577e-03;-4.24699e-02
1.60000e+06;3.74268e-02;3.57261e-03;-3.72559e-02
1.70000e+06;3.26949e-02;3.59948e-03;-3.24962e-02
1.80000e+06;2.83468e-02;3.62653e-03;-2.81138e-02
1.90000e+06;2.43242e-02;3.65392e-03;-2.40482e-02
2.00000e+06;2.05824e-02;3.68179e-03;-2.02504e-02
2.10000e+06;1.70887e-02;3.71032e-03;-1.66811e-02
2.20000e+06;1.38230e-02;3.73968e-03;-1.33075e-02
2.30000e+06;1.07834e-02;3.77007e-03;-1.01029e-02
2.40000e+06;8.00494e-03;3.80170e-03;-7.04458e-03
2.50000e+06;5.62363e-03;3.83481e-03;-4.11333e-03
2.60000e+06;4.07991e-03;3.86967e-03;-1.29280e-03
2.70000e+06;4.16044e-03;3.90656e-03;1.43112e-03
2.80000e+06;5.66924e-03;3.94582e-03;4.07073e-03
2.90000e+06;7.74276e-03;3.98784e-03;6.63683e-03
3.00000e+06;9.98933e-03;4.03306e-03;9.13900e-03
3.10000e+06;1.22839e-02;4.08197e-03;1.15858e-02
3.20000e+06;1.45836e-02;4.13516e-03;1.39851e-02
3.30000e+06;1.68732e-02;4.19329e-03;1.63439e-02
3.40000e+06;1.91481e-02;4.25716e-03;1.86688e-02
3.50000e+06;2.14081e-02;4.32768e-03;2.09662e-02
3.60000e+06;2.36557e-02;4.40593e-03;2.32418e-02
3.70000e+06;2.58942e-02;4.49320e-03;2.55013e-02
3.80000e+06;2.81277e-02;4.59098e-03;2.77505e-02
3.90000e+06;3.03610e-02;4.70111e-03;2.99948e-02
4.00000e+06;3.25992e-02;4.82575e-03;3.22400e-02
4.10000e+06;3.48476e-02;4.96753e-03;3.44917e-02
4.20000e+06;3.71124e-02;5.12964e-03;3.67561e-02
4.30000e+06;3.93998e-02;5.31598e-03;3.90395e-02
4.40000e+06;4.17171e-02;5.53136e-03;4.13488e-02
4.50000e+06;4.40720e-02;5.78172e-03;4.36911e-02
4.60000e+06;4.64733e-02;6.07447e-03;4.60746e-02
4.70000e+06;4.89308e-02;6.41894e-03;4.85079e-02
4.80000e+06;5.14554e-02;6.82695e-03;5.10005e-02
4.90000e+06;5.40598e-02;7.31358e-03;5.35628e-02
5.00000e+06;5.67580e-02;7.89827e-03;5.62058e-02
5.10000e+06;5.95660e-02;8.60621e-03;5.89410e-02
5.20000e+06;6.25016e-02;9.47037e-03;6.17799e-02
5.30000e+06;6.55841e-02;1.05341e-02;6.47326e-02
5.40000e+06;6.88337e-02;1.18547e-02;6.78051e-02
5.50000e+06;7.22692e-02;1.35080e-02;7.09956e-02
5.60000e+06;7.59047e-02;1.55937e-02;7.42856e-02
5.70000e+06;7.97412e-02;1.82409e-02;7.76269e-02
5.80000e+06;8.37530e-02;2.16099e-02;8.09171e-02
5.90000e+06;8.78621e-02;2.58841e-02;8.39629e-02
6.00000e+06;9.18973e-02;3.12341e-02;8.64266e-02
6.10000e+06;9.55372e-02;3.77246e-02;8.77737e-02
6.20000e+06;9.82546e-02;4.51361e-02;8.72737e-02
6.30000e+06;9.93267e-02;5.27270e-02;8.41763e-02
6.40000e+06;9.80202e-02;5.91414e-02;7.81681e-02
6.50000e+06;9.39925e-02;6.28139e-02;6.99214e-02
6.60000e+06;8.76684e-02;6.28635e-02;6.11058e-02
6.70000e+06;8.01798e-02;5.96769e-02;5.35488e-02
6.80000e+06;7.28453e-02;5.45283e-02;4.83022e-02
6.90000e+06;6.66526e-02;4.87436e-02;4.54602e-02
7.00000e+06;6.20736e-02;4.32096e-02;4.45653e-02
7.10000e+06;5.91494e-02;3.83468e-02;4.50352e-02
7.20000e+06;5.76661e-02;3.42722e-02;4.63767e-02
7.30000e+06;5.73114e-02;3.09527e-02;4.82340e-02
7.40000e+06;5.77751e-02;2.82996e-02;5.03696e-02
7.50000e+06;5.87960e-02;2.62141e-02;5.26288e-02
7.60000e+06;6.01706e-02;2.46049e-02;5.49099e-02
7.70000e+06;6.17464e-02;2.33922e-02;5.71438e-02
7.80000e+06;6.34086e-02;2.25055e-02;5.92803e-02
7.90000e+06;6.50707e-02;2.18789e-02;6.12822e-02
8.00000e+06;6.66683e-02;2.14482e-02;6.31240e-02
8.10000e+06;6.81575e-02;2.11495e-02;6.47930e-02
8.20000e+06;6.95150e-02;2.09217e-02;6.62919e-02
8.30000e+06;7.07375e-02;2.07111e-02;6.76376e-02
8.40000e+06;7.18382e-02;2.04750e-02;6.88585e-02
8.50000e+06;7.28429e-02;2.01844e-02;6.99906e-02
8.60000e+06;7.37856e-02;1.98245e-02;7.10726e-02
8.70000e+06;7.47032e-02;1.93942e-02;7.21418e-02
8.80000e+06;7.56305e-02;1.89051e-02;7.32296e-02
8.90000e+06;7.65944e-02;1.83773e-02;7.43571e-02
9.00000e+06;7.76104e-02;1.78342e-02;7.55335e-02
9.10000e+06;7.86823e-02;1.72966e-02;7.67576e-02
9.20000e+06;7.98048e-02;1.67795e-02;7.80208e-02
9.30000e+06;8.09676e-02;1.62910e-02;7.93117e-02
9.40000e+06;8.21592e-02;1.58331e-02;8.06191e-02
9.50000e+06;8.33696e-02;1.54033e-02;8.19343e-02
9.60000e+06;8.45918e-02;1.49971e-02;8.32518e-02
9.70000e+06;8.58218e-02;1.46095e-02;8.45692e-02
9.80000e+06;8.70583e-02;1.42363e-02;8.58864e-02
9.90000e+06;8.83016e-02;1.38745e-02;8.72047e-02
1.00000e+07;8.95529e-02;1.35229e-02;8.85260e-02
1.10000e+07;1.02570e-01;1.06756e-02;1.02013e-01
1.20000e+07;1.15833e-01;9.13464e-03;1.15473e-01
1.30000e+07;1.28729e-01;8.34626e-03;1.28458e-01
1.40000e+07;1.41251e-01;7.90225e-03;1.41030e-01
1.50000e+07;1.53493e-01;7.63134e-03;1.53304e-01
1.60000e+07;1.65531e-01;7.45792e-03;1.65363e-01
1.70000e+07;1.77414e-01;7.34430e-03;1.77262e-01
1.80000e+07;1.89179e-01;7.26975e-03;1.89039e-01
1.90000e+07;2.00850e-01;7.22198e-03;2.00721e-01
2.00000e+07;2.12448e-01;7.19325e-03;2.12326e-01
2.10000e+07;2.23984e-01;7.17847e-03;2.23869e-01
2.20000e+07;2.35471e-01;7.17416e-03;2.35362e-01
2.30000e+07;2.46916e-01;7.17786e-03;2.46812e-01
2.40000e+07;2.58327e-01;7.18781e-03;2.58227e-01
2.50000e+07;2.69708e-01;7.20271e-03;2.69612e-01
2.60000e+07;2.81064e-01;7.22158e-03;2.80971e-01
2.70000e+07;2.92399e-01;7.24366e-03;2.92309e-01
2.80000e+07;3.03716e-01;7.26839e-03;3.03629e-01
2.90000e+07;3.15018e-01;7.29531e-03;3.14933e-01
3.00000e+07;3.26306e-01;7.32407e-03;3.26224e-01
3.10000e+07;3.37584e-01;7.35438e-03;3.37504e-01
3.20000e+07;3.48852e-01;7.38601e-03;3.48774e-01
3.30000e+07;3.60112e-01;7.41879e-03;3.60036e-01
3.40000e+07;3.71366e-01;7.45256e-03;3.71291e-01
3.50000e+07;3.82614e-01;7.48720e-03;3.82541e-01
3.60000e+07;3.93858e-01;7.52262e-03;3.93786e-01
3.70000e+07;4.05098e-01;7.55872e-03;4.05028e-01
3.80000e+07;4.16336e-01;7.59545e-03;4.16267e-01
3.90000e+07;4.27572e-01;7.63275e-03;4.27504e-01
4.00000e+07;4.38808e-01;7.67057e-03;4.38741e-01
4.10000e+07;4.50043e-01;7.70888e-03;4.49977e-01
4.20000e+07;4.61278e-01;7.74765e-03;4.61213e-01
4.30000e+07;4.72514e-01;7.78685e-03;4.72450e-01
4.40000e+07;4.83752e-01;7.82647e-03;4.83689e-01
4.50000e+07;4.94992e-01;7.86650e-03;4.94929e-01
4.60000e+07;5.06234e-01;7.90691e-03;5.06172e-01
4.70000e+07;5.17479e-01;7.94770e-03;5.17418e-01
4.80000e+07;5.28728e-01;7.98888e-03;5.28667e-01
4.90000e+07;5.39980e-01;8.03042e-03;5.39920e-01
5.00000e+07;5.51236e-01;8.07234e-03;5.51177e-01
5.10000e+07;5.62497e-01;8.11464e-03;5.62439e-01
5.20000e+07;5.73763e-01;8.15731e-03;5.73705e-01
