epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.030000,-0.0601,0.9733,-0.0230,0.9428,-0.0489,0.9956,-0.0309,0.3089,0.4318,-1.0444,0.8153,0.4990,12.2347,12.2607
5,0.030000,-0.0077,1.0618,0.0467,0.8851,0.1108,0.9619,0.0368,0.2972,0.4361,-0.9485,0.8991,0.5057,10.0060,10.0338
10,0.030000,-0.0423,1.0433,0.0261,0.9117,0.0525,0.9266,0.0141,0.3506,0.4640,-1.5474,0.6544,0.5476,10.3320,10.3660
15,0.030000,-0.0687,1.0187,-0.0111,0.8903,-0.0603,0.8579,-0.0641,0.4017,0.6156,-1.6392,0.8266,0.7397,9.6159,9.6762
20,0.030000,-0.0627,1.0398,0.0247,0.8452,-0.0425,0.8246,-0.0472,0.5167,0.6663,-2.2870,1.4371,0.8815,9.2863,9.3719
25,0.030000,-0.1045,1.0242,0.0115,0.7876,-0.0266,0.8620,-0.0501,0.3765,0.6618,-1.9746,0.8910,0.8289,8.6674,8.7436
30,0.030000,-0.1111,0.9581,-0.0137,0.7619,-0.0756,0.7622,-0.0879,0.5452,0.7851,-3.3205,0.6089,1.0058,8.2335,8.3472
35,0.030000,-0.0821,0.9402,0.0183,0.7172,-0.0712,0.7352,-0.0647,0.5036,0.8513,-3.2650,0.8473,1.0876,7.8074,7.9363
40,0.030000,-0.1193,0.9149,0.0165,0.6834,-0.1216,0.6987,-0.0906,0.5618,0.9095,-3.4505,0.6689,1.2532,7.6902,7.8547
45,0.030000,-0.0805,0.8829,0.0014,0.6443,-0.1460,0.6700,-0.1017,0.6245,0.9140,-3.6049,1.2460,1.3600,7.2114,7.4061
50,0.030000,-0.0114,0.8621,0.0217,0.6405,-0.1139,0.6346,-0.0547,0.6673,0.9450,-3.4699,1.7225,1.4402,6.9458,7.1558
55,0.030000,0.0031,0.8645,0.0531,0.6135,-0.0725,0.6263,-0.0023,0.6775,1.0005,-2.9932,1.8977,1.5456,6.7978,7.0302
60,0.030000,-0.0054,0.8563,0.0565,0.5960,-0.0793,0.6379,0.0115,0.6163,0.9939,-2.4717,2.0342,1.5001,6.6905,6.9158
65,0.030000,-0.0206,0.8481,0.0469,0.6004,-0.1140,0.6061,-0.0244,0.6429,1.0593,-2.5212,2.2695,1.6333,6.4600,6.7103
70,0.030000,0.0063,0.8296,0.0302,0.6183,-0.1392,0.5865,-0.0335,0.6799,1.0828,-2.1254,2.1993,1.6916,6.6169,6.8744
75,0.030000,0.0522,0.8268,0.0300,0.6069,-0.1446,0.5894,-0.0163,0.7056,1.0678,-2.0327,2.7300,1.6918,6.2475,6.5124
80,0.030000,0.0314,0.8237,0.0331,0.5926,-0.1394,0.5995,-0.0014,0.7297,1.0426,-2.0608,2.9029,1.6807,6.1975,6.4707
85,0.030000,0.0221,0.8164,0.0343,0.6064,-0.1178,0.6159,0.0115,0.7374,1.0196,-1.8596,2.6787,1.6249,6.0656,6.3197
90,0.030000,0.0188,0.8100,0.0496,0.5870,-0.1176,0.6045,0.0160,0.7337,1.0278,-2.2233,2.2849,1.6586,5.9499,6.2235
95,0.030000,-0.0029,0.8008,0.0616,0.5709,-0.1281,0.5997,0.0047,0.7406,1.0359,-2.3817,1.9057,1.6988,5.8376,6.1276
100,0.030000,-0.0483,0.7822,0.0732,0.5781,-0.1149,0.5829,0.0043,0.7656,1.0406,-2.2030,2.2674,1.7295,5.7462,6.0422
105,0.030000,-0.0513,0.7730,0.0807,0.5646,-0.1434,0.5708,-0.0063,0.7336,1.0419,-1.9723,2.1652,1.7335,5.7183,6.0247
110,0.030000,-0.0923,0.7594,0.0816,0.5634,-0.1655,0.5617,-0.0232,0.7317,1.0295,-1.7059,1.9723,1.7273,5.4924,5.8004
115,0.030000,-0.0874,0.7452,0.0759,0.5487,-0.1839,0.5548,-0.0301,0.7457,1.0254,-1.9801,1.7350,1.7638,5.4042,5.7306
