epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,102.93,31.02,133.95,1,19.837944,12.2607
2,101.88,0.00,101.88,0,15.628617,
3,98.10,0.00,98.10,0,14.691075,
4,98.15,0.00,98.15,0,14.473667,
5,98.84,29.37,128.21,1,14.513408,10.0338
6,98.14,0.00,98.14,0,14.474353,
7,100.21,0.00,100.21,0,14.620750,
8,101.11,0.00,101.11,0,14.998163,
9,103.18,0.00,103.18,0,14.834841,
10,106.64,29.33,135.97,1,15.032309,10.3660
11,98.94,0.00,98.94,0,15.402092,
12,99.41,0.00,99.41,0,15.387159,
13,98.71,0.00,98.71,0,15.011238,
14,98.18,0.00,98.18,0,15.108636,
15,100.28,29.73,130.01,1,15.166757,9.6762
16,98.62,0.00,98.62,0,14.939926,
17,102.54,0.00,102.54,0,15.175761,
18,98.92,0.00,98.92,0,15.011638,
19,98.70,0.00,98.70,0,14.877588,
20,102.37,29.36,131.73,1,14.905259,9.3719
21,104.37,0.00,104.37,0,14.791901,
22,104.07,0.00,104.07,0,14.552573,
23,101.34,0.00,101.34,0,14.602692,
24,101.84,0.00,101.84,0,14.443149,
25,103.88,29.42,133.30,1,14.467126,8.7436
26,104.44,0.00,104.44,0,15.399708,
27,99.13,0.00,99.13,0,15.244255,
28,100.90,0.00,100.90,0,15.356398,
29,101.50,0.00,101.50,0,15.078801,
30,101.18,32.14,133.32,1,15.217745,8.6188
31,101.79,0.00,101.79,0,14.993286,
32,100.73,0.00,100.73,0,14.913828,
33,102.01,0.00,102.01,0,14.825467,
34,101.13,0.00,101.13,0,14.709289,
35,104.74,29.65,134.40,1,14.588913,8.2637
36,103.90,0.00,103.90,0,14.808114,
37,101.92,0.00,101.92,0,14.815694,
38,101.43,0.00,101.43,0,14.836405,
39,101.81,0.00,101.81,0,14.748557,
40,107.49,29.70,137.19,1,14.533963,8.0913
41,101.35,0.00,101.35,0,14.363512,
42,99.61,0.00,99.61,0,14.410503,
43,98.75,0.00,98.75,0,14.230651,
44,100.37,0.00,100.37,0,14.404934,
45,100.12,29.69,129.81,1,14.535279,7.8914
46,99.38,0.00,99.38,0,14.334410,
47,100.96,0.00,100.96,0,14.103460,
48,99.19,0.00,99.19,0,14.151939,
49,99.14,0.00,99.14,0,14.048599,
50,98.50,30.85,129.35,1,13.894376,7.6038
51,99.26,0.00,99.26,0,14.018057,
52,100.78,0.00,100.78,0,14.132486,
53,99.42,0.00,99.42,0,13.828974,
54,100.29,0.00,100.29,0,14.114504,
55,99.38,29.67,129.04,1,13.805681,7.5786
56,99.60,0.00,99.60,0,13.729786,
57,99.05,0.00,99.05,0,13.668983,
58,98.99,0.00,98.99,0,13.697768,
59,98.16,0.00,98.16,0,13.226442,
60,99.56,29.64,129.20,1,13.713536,7.5016
61,99.07,0.00,99.07,0,13.558537,
62,99.21,0.00,99.21,0,13.553051,
63,101.20,0.00,101.20,0,13.506034,
64,99.68,0.00,99.68,0,13.519186,
65,99.48,29.61,129.09,1,13.442246,7.1649
66,99.20,0.00,99.20,0,13.394234,
67,98.82,0.00,98.82,0,13.113882,
68,99.00,0.00,99.00,0,13.163927,
69,99.09,0.00,99.09,0,13.320187,
70,99.19,29.56,128.75,1,13.231254,7.0258
71,98.97,0.00,98.97,0,13.163189,
72,99.17,0.00,99.17,0,13.132171,
73,98.27,0.00,98.27,0,12.920755,
74,100.18,0.00,100.18,0,13.348631,
75,99.58,30.04,129.62,1,12.891726,6.9032
26,139.09,0.00,139.09,0,15.639456,
26,136.91,0.00,136.91,0,15.450761,
27,144.95,0.00,144.95,0,15.383770,
28,139.29,0.00,139.29,0,15.142795,
29,138.92,0.00,138.92,0,15.190864,
30,133.54,31.06,164.59,1,15.001224,8.3472
31,133.77,0.00,133.77,0,15.108548,
32,137.22,0.00,137.22,0,14.705523,
33,141.44,0.00,141.44,0,14.877756,
34,138.61,0.00,138.61,0,14.704557,
