epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.030000,0.0393,0.9700,-0.0052,0.9719,0.0130,0.9599,0.0322,0.2627,0.5186,-0.6252,0.8029,0.5618,11.1990,12.1181
5,0.030000,0.0073,0.7432,-0.0606,1.0844,-0.0527,1.0826,0.0278,0.1788,1.0205,-0.8807,0.6114,1.1338,8.6457,8.8593
10,0.030000,-0.0089,0.7149,-0.0378,0.9703,-0.0610,0.9553,0.0184,0.1948,1.2283,-0.4039,0.8352,1.4769,7.5008,7.7134
15,0.030000,-0.0284,0.7176,-0.0222,0.9378,-0.0459,0.9198,0.0207,0.2033,1.3020,-0.5549,0.7721,1.6158,6.4752,6.6967
20,0.030000,-0.0283,0.7269,-0.0294,0.9305,-0.0561,0.9285,0.0225,0.2456,1.3553,-0.5676,0.9718,1.7191,5.6777,5.8969
25,0.030000,-0.0503,0.7294,-0.0253,0.9101,-0.0592,0.8851,0.0048,0.2713,1.3933,-0.6441,0.9208,1.8217,4.9154,5.1592
30,0.030000,-0.0377,0.6972,-0.0323,0.9049,-0.0503,0.9000,0.0085,0.2921,1.4628,-0.9475,0.9845,1.9789,4.6131,4.8657
35,0.030000,-0.0574,0.6810,-0.0177,0.9077,-0.0503,0.8992,0.0037,0.3352,1.5015,-0.9088,1.3308,2.0913,4.1419,4.4141
40,0.030000,-0.0405,0.6788,-0.0119,0.9167,-0.0476,0.9112,0.0100,0.3236,1.5277,-0.9173,1.1317,2.1383,3.9256,4.2046
45,0.030000,-0.0467,0.6569,-0.0161,0.9205,-0.0522,0.9142,-0.0020,0.3587,1.5480,-1.0892,1.3114,2.2077,3.8804,4.1603
50,0.030000,-0.0290,0.6426,-0.0082,0.9364,-0.0357,0.9281,0.0052,0.3371,1.5620,-0.8265,1.1949,2.2293,3.1997,3.4742
55,0.030000,-0.0202,0.6289,-0.0202,0.9413,-0.0402,0.9436,-0.0027,0.3494,1.5778,-1.2146,1.2615,2.2701,2.9407,3.2088
60,0.030000,-0.0046,0.6235,-0.0128,0.9554,-0.0356,0.9574,0.0034,0.3309,1.5946,-0.8818,1.1754,2.2933,2.5706,2.8346
65,0.030000,0.0026,0.6236,-0.0233,0.9643,-0.0352,0.9628,-0.0115,0.3325,1.5910,-0.9964,1.1174,2.2856,2.5151,2.8124
70,0.030000,0.0291,0.6064,-0.0346,0.9777,-0.0435,0.9788,0.0019,0.3502,1.6159,-1.3709,1.3619,2.3562,2.2677,2.5530
75,0.030000,0.0260,0.6069,-0.0327,0.9798,-0.0314,0.9855,0.0057,0.3257,1.6232,-0.9725,1.0607,2.3618,2.1168,2.3992
80,0.030000,0.0269,0.5995,-0.0269,0.9927,-0.0332,0.9897,0.0085,0.3090,1.6349,-0.9627,1.1555,2.3800,1.8814,2.1498
85,0.030000,0.0193,0.5998,-0.0203,1.0010,-0.0362,1.0037,0.0035,0.3254,1.6311,-0.9283,1.1050,2.3768,1.8969,2.1776
90,0.030000,0.0124,0.6002,-0.0149,1.0125,-0.0366,0.9910,0.0035,0.3002,1.6249,-0.9305,1.0001,2.3544,1.6750,1.9397
95,0.030000,0.0170,0.5942,-0.0258,1.0150,-0.0464,1.0118,-0.0039,0.2826,1.6339,-0.8629,0.9917,2.3632,1.5592,1.8241
100,0.030000,0.0175,0.5986,-0.0232,1.0219,-0.0403,1.0239,0.0049,0.2838,1.6232,-0.9035,1.0881,2.3351,1.4567,1.7135
105,0.030000,0.0180,0.5964,-0.0162,1.0300,-0.0389,1.0303,0.0093,0.2783,1.6392,-0.8357,0.9461,2.3721,1.5269,1.7921
110,0.030000,0.0185,0.5981,-0.0111,1.0329,-0.0475,1.0328,0.0133,0.2504,1.6288,-0.7854,0.8443,2.3367,1.3447,1.6007
115,0.030000,0.0145,0.5940,-0.0098,1.0413,-0.0434,1.0471,0.0090,0.2634,1.6318,-0.7102,0.9363,2.3499,1.2726,1.5288
120,0.030000,0.0103,0.5952,-0.0123,1.0452,-0.0348,1.0498,0.0059,0.2523,1.6276,-0.6918,0.9480,2.3357,1.2179,1.4758
