epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,61.04,53.84,114.93,1,16.220646,12.1181
2,95.65,0.00,95.68,0,12.278705,
3,95.05,0.00,95.05,0,11.152558,
4,51.59,0.00,51.60,0,10.719732,
5,75.20,53.62,128.84,1,10.321321,8.8593
6,91.46,0.00,91.46,0,9.993879,
7,52.76,0.00,52.76,0,9.724225,
8,82.98,0.00,82.98,0,9.624150,
9,94.12,0.00,94.12,0,9.378551,
10,94.64,29.37,124.02,1,9.313390,7.7134
11,70.12,0.00,70.14,0,9.150271,
12,104.65,0.00,104.66,0,9.148876,
13,96.54,0.00,96.59,0,8.849166,
14,57.37,0.00,57.38,0,8.602986,
15,49.82,46.81,96.63,1,8.371659,6.6967
16,88.44,0.00,88.44,0,8.160092,
17,66.78,0.00,66.78,0,8.090053,
18,47.41,0.00,47.41,0,7.793506,
19,93.54,0.00,93.55,0,7.728803,
20,96.03,42.96,138.99,1,7.519644,5.8969
21,72.53,0.00,72.55,0,8.573838,
22,128.13,0.00,128.13,0,8.325120,
23,123.55,0.00,123.55,0,7.999403,
24,74.97,0.00,74.97,0,7.929578,
25,123.83,42.22,166.07,1,7.693321,5.1592
26,92.71,0.00,92.71,0,7.945434,
27,111.98,0.00,111.98,0,7.736300,
28,107.76,0.00,107.76,0,7.633806,
29,131.08,0.00,131.08,0,7.512071,
30,111.37,25.18,136.55,1,7.349619,4.8657
31,124.80,0.00,124.80,0,7.236341,
32,122.58,0.00,122.58,0,7.075729,
33,83.01,0.00,83.02,0,6.970473,
34,127.49,0.00,127.49,0,6.884363,
35,131.09,34.72,165.81,1,6.778674,4.4141
36,98.74,0.00,98.74,0,6.618155,
37,121.14,0.00,121.15,0,6.583601,
38,103.38,0.00,103.38,0,6.536121,
39,91.16,0.00,91.17,0,6.403038,
40,133.70,40.13,173.85,1,6.410088,4.2046
41,72.67,0.00,72.67,0,6.241990,
42,91.86,0.00,91.87,0,6.293425,
43,71.25,0.00,71.26,0,6.133863,
44,71.06,0.00,71.07,0,6.026871,
45,71.71,24.85,96.57,1,6.020528,4.1603
46,71.12,0.00,71.12,0,6.000946,
47,71.26,0.00,71.26,0,5.920224,
48,71.17,0.00,71.17,0,5.791920,
49,71.05,0.00,71.05,0,5.760236,
50,72.96,25.16,98.14,1,5.704432,3.4742
51,70.92,0.00,70.92,0,5.664963,
52,71.22,0.00,71.22,0,5.570372,
53,71.45,0.00,71.45,0,5.464896,
54,71.64,0.00,71.64,0,5.420629,
55,71.37,24.84,96.21,1,5.373719,3.2088
56,71.46,0.00,71.46,0,5.307755,
57,71.36,0.00,71.36,0,5.355330,
58,71.35,0.00,71.35,0,5.162035,
59,71.08,0.00,71.08,0,5.190948,
60,71.30,24.67,95.96,1,5.132590,2.8346
61,71.09,0.00,71.09,0,5.021858,
62,71.19,0.00,71.19,0,5.055794,
63,71.20,0.00,71.20,0,4.982297,
64,71.05,0.00,71.05,0,4.867023,
65,74.36,24.84,99.20,1,4.847746,2.8124
66,70.90,0.00,70.90,0,4.803453,
67,70.67,0.00,70.67,0,4.681880,
68,70.90,0.00,70.90,0,4.666682,
69,71.19,0.00,71.20,0,4.629278,
70,71.22,24.76,95.98,1,4.596987,2.5530
71,71.07,0.00,71.07,0,4.513504,
72,71.05,0.00,71.05,0,4.477610,
73,71.06,0.00,71.06,0,4.400471,
74,71.57,0.00,71.57,0,4.345506,
75,71.84,25.14,96.99,1,4.341129,2.3992
76,72.01,0.00,72.01,0,4.315418,
77,72.22,0.00,72.22,0,4.199105,
78,72.01,0.00,72.02,0,4.241967,
79,72.09,0.00,72.09,0,4.179679,
80,71.88,25.10,96.98,1,4.125395,2.1498
81,71.47,0.00,71.47,0,4.091553,
82,72.26,0.00,72.28,0,4.035981,
83,71.65,0.00,71.66,0,3.998208,
84,71.61,0.00,71.61,0,3.977734,
85,72.01,25.18,97.19,1,3.937212,2.1776
86,71.66,0.00,71.66,0,3.923364,
87,71.82,0.00,71.82,0,3.914654,
88,72.21,0.00,72.21,0,3.833184,
89,72.11,0.00,72.11,0,3.839041,
90,72.01,25.11,97.12,1,3.834331,1.9397
91,71.73,0.00,71.75,0,3.803694,
92,71.58,0.00,71.58,0,3.739638,
93,71.50,0.00,71.50,0,3.764935,
94,74.80,0.00,74.80,0,3.708286,
95,72.81,24.91,97.75,1,3.685996,1.8241
96,71.27,0.00,71.27,0,3.655122,
97,71.61,0.00,71.62,0,3.642070,
98,71.15,0.00,71.15,0,3.672872,
99,71.08,0.00,71.08,0,3.572940,
100,71.78,25.19,96.98,1,3.518170,1.7135
101,70.89,0.00,70.92,0,3.543700,
102,71.81,0.00,71.81,0,3.503517,
103,70.83,0.00,70.83,0,3.489808,
104,71.54,0.00,71.56,0,3.465667,
105,71.56,24.94,96.51,1,3.442512,1.7921
106,70.82,0.00,70.83,0,3.484883,
107,71.19,0.00,71.19,0,3.431606,
108,71.51,0.00,71.51,0,3.360849,
109,73.19,0.00,73.19,0,3.321467,
110,72.02,24.66,96.69,1,3.327755,1.6007
111,70.96,0.00,70.97,0,3.331177,
112,71.28,0.00,71.29,0,3.322822,
113,71.85,0.00,71.85,0,3.305763,
114,71.45,0.00,71.45,0,3.207890,
115,70.88,24.77,95.65,1,3.298323,1.5288
116,70.83,0.00,70.83,0,3.197512,
117,71.05,0.00,71.05,0,3.243965,
118,71.34,0.00,71.35,0,3.204062,
119,71.87,0.00,71.87,0,3.136725,
120,71.40,24.83,96.23,1,3.163202,1.4758
121,71.16,0.00,71.16,0,3.145491,
122,71.61,0.00,71.61,0,3.113391,
123,71.58,0.00,71.58,0,3.152014,
124,71.55,0.00,71.55,0,3.124926,
125,72.33,25.52,97.86,1,3.096175,1.3818
126,69.94,0.00,69.94,0,3.080478,
127,69.36,0.00,69.36,0,3.015559,
128,71.12,0.00,71.15,0,3.105386,
129,71.05,0.00,71.06,0,3.056276,
